TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MAFA	ACBD7	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFB	ACBD7	-0.60987	46.45	-0.45	rgb(119,158,234)	1.9092	None
MAFA	ACE	0.35019	36.18	0.185	rgb(219,182,182)	1.7037	None
MAFB	ACE	0.76311	49.55	0.548	rgb(223,112,113)	1.9712	None
MAFA	ACTL6B	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFB	ACTL6B	0.38294	38.01	0.008	rgb(217,216,216)	1.7403	None
MAFA	ADAM12	0.43362	39.2	0.205	rgb(219,178,178)	1.7642	None
MAFB	ADAM12	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFA	ADAMTSL2	0.69979	48.5	0.505	rgb(223,121,122)	1.9502	None
MAFB	ADAMTSL2	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFA	ADCY1	0.15118	22	0	rgb(217,217,217)	1.4201	None
MAFB	ADCY1	0.55597	44.62	0.62	rgb(224, 99,100)	1.8726	None
MAFA	AEBP1	-0.70983	48.62	-0.62	rgb( 83,136,240)	1.9526	None
MAFB	AEBP1	0.37051	37.25	0.252	rgb(220,169,169)	1.7251	None
MAFA	AGAP11	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFB	AGAP11	0.23296	29	0	rgb(217,217,217)	1.5601	None
MAFA	AK122764	0.80207	50.3	0.301	rgb(220,159,160)	1.9862	2,2
MAFB	AK122764	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
MAFA	AKR1B1	0.786	50.13	0.126	rgb(218,193,193)	1.9828	None
MAFB	AKR1B1	-0.48104	42.24	-0.24	rgb(164,185,226)	1.825	None
MAFA	AKT3	-0.88616	50.58	-0.58	rgb( 92,141,239)	1.9918	None
MAFB	AKT3	0.052045	17	0	rgb(217,217,217)	1.3201	None
MAFA	ALAS2	-0.83317	50.45	-0.45	rgb(119,157,234)	1.9892	None
MAFB	ALAS2	0.60636	46.39	0.387	rgb(221,143,144)	1.908	None
MAFA	AMER3	0.19533	25	0	rgb(217,217,217)	1.4801	None
MAFB	AMER3	0.76663	49.58	0.577	rgb(223,107,108)	1.9718	None
MAFA	AMPH	0.4981	42.55	0.551	rgb(223,112,113)	1.8312	None
MAFB	AMPH	0.78422	50.03	0.03	rgb(217,211,211)	1.9808	None
MAFA	ANK2	0.30343	32	0	rgb(217,217,217)	1.6201	None
MAFB	ANK2	0.24796	30	0	rgb(217,217,217)	1.5801	None
MAFA	ANKFN1	-0.51413	43.34	-0.34	rgb(142,172,230)	1.847	None
MAFB	ANKFN1	-0.74093	49.42	-0.42	rgb(125,161,233)	1.9686	None
MAFA	ANKRD36C	-0.34981	36.17	-0.17	rgb(181,195,223)	1.7035	None
MAFB	ANKRD36C	-0.48021	42.23	-0.23	rgb(167,187,226)	1.8248	None
MAFA	APOA1	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFB	APOA1	0.31152	34	0	rgb(217,217,217)	1.6601	None
MAFA	ARC	0.43903	40.33	0.373	rgb(221,146,147)	1.7868	None
MAFB	ARC	0.57988	45.24	0.519	rgb(223,118,119)	1.885	None
MAFA	ASCL2	0.78765	50.08	0.34	rgb(221,152,153)	1.9818	None
MAFB	ASCL2	0.79831	50.3	0.301	rgb(220,159,160)	1.9862	None
MAFA	ATP6V0E2	0.076869	18	0	rgb(217,217,217)	1.3401	None
MAFB	ATP6V0E2	0.10029	19	0	rgb(217,217,217)	1.3601	None
MAFA	AVPR1B	0.72652	48.8	0.795	rgb(226, 65, 67)	1.9562	None
MAFB	AVPR1B	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFA	B3GAT1	0.75717	49.55	0.548	rgb(223,112,113)	1.9712	None
MAFB	B3GAT1	0.50223	42.06	0.064	rgb(218,205,205)	1.8214	None
MAFA	BAIAP3	0.36212	35.43	0.428	rgb(222,135,136)	1.6887	None
MAFB	BAIAP3	0.060595	16	0	rgb(217,217,217)	1.3001	None
MAFA	BOC	0.77761	49.69	0.685	rgb(225, 86, 88)	1.974	None
MAFB	BOC	0.22515	27	0	rgb(217,217,217)	1.5201	None
MAFA	C10orf82	0.62404	47.14	0.143	rgb(219,190,190)	1.923	None
MAFB	C10orf82	0.71528	48.56	0.558	rgb(223,110,111)	1.9514	None
MAFA	C12orf50	0.40648	39.09	0.088	rgb(218,200,200)	1.762	None
MAFB	C12orf50	0.67179	47.52	0.516	rgb(223,118,120)	1.9306	None
MAFA	C15orf61	0.1881	26	0	rgb(217,217,217)	1.5001	None
MAFB	C15orf61	0.15832	24	0	rgb(217,217,217)	1.4601	None
MAFA	C1QL1	0.59983	45.38	0.382	rgb(221,144,145)	1.8878	None
MAFB	C1QL1	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	C1orf127	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFB	C1orf127	0.57699	45.42	0.425	rgb(222,136,137)	1.8886	None
MAFA	C2CD4A	0.83635	50.46	0.455	rgb(222,130,131)	1.9894	None
MAFB	C2CD4A	0.0067328	14	0	rgb(217,217,217)	1.2601	None
MAFA	C2CD4B	0.19533	26	0	rgb(217,217,217)	1.5001	None
MAFB	C2CD4B	0.04399	16	0	rgb(217,217,217)	1.3001	None
MAFA	C4orf48	0.73928	49.41	0.413	rgb(222,138,139)	1.9684	None
MAFB	C4orf48	0.48476	42.29	0.288	rgb(220,162,163)	1.826	None
MAFA	CACNA1C	-0.61594	46.02	-0.019	rgb(213,214,218)	1.9006	None
MAFB	CACNA1C	0.60896	46.44	0.435	rgb(222,134,135)	1.909	None
MAFA	CACNA1H	0.94601	50.76	0.764	rgb(225, 71, 73)	1.9954	None
MAFB	CACNA1H	0.10777	20	0	rgb(217,217,217)	1.3801	None
MAFA	CACNG4	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFB	CACNG4	0.97336	50.84	0.844	rgb(226, 56, 57)	1.997	None
MAFA	CACNG6	-0.67398	48.17	-0.17	rgb(181,195,223)	1.9436	None
MAFB	CACNG6	0.23296	29	0	rgb(217,217,217)	1.5601	None
MAFA	CADM2	0.42701	38.58	0.582	rgb(223,106,107)	1.7518	None
MAFB	CADM2	0.27869	32	0	rgb(217,217,217)	1.6201	None
MAFA	CADM3	-0.41669	38.27	-0.27	rgb(157,181,227)	1.7455	None
MAFB	CADM3	0.7247	49.26	0.255	rgb(220,168,169)	1.9654	None
MAFA	CADPS	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFB	CADPS	-0.63416	46.45	-0.45	rgb(119,158,234)	1.9092	None
MAFA	CAMK2N2	-0.93656	50.69	-0.69	rgb( 68,126,243)	1.994	None
MAFB	CAMK2N2	0.56431	45.24	0.241	rgb(220,171,171)	1.885	None
MAFA	CATSPERB	-0.91144	50.67	-0.67	rgb( 71,128,242)	1.9936	None
MAFB	CATSPERB	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFA	CCDC125	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFB	CCDC125	0.20355	27	0	rgb(217,217,217)	1.5201	None
MAFA	CCDC146	-0.89488	50.6	-0.6	rgb( 86,137,240)	1.9922	None
MAFB	CCDC146	0.23296	29	0	rgb(217,217,217)	1.5601	None
MAFA	CCDC28B	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFB	CCDC28B	-0.44019	40.35	-0.35	rgb(141,171,230)	1.7872	None
MAFA	CCDC39	-0.62363	47.12	-0.12	rgb(192,202,221)	1.9226	None
MAFB	CCDC39	0.016605	14	0	rgb(217,217,217)	1.2601	None
MAFA	CCDC86	0.092482	18	0	rgb(217,217,217)	1.3401	None
MAFB	CCDC86	0.10029	19	0	rgb(217,217,217)	1.3601	None
MAFA	CCL19	0.68178	48.3	0.301	rgb(220,159,160)	1.9462	None
MAFB	CCL19	0.83994	50.47	0.467	rgb(222,128,129)	1.9896	None
MAFA	CDH22	0.79228	50.25	0.253	rgb(220,169,169)	1.9852	None
MAFB	CDH22	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	CDHR3	0.48129	41.21	0.21	rgb(219,177,177)	1.8044	None
MAFB	CDHR3	0.90913	50.63	0.632	rgb(224, 96, 97)	1.9928	None
MAFA	CDK5R2	0.63346	46.44	0.438	rgb(222,133,134)	1.909	None
MAFB	CDK5R2	0.19533	25	0	rgb(217,217,217)	1.4801	None
MAFA	CDKN1C	0.56382	45.23	0.225	rgb(219,174,174)	1.8848	None
MAFB	CDKN1C	0.95568	50.74	0.744	rgb(225, 75, 76)	1.995	None
MAFA	CELA3A	0.25535	29	0	rgb(217,217,217)	1.5601	None
MAFB	CELA3A	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	CELA3B	0.93656	50.69	0.691	rgb(225, 85, 86)	1.994	None
MAFB	CELA3B	-0.93656	50.69	-0.69	rgb( 68,126,243)	1.994	None
MAFA	CERKL	0.85502	50.53	0.535	rgb(223,115,116)	1.9908	None
MAFB	CERKL	0.70409	48.55	0.55	rgb(223,112,113)	1.9512	None
MAFA	CHGA	-0.99281	50.89	-0.89	rgb( 24,100,251)	1.998	None
MAFB	CHGA	0.96026	50.75	0.747	rgb(225, 74, 76)	1.9952	None
MAFA	CHGB	0.42454	38.49	0.488	rgb(222,124,125)	1.7499	None
MAFB	CHGB	0.82148	50.41	0.411	rgb(222,138,139)	1.9884	None
MAFA	CHST9	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
MAFB	CHST9	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
MAFA	CLCN4	0.72334	49.24	0.238	rgb(220,172,172)	1.965	None
MAFB	CLCN4	0.1881	26	0	rgb(217,217,217)	1.5001	None
MAFA	CLDN6	-0.50421	43.16	-0.16	rgb(183,196,223)	1.8434	None
MAFB	CLDN6	0.0067328	14	0	rgb(217,217,217)	1.2601	None
MAFA	CLGN	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFB	CLGN	0.37051	37.25	0.251	rgb(220,169,170)	1.7251	None
MAFA	CLIP3	0.26378	31	0	rgb(217,217,217)	1.6001	None
MAFB	CLIP3	0.11582	20	0	rgb(217,217,217)	1.3801	None
MAFA	CNGA3	0.35204	35.15	0.152	rgb(219,188,188)	1.6831	None
MAFB	CNGA3	0.47596	42.12	0.125	rgb(218,193,193)	1.8226	None
MAFA	CNIH2	0.34932	35.08	0.083	rgb(218,201,201)	1.6817	None
MAFB	CNIH2	0.59091	45.19	0.188	rgb(219,181,181)	1.884	None
MAFA	COL6A4P2	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFB	COL6A4P2	0.91322	50.68	0.676	rgb(224, 88, 89)	1.9938	None
MAFA	CPA1	0.27096	30	0	rgb(217,217,217)	1.5801	None
MAFB	CPA1	0.44073	39.36	0.36	rgb(221,148,149)	1.7674	None
MAFA	CPLX1	0.9278	50.67	0.675	rgb(224, 88, 90)	1.9936	None
MAFB	CPLX1	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFA	CPLX2	0.35093	35.12	0.124	rgb(218,193,193)	1.6825	None
MAFB	CPLX2	0.85308	50.51	0.508	rgb(223,120,121)	1.9904	None
MAFA	CPT1C	0.90669	50.66	0.664	rgb(224, 90, 92)	1.9934	None
MAFB	CPT1C	-0.77266	49.66	-0.66	rgb( 75,130,242)	1.9734	None
MAFA	CRYBA2	-0.36258	36.68	-0.68	rgb( 70,128,243)	1.7137	None
MAFB	CRYBA2	0.52111	43.46	0.455	rgb(222,130,131)	1.8494	None
MAFA	CTXN1	0.23296	29	0	rgb(217,217,217)	1.5601	None
MAFB	CTXN1	0.052045	17	0	rgb(217,217,217)	1.3201	None
MAFA	DACH1	0.27869	32	0	rgb(217,217,217)	1.6201	None
MAFB	DACH1	0.04399	16	0	rgb(217,217,217)	1.3001	None
