TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MAFB	AB074188	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
MAFA	ABLIM2	-0.61553	46.54	-0.54	rgb(101,146,237)	1.911	None
MAFA	ACBD7	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFB	ACBD7	-0.60987	46.45	-0.45	rgb(119,158,234)	1.9092	None
MAFA	ACE	0.35019	36.18	0.185	rgb(219,182,182)	1.7037	None
MAFB	ACE	0.76311	49.55	0.548	rgb(223,112,113)	1.9712	None
MAFA	ACSS3	0.092482	18	0	rgb(217,217,217)	1.3401	None
MAFA	ACTL6B	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFB	ACTL6B	0.38294	38.01	0.008	rgb(217,216,216)	1.7403	None
MAFA	ADAM12	0.43362	39.2	0.205	rgb(219,178,178)	1.7642	None
MAFB	ADAM12	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFA	ADAMTSL1	0.91322	50.68	0.685	rgb(225, 86, 88)	1.9938	None
MAFA	ADAMTSL2	0.69979	48.5	0.505	rgb(223,121,122)	1.9502	None
MAFB	ADAMTSL2	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFA	ADCY1	0.15118	22	0	rgb(217,217,217)	1.4201	None
MAFB	ADCY1	0.55597	44.62	0.62	rgb(224, 99,100)	1.8726	None
MAFA	ADCY2	0.88819	50.62	0.622	rgb(224, 98, 99)	1.9926	None
MAFB	ADORA2A	0.61499	45.75	0.755	rgb(225, 73, 74)	1.8952	2,2
MAFA	AEBP1	-0.70983	48.62	-0.62	rgb( 83,136,240)	1.9526	None
MAFB	AEBP1	0.37051	37.25	0.252	rgb(220,169,169)	1.7251	None
MAFB	AF070581	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
MAFA	AF116693	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
MAFA	AF420437	0.4501	39.77	0.768	rgb(225, 70, 72)	1.7756	2,2
MAFA	AGAP11	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFB	AGAP11	0.23296	29	0	rgb(217,217,217)	1.5601	None
