TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NPAS3	AK022997	0.69554	48.35	0.364	rgb(221,148,148)	1.9472	2,2
ZNF382	AK022997	-0.59888	45.36	-0.36	rgb(138,169,231)	1.8874	2,2
NPAS3	AK024119	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ZNF382	AK024119	-0.97637	50.85	-0.85	rgb( 32,104,249)	1.9972	2,2
NPAS3	AK094786	0.45382	40.12	0.122	rgb(218,194,194)	1.7826	2,2
ZNF382	AK094786	-0.71293	48.53	-0.53	rgb(101,146,237)	1.9508	2,2
NPAS3	AK095045	0.88385	50.61	0.606	rgb(224,101,103)	1.9924	2,2
ZNF382	AK095045	-0.69827	48.37	-0.37	rgb(137,168,231)	1.9476	2,2
NPAS3	AK123868	0.59418	45.26	0.256	rgb(220,168,169)	1.8854	2,2
ZNF382	AK123868	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
NPAS3	ARX	0.5031	42.1	0.103	rgb(218,197,197)	1.8222	2,2
ZNF382	ARX	-0.68988	48.26	-0.26	rgb(160,182,227)	1.9454	2,2
NPAS3	ASCL1	0.75192	49.45	0.446	rgb(222,132,133)	1.9692	2,2
ZNF382	ASCL1	-0.7185	48.61	-0.61	rgb( 85,137,240)	1.9524	2,2
NPAS3	BC033961	0.69141	48.29	0.287	rgb(220,162,163)	1.946	2,2
ZNF382	BC033961	-0.70322	48.43	-0.43	rgb(123,160,233)	1.9488	2,2
NPAS3	BST2	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZNF382	BST2	-0.8178	50.4	-0.4	rgb(130,164,232)	1.9882	2,2
NPAS3	C11orf92	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ZNF382	C11orf92	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
NPAS3	CACNB2	0.62652	46.34	0.672	rgb(224, 89, 90)	1.907	2,2
ZNF382	CACNB2	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
NPAS3	DCX	0.50789	42.22	0.22	rgb(219,175,175)	1.8246	2,2
ZNF382	DCX	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
NPAS3	DLL3	0.63589	46.47	0.472	rgb(222,127,128)	1.9096	2,2
ZNF382	DLL3	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
NPAS3	FAM181B	0.85663	50.54	0.536	rgb(223,115,116)	1.991	2,2
ZNF382	FAM181B	-0.72441	48.72	-0.72	rgb( 62,123,244)	1.9546	2,2
NPAS3	FAM57B	0.74168	49.33	0.33	rgb(221,154,155)	1.9668	2,2
ZNF382	FAM57B	-0.35262	35.17	-0.17	rgb(180,194,224)	1.6835	2,2
NPAS3	FHL1	0.37154	36.17	0.171	rgb(219,184,185)	1.7035	2,2
ZNF382	FHL1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
NPAS3	GDF1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ZNF382	GDF1	-0.48641	41.31	-0.31	rgb(149,176,229)	1.8064	2,2
NPAS3	GPR119	0.79736	50.27	0.269	rgb(220,166,166)	1.9856	2,2
ZNF382	GPR119	-0.41834	38.33	-0.33	rgb(146,174,229)	1.7467	2,2
NPAS3	GPR64	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ZNF382	GPR64	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
NPAS3	HLA-DQA2	0.66014	47.36	0.357	rgb(221,149,149)	1.9274	2,2
ZNF382	HLA-DQA2	-0.72652	48.8	-0.8	rgb( 44,112,247)	1.9562	2,2
NPAS3	HMP19	0.88385	50.61	0.614	rgb(224,100,101)	1.9924	2,2
ZNF382	HMP19	-0.70781	48.48	-0.48	rgb(113,154,235)	1.9498	2,2
NPAS3	INS-IGF2	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
ZNF382	INS-IGF2	-0.58757	45.06	-0.057	rgb(205,209,219)	1.8814	2,2
NPAS3	LINC00907	0.59372	45.25	0.255	rgb(220,168,169)	1.8852	2,2
ZNF382	LINC00907	-0.69917	48.38	-0.38	rgb(134,166,232)	1.9478	2,2
NPAS3	LOC100507351	0.45238	40.07	0.065	rgb(218,205,205)	1.7816	2,2
ZNF382	LOC100507351	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
NPAS3	MARCH4	0.76663	49.58	0.581	rgb(223,106,107)	1.9718	2,2
ZNF382	MARCH4	-0.61185	45.61	-0.61	rgb( 84,136,240)	1.8924	2,2
NPAS3	NXF2	0.7494	49.43	0.43	rgb(222,135,136)	1.9688	2,2
ZNF382	NXF2	-0.72375	48.7	-0.7	rgb( 64,124,244)	1.9542	2,2
NPAS3	PCDH17	0.57431	44.43	0.434	rgb(222,134,135)	1.8688	2,2
ZNF382	PCDH17	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
NPAS3	TDO2	0.73622	49.26	0.264	rgb(220,167,167)	1.9654	2,2
ZNF382	TDO2	-0.71528	48.56	-0.56	rgb( 96,144,238)	1.9514	2,2
NPAS3	TNP1	0.94601	50.76	0.757	rgb(225, 72, 74)	1.9954	2,2
ZNF382	TNP1	-0.35328	35.2	-0.2	rgb(174,191,225)	1.6841	2,2
NPAS3	ZNF853	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
ZNF382	ZNF853	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
