TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ONECUT1	AB073649	0.73899	49.3	0.304	rgb(220,159,160)	1.9662	2,2
ONECUT1	ADCY2	0.88385	50.61	0.614	rgb(224,100,101)	1.9924	None
ONECUT1	AF198444	0.44614	40.48	0.484	rgb(222,125,126)	1.7898	2,2
ONECUT1	AF420437	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
ONECUT1	AGT	0.19533	25	0	rgb(217,217,217)	1.4801	None
ONECUT1	AK025664	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ONECUT1	AK027252	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
ONECUT1	AK055257	-0.36547	35.54	-0.54	rgb(101,146,237)	1.6909	2,2
ONECUT1	AK094786	0.91722	50.65	0.646	rgb(224, 94, 95)	1.9932	2,2
ONECUT1	AK123654	0.37435	37.32	0.317	rgb(220,156,157)	1.7265	2,2
ONECUT1	AK123868	0.44907	40.6	0.6	rgb(224,102,104)	1.7922	2,2
ONECUT1	AK125301	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
ONECUT1	AK131337	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ONECUT1	AK302511	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ONECUT1	AK311257	0.72255	49.23	0.227	rgb(219,174,174)	1.9648	2,2
ONECUT1	AKR1B1	-0.92577	50.71	-0.71	rgb( 63,123,244)	1.9944	None
ONECUT1	AL832212	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	ALAS2	0.68344	48.09	0.089	rgb(218,200,200)	1.942	None
ONECUT1	ANK2	0.67741	48.23	0.375	rgb(221,145,146)	1.9448	None
ONECUT1	ANKFN1	0.39339	38.27	0.267	rgb(220,166,166)	1.7455	None
ONECUT1	ANKRD36C	0.96026	50.75	0.745	rgb(225, 75, 76)	1.9952	None
ONECUT1	ANKRD45	0.16638	23	0	rgb(217,217,217)	1.4401	None
ONECUT1	ANXA6	0.51834	43.41	0.41	rgb(222,139,139)	1.8484	None
ONECUT1	APBB1	0.50987	43.27	0.518	rgb(223,118,119)	1.8456	None
ONECUT1	ARL4D	-0.81908	50.4	-0.53	rgb(101,146,237)	1.9882	None
ONECUT1	ARNT2	0.068278	17	0	rgb(217,217,217)	1.3201	None
ONECUT1	ASIC5	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
ONECUT1	AX747598	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
ONECUT1	AX748052	0.46489	40.37	0.367	rgb(221,147,148)	1.7876	2,2
ONECUT1	AX748322	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
ONECUT1	BAALC	0.78207	49.75	0.751	rgb(225, 74, 75)	1.9752	None
ONECUT1	BC041025	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ONECUT1	C14orf132	0.84998	50.5	0.503	rgb(223,121,122)	1.9902	None
ONECUT1	C1orf127	0.75266	49.51	0.51	rgb(223,120,121)	1.9704	None
ONECUT1	C22orf42	0.971	50.83	0.83	rgb(226, 58, 60)	1.9968	None
ONECUT1	C7	0.69455	48.34	0.341	rgb(221,152,153)	1.947	None
ONECUT1	CACNA1A	0.75394	49.52	0.524	rgb(223,117,118)	1.9706	None
ONECUT1	CACNA1B	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
ONECUT1	CACNA1C	0.18104	25	0	rgb(217,217,217)	1.4801	None
ONECUT1	CACNA2D1	0.76712	49.62	0.62	rgb(224, 99,100)	1.9726	None
ONECUT1	CACNB2	0.42945	40.13	0.127	rgb(218,193,193)	1.7828	2,2
ONECUT1	CADM2	0.45589	40.17	0.385	rgb(221,143,144)	1.7836	None
ONECUT1	CARTPT	0.35283	36.24	0.237	rgb(220,172,172)	1.7049	2,2
ONECUT1	CCDC14	0.59017	46.11	0.105	rgb(218,197,197)	1.9024	None
ONECUT1	CCDC39	0.57724	45.43	0.432	rgb(222,135,135)	1.8888	None
ONECUT1	CELA3A	-0.66518	47.44	-0.44	rgb(121,159,234)	1.929	None
ONECUT1	CELA3B	-0.76258	49.58	-0.58	rgb( 90,140,239)	1.9718	None
ONECUT1	CELSR3	0.92396	50.66	0.663	rgb(224, 90, 92)	1.9934	None
ONECUT1	CLPS	-0.95147	50.73	-0.73	rgb( 59,121,245)	1.9948	None
ONECUT1	CPE	0.60814	45.54	0.542	rgb(223,113,115)	1.891	None
ONECUT1	CPLX2	0.85663	50.54	0.543	rgb(223,113,114)	1.991	None
ONECUT1	CR933660	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	CRYBA2	0.97637	50.85	0.848	rgb(226, 55, 57)	1.9972	None
ONECUT1	DCHS1	0.8905	50.59	0.593	rgb(224,104,105)	1.992	None
ONECUT1	DDC	0.13825	22	0	rgb(217,217,217)	1.4201	None
ONECUT1	DHRS2	0.68092	47.71	0.709	rgb(225, 82, 83)	1.9344	None
ONECUT1	DKFZp686M11215	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ONECUT1	DOCK8	0.31152	34	0	rgb(217,217,217)	1.6601	None
ONECUT1	DPP10	0.22515	27	0	rgb(217,217,217)	1.5201	None
ONECUT1	DSCAML1	0.43474	40.24	0.241	rgb(220,171,171)	1.785	None
ONECUT1	DST	0.1881	26	0	rgb(217,217,217)	1.5001	None
ONECUT1	ELFN1	0.36464	37.09	0.094	rgb(218,199,199)	1.7219	None
ONECUT1	EML1	-0.4551	41.18	-0.18	rgb(177,193,224)	1.8038	None
ONECUT1	ENPP7	-0.58922	46.04	-0.28	rgb(157,180,228)	1.901	None
ONECUT1	EPHA4	0.29533	33	0	rgb(217,217,217)	1.6401	None
ONECUT1	FAM171A2	0.64717	47.44	0.44	rgb(222,133,134)	1.929	None
ONECUT1	FAM179A	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
ONECUT1	FAT3	0.36634	37.14	0.138	rgb(219,191,191)	1.7229	None
ONECUT1	FBN1	-0.45023	40.01	-0.015	rgb(214,215,218)	1.7804	2,2
ONECUT1	FCAMR	0.23296	29	0	rgb(217,217,217)	1.5601	None
ONECUT1	FCGBP	0.23296	29	0	rgb(217,217,217)	1.5601	None
ONECUT1	FEV	0.82292	50.42	0.424	rgb(222,136,137)	1.9886	None
ONECUT1	FFAR2	0.54655	43.38	0.382	rgb(221,144,145)	1.8478	None
ONECUT1	FHL1	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
ONECUT1	GABRB3	0.64436	47.41	0.414	rgb(222,138,139)	1.9284	2,2
ONECUT1	GABRP	0.72123	49.21	0.206	rgb(219,178,178)	1.9644	None
ONECUT1	GLUD1P3	0.56064	45.16	0.158	rgb(219,187,187)	1.8834	None
ONECUT1	GLYATL3	0.93891	50.74	0.737	rgb(225, 76, 78)	1.995	None
ONECUT1	GOLGA8B	0.76914	49.63	0.633	rgb(224, 96, 97)	1.9728	None
ONECUT1	GPBAR1	0.4872	41.32	0.324	rgb(221,155,156)	1.8066	None
ONECUT1	GPC6	-0.5881	45.08	-0.29	rgb(155,179,228)	1.8818	None
ONECUT1	GPR112	0.55006	44.48	0.481	rgb(222,125,126)	1.8698	2,2
ONECUT1	GPR116	0.78806	50.19	0.414	rgb(222,138,139)	1.984	2,2
ONECUT1	GPR142	0.91553	50.64	0.64	rgb(224, 95, 96)	1.993	None
ONECUT1	GSTA2	0.21727	28	0	rgb(217,217,217)	1.5401	None
ONECUT1	HECW2	0.15832	24	0	rgb(217,217,217)	1.4601	None
ONECUT1	HIF1A-AS2	-0.42739	38.6	-0.6	rgb( 87,138,240)	1.7522	2,2
ONECUT1	HMBOX1	0.77542	49.69	0.691	rgb(225, 85, 86)	1.974	None
ONECUT1	HNF1A-AS1	0.62309	47.07	0.066	rgb(218,204,204)	1.9216	None
ONECUT1	HOPX	-0.95568	50.74	-0.75	rgb( 54,118,245)	1.995	None
ONECUT1	IGSF21	0.89938	50.65	0.649	rgb(224, 93, 94)	1.9932	None
ONECUT1	JAKMIP2	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ONECUT1	JPH4	0.20355	27	0	rgb(217,217,217)	1.5201	None
ONECUT1	KCNH7	0.53461	43.07	0.066	rgb(218,204,205)	1.8416	None
ONECUT1	KCNMA1	0.88616	50.58	0.584	rgb(223,106,107)	1.9918	None
ONECUT1	KCNMB2	0.84519	50.5	0.503	rgb(223,121,122)	1.9902	None
ONECUT1	KCNN3	0.8691	50.57	0.566	rgb(223,109,110)	1.9916	None
ONECUT1	KIAA1324	0.75919	49.56	0.681	rgb(224, 87, 88)	1.9714	None
ONECUT1	KIAA1328	0.90913	50.63	0.628	rgb(224, 97, 98)	1.9928	None
ONECUT1	KLK12	-0.39141	38.24	-0.24	rgb(165,185,226)	1.7449	None
ONECUT1	KSR2	0.78166	49.74	0.739	rgb(225, 76, 77)	1.975	None
ONECUT1	KTN1-AS1	0.97336	50.84	0.844	rgb(226, 56, 57)	1.997	None
ONECUT1	LINC00202-1	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ONECUT1	LINC00514	0.52862	44.05	0.052	rgb(218,207,207)	1.8612	None
ONECUT1	LIPC	0.26378	31	0	rgb(217,217,217)	1.6001	None
ONECUT1	LMX1A	0.96501	50.81	0.808	rgb(226, 63, 64)	1.9964	None
ONECUT1	LOC100271836	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
ONECUT1	LOC100288123	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
ONECUT1	LOC100507351	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ONECUT1	LOC151009	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
ONECUT1	LOC283731	0.51231	43.31	0.315	rgb(220,157,158)	1.8464	2,2
ONECUT1	LOC400927	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
ONECUT1	LOC642366	0.66786	47.7	0.697	rgb(225, 84, 85)	1.9342	2,2
ONECUT1	LOC731275	0.36452	35.49	0.492	rgb(222,123,124)	1.6899	2,2
ONECUT1	LRP4-AS1	0.15118	22	0	rgb(217,217,217)	1.4201	None
ONECUT1	MAST1	0.23296	29	0	rgb(217,217,217)	1.5601	None
ONECUT1	MDN1	0.78121	49.8	0.796	rgb(226, 65, 67)	1.9762	None
ONECUT1	MEP1B	0.084387	19	0	rgb(217,217,217)	1.3601	None
ONECUT1	MIPOL1	0.51834	43.41	0.408	rgb(221,139,140)	1.8484	None
ONECUT1	MMP2	0.12321	21	0	rgb(217,217,217)	1.4001	None
ONECUT1	MPP2	0.027303	15	0	rgb(217,217,217)	1.2801	None
ONECUT1	MS4A8	0.26378	31	0	rgb(217,217,217)	1.6001	None
ONECUT1	MSMB	-0.56584	45.26	-0.26	rgb(160,183,227)	1.8854	None
ONECUT1	MTUS2	0.95147	50.73	0.729	rgb(225, 78, 79)	1.9948	None
ONECUT1	MUC16	0.83635	50.46	0.461	rgb(222,129,130)	1.9894	None
ONECUT1	MUC3A	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
ONECUT1	MYT1	0.34114	34.24	0.241	rgb(220,171,171)	1.6649	None
ONECUT1	NAV3	0.70847	48.6	0.603	rgb(224,102,103)	1.9522	None
ONECUT1	NBPF10	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ONECUT1	NCALD	0.13057	21	0	rgb(217,217,217)	1.4001	None
ONECUT1	NFAT5	0.90913	50.63	0.626	rgb(224, 97, 99)	1.9928	None
ONECUT1	NNMT	0.20355	27	0	rgb(217,217,217)	1.5201	None
ONECUT1	NPAS3	0.41314	39.28	0.279	rgb(220,164,164)	1.7658	None
ONECUT1	NR2F2-AS1	0.34824	36.13	0.126	rgb(218,193,193)	1.7027	None
ONECUT1	PAK6	0.72962	49.11	0.225	rgb(219,174,174)	1.9624	None
ONECUT1	PALMD	0.81524	50.39	0.392	rgb(221,142,143)	1.988	None
ONECUT1	PAX6	0.40777	39.14	0.14	rgb(219,190,191)	1.763	None
ONECUT1	PBOV1	0.82887	50.44	0.438	rgb(222,133,134)	1.989	None
ONECUT1	PBX3	-0.61611	46.55	-0.55	rgb( 98,145,238)	1.9112	None
ONECUT1	PCDH17	0.57497	45.39	0.393	rgb(221,142,143)	1.888	2,2
ONECUT1	PEX5L	0.69314	48.43	0.427	rgb(222,135,136)	1.9488	None
ONECUT1	PGM5	0.56142	44.12	0.116	rgb(218,195,195)	1.8626	None
ONECUT1	PNPO	-0.55535	44.6	-0.6	rgb( 86,138,240)	1.8722	None
ONECUT1	PODXL2	0.69554	48.35	0.349	rgb(221,150,151)	1.9472	None
ONECUT1	PPP1R1A	0.92003	50.69	0.685	rgb(225, 86, 88)	1.994	None
ONECUT1	PRR7	-0.63247	47.29	-0.54	rgb(100,146,238)	1.926	None
ONECUT1	QDPR	-0.57266	45.37	-0.37	rgb(136,168,231)	1.8876	None
ONECUT1	RAB26	0.23961	28	0	rgb(217,217,217)	1.5401	None
ONECUT1	RAB36	0.027303	15	0	rgb(217,217,217)	1.2801	None
ONECUT1	RAB3C	0.7494	49.43	0.431	rgb(222,135,135)	1.9688	None
ONECUT1	RAB4B-EGLN2	0.79542	50.28	0.282	rgb(220,163,164)	1.9858	None
ONECUT1	RAPGEF4	-0.3912	37.14	-0.14	rgb(187,199,222)	1.7229	None
ONECUT1	RBP2	-0.60636	46.39	-0.39	rgb(133,166,232)	1.908	None
ONECUT1	RUNX1T1	0.82148	50.41	0.405	rgb(221,140,140)	1.9884	None
ONECUT1	SAMD11	0.26378	31	0	rgb(217,217,217)	1.6001	None
ONECUT1	SCGN	0.83143	50.46	0.463	rgb(222,129,130)	1.9894	None
ONECUT1	SGSM1	0.13057	21	0	rgb(217,217,217)	1.4001	None
ONECUT1	SH3BP5-AS1	0.90434	50.62	0.619	rgb(224, 99,100)	1.9926	None
ONECUT1	SLC16A12	0.052045	17	0	rgb(217,217,217)	1.3201	None
ONECUT1	SLC25A53	0.63028	46.39	0.389	rgb(221,143,144)	1.908	None
ONECUT1	SLC38A3	0.20355	27	0	rgb(217,217,217)	1.5201	None
ONECUT1	SLC8A1	0.34886	36.15	0.153	rgb(219,188,188)	1.7031	None
ONECUT1	SNAP25	0.15118	22	0	rgb(217,217,217)	1.4201	None
ONECUT1	SPINK4	-0.65196	47.49	-0.49	rgb(110,152,236)	1.93	None
ONECUT1	SPOCK3	0.62825	46.36	0.357	rgb(221,149,149)	1.9074	None
ONECUT1	SPTBN4	0.68265	47.88	0.882	rgb(227, 49, 50)	1.9378	None
ONECUT1	ST6GALNAC5	0.96353	50.76	0.764	rgb(225, 71, 73)	1.9954	None
ONECUT1	STARD9	0.44168	40.38	0.383	rgb(221,144,145)	1.7878	None
ONECUT1	STRC	0.17332	24	0	rgb(217,217,217)	1.4601	None
ONECUT1	SUCNR1	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ONECUT1	SYNE2	0.64139	47.38	0.385	rgb(221,144,144)	1.9278	None
ONECUT1	TAGLN3	-0.79314	50.21	-0.39	rgb(132,165,232)	1.9844	None
ONECUT1	TBC1D3H	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	TFCP2L1	-0.89488	50.6	-0.6	rgb( 86,138,240)	1.9922	None
ONECUT1	TMEFF2	0.53449	43.06	0.211	rgb(219,177,177)	1.8414	None
ONECUT1	TMEM132B	0.45551	41.19	0.186	rgb(219,181,182)	1.804	None
ONECUT1	TMEM196	0.82053	50.41	0.408	rgb(221,139,140)	1.9884	None
ONECUT1	TMEM45A	0.63953	47.36	0.36	rgb(221,148,149)	1.9274	None
ONECUT1	TMOD1	-0.54626	44.41	-0.41	rgb(128,163,233)	1.8684	None
ONECUT1	TPGS1	-0.49897	41.62	-0.62	rgb( 83,135,240)	1.8126	None
ONECUT1	TRIM66	0.44424	40.43	0.431	rgb(222,135,136)	1.7888	None
ONECUT1	TRPC6	-0.77893	49.77	-0.77	rgb( 50,115,246)	1.9756	None
ONECUT1	TRPM2	0.34775	35.01	0.007	rgb(217,216,216)	1.6803	None
ONECUT1	TSSK4	0.84998	50.5	0.504	rgb(223,121,122)	1.9902	None
