TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
POU2F2	ABLIM2	0.21727	28	0	rgb(217,217,217)	1.5401	None
POU5F1	ABLIM2	0.44713	40.51	0.508	rgb(223,120,121)	1.7904	None
POU2F2	ACBD7	-0.50905	43.26	-0.26	rgb(161,183,227)	1.8454	None
POU5F1	ACBD7	0.56382	44.19	0.194	rgb(219,180,180)	1.864	None
POU2F2	ACOT7	-0.61702	46.09	-0.095	rgb(196,204,221)	1.902	None
POU5F1	ACOT7	0.23296	29	0	rgb(217,217,217)	1.5601	None
POU2F2	ACTL6B	0.64019	46.56	0.565	rgb(223,109,110)	1.9114	None
POU5F1	ADAM12	-0.37435	37.32	-0.32	rgb(148,175,229)	1.7265	None
POU2F2	ADAM20P1	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
POU5F1	ADAM20P1	0.60636	46.39	0.395	rgb(221,142,142)	1.908	2,2
POU2F2	ADCY1	0.14469	23	0	rgb(217,217,217)	1.4401	None
POU5F1	ADCY1	0.56584	45.26	0.265	rgb(220,166,167)	1.8854	None
POU5F1	ADCY2	0.83994	50.47	0.467	rgb(222,128,129)	1.9896	None
POU2F2	AF116693	0.71115	48.51	0.507	rgb(223,120,121)	1.9504	2,2
POU2F2	AF420437	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
POU2F2	AGAP11	0.092482	18	0	rgb(217,217,217)	1.3401	None
POU5F1	AGAP9	0.70669	48.58	0.58	rgb(223,106,107)	1.9518	2,2
POU2F2	AK024092	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
POU5F1	AK024092	0.52569	43.62	0.619	rgb(224, 99,100)	1.8526	2,2
POU5F1	AK024248	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
POU2F2	AK054970	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
POU2F2	AK091275	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
POU5F1	AK091275	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
POU2F2	AK091729	0.87641	50.56	0.559	rgb(223,110,111)	1.9914	2,2
POU5F1	AK091996	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
POU5F1	AK094909	0.60863	46.43	0.428	rgb(222,135,136)	1.9088	2,2
POU5F1	AK094916	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
POU5F1	AK095242	0.93656	50.69	0.693	rgb(225, 85, 86)	1.994	2,2
