TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
TFCP2L1	AB007962	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
ZNF846	AB073649	0.90434	50.62	0.621	rgb(224, 98,100)	1.9926	2,2
SMAD9	ABCC8	0.43238	40.19	0.186	rgb(219,181,182)	1.784	None
ZNF846	ABCC8	0.27096	30	0	rgb(217,217,217)	1.5801	None
TFCP2L1	ABCC9	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ZNF846	ABCC9	0.98996	50.87	0.865	rgb(227, 52, 53)	1.9976	2,2
SMAD9	ACBD7	0.17332	24	0	rgb(217,217,217)	1.4601	None
SMAD9	ACE	0.67286	48.07	0.067	rgb(218,204,204)	1.9416	None
SMAD9	ACOT7	0.076869	18	0	rgb(217,217,217)	1.3401	None
TFCP2L1	ACOT7	0.58269	45.53	0.534	rgb(223,115,116)	1.8908	None
ZNF846	ACOT7	0.73218	49.19	0.186	rgb(219,181,182)	1.964	None
SMAD9	ACSS3	0.85663	50.54	0.545	rgb(223,113,114)	1.991	None
ZNF846	ACSS3	0.80913	50.35	0.347	rgb(221,151,151)	1.9872	None
ZNF846	ADAM20P1	0.53548	44.24	0.24	rgb(220,171,172)	1.865	2,2
ZNF846	ADAMTSL1	0.052045	17	0	rgb(217,217,217)	1.3201	None
TFCP2L1	ADAMTSL2	-0.68472	48.34	-0.34	rgb(143,172,230)	1.947	None
TFCP2L1	ADCY1	0.89488	50.6	0.601	rgb(224,102,103)	1.9922	None
TFCP2L1	ADCY2	-0.91553	50.64	-0.64	rgb( 78,132,241)	1.993	None
SMAD9	ADORA2A	0.84692	50.49	0.495	rgb(222,123,124)	1.99	2,2
TFCP2L1	ADORA2A	-0.89488	50.6	-0.6	rgb( 86,137,240)	1.9922	2,2
TFCP2L1	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
SMAD9	AF086346	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ZNF846	AF116693	-0.37984	36.38	-0.38	rgb(134,166,232)	1.7077	2,2
TFCP2L1	AF198444	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ZNF846	AF198444	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
SMAD9	AF289551	0.53069	42.73	0.734	rgb(225, 77, 78)	1.8348	2,2
TFCP2L1	AF289551	-0.52425	42.52	-0.52	rgb(103,148,237)	1.8306	2,2
ZNF846	AF420437	0.27096	31	0	rgb(217,217,217)	1.6001	2,2
SMAD9	AGAP11	0.092482	18	0	rgb(217,217,217)	1.3401	None
TFCP2L1	AGAP11	0.084387	19	0	rgb(217,217,217)	1.3601	None
ZNF846	AGAP11	0.46088	41.28	0.281	rgb(220,163,164)	1.8058	None
TFCP2L1	AGAP9	-0.55353	43.52	-0.52	rgb(103,148,237)	1.8506	2,2
ZNF846	AGAP9	0.48674	42.32	0.322	rgb(221,156,156)	1.8266	2,2
TFCP2L1	AGT	-0.41198	39.26	-0.26	rgb(160,182,227)	1.7654	None
ZNF846	AGT	-0.77658	49.73	-0.73	rgb( 59,121,245)	1.9748	None
SMAD9	AHNAK	0.29533	33	0	rgb(217,217,217)	1.6401	None
TFCP2L1	AHNAK	0.53461	43.07	0.234	rgb(220,172,173)	1.8416	None
ZNF846	AK024092	-0.92577	50.71	-0.71	rgb( 62,123,244)	1.9944	2,2
TFCP2L1	AK024248	-0.53011	42.68	-0.68	rgb( 70,128,243)	1.8338	2,2
TFCP2L1	AK025664	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ZNF846	AK054970	0.78121	49.8	0.799	rgb(226, 64, 66)	1.9762	2,2
TFCP2L1	AK055257	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
TFCP2L1	AK057596	-0.51578	42.36	-0.36	rgb(139,170,231)	1.8274	2,2
ZNF846	AK057596	0.65679	47.54	0.542	rgb(223,114,115)	1.931	2,2
ZNF846	AK091275	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZNF846	AK091729	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ZNF846	AK091996	-0.48294	41.24	-0.24	rgb(164,185,226)	1.805	2,2
TFCP2L1	AK092380	-0.37898	36.35	-0.35	rgb(140,170,230)	1.7071	2,2
TFCP2L1	AK094156	0.54845	44.45	0.448	rgb(222,131,132)	1.8692	2,2
ZNF846	AK094156	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
TFCP2L1	AK094909	-0.63416	46.45	-0.45	rgb(120,158,234)	1.9092	2,2
ZNF846	AK094909	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
TFCP2L1	AK094916	-0.85502	50.53	-0.53	rgb(103,147,237)	1.9908	2,2
ZNF846	AK094916	0.58459	45.57	0.571	rgb(223,108,109)	1.8916	2,2
TFCP2L1	AK095546	-0.7387	49.29	-0.29	rgb(155,179,228)	1.966	2,2
ZNF846	AK095546	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
ZNF846	AK096291	-0.40492	39.04	-0.039	rgb(209,212,218)	1.761	2,2
SMAD9	AK097012	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
SMAD9	AK097119	0.55787	43.72	0.722	rgb(225, 79, 80)	1.8546	2,2
TFCP2L1	AK097143	-0.52672	42.58	-0.58	rgb( 92,141,239)	1.8318	2,2
ZNF846	AK122764	-0.84192	50.49	-0.49	rgb(110,152,236)	1.99	2,2
ZNF846	AK123654	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
