TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
TP73	ABCC8	0.48455	41.27	0.275	rgb(220,165,165)	1.8056	None
TP73	ABLIM2	-0.45122	40.04	-0.041	rgb(208,212,219)	1.781	None
TP73	AK025664	-0.53461	43.07	-0.074	rgb(201,207,220)	1.8416	2,2
TP73	AK055257	-0.45002	39.72	-0.72	rgb( 61,122,244)	1.7746	2,2
TP73	AK311257	0.49851	41.6	0.603	rgb(224,102,103)	1.8122	2,2
TP73	AMER3	0.19533	25	0	rgb(217,217,217)	1.4801	None
TP73	ANKRD20A9P	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
TP73	ANKRD45	-0.53366	43.03	-0.027	rgb(211,213,218)	1.8408	None
TP73	AP3B2	0.93036	50.72	0.72	rgb(225, 79, 81)	1.9946	None
TP73	ARC	0.21727	28	0	rgb(217,217,217)	1.5401	None
TP73	ATP1A3	0.29533	33	0	rgb(217,217,217)	1.6401	None
TP73	ATP6V0E2	0.9482	50.72	0.724	rgb(225, 79, 80)	1.9946	None
TP73	AX747158	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
TP73	AX747179	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
TP73	BEGAIN	0.43561	39.26	0.257	rgb(220,168,168)	1.7654	None
TP73	C4orf48	-0.69711	48.36	-0.36	rgb(139,170,231)	1.9474	None
TP73	CADM2	0.32805	35	0	rgb(217,217,217)	1.6801	None
TP73	CADM3	0.6912	48.28	0.278	rgb(220,164,165)	1.9458	None
TP73	CAMK2B	0.74886	49.48	0.484	rgb(222,125,126)	1.9698	None
TP73	CBFA2T3	0.87641	50.56	0.556	rgb(223,111,112)	1.9914	None
TP73	CCDC74B	0.94403	50.71	0.712	rgb(225, 81, 82)	1.9944	None
TP73	CD70	0.76993	49.61	0.61	rgb(224,100,102)	1.9724	None
TP73	CFH	-0.90913	50.63	-0.63	rgb( 80,134,241)	1.9928	2,2
TP73	CHRNA3	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
TP73	CHRNA5	0.79182	50.24	0.242	rgb(220,171,171)	1.985	None
TP73	CHST10	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
TP73	CLPS	-0.88385	50.61	-0.61	rgb( 85,137,240)	1.9924	None
TP73	CNTN3	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
TP73	CPA1	0.25535	29	0	rgb(217,217,217)	1.5601	None
TP73	CR627394	-0.38249	37.8	-0.8	rgb( 44,112,247)	1.7361	2,2
TP73	DKFZp686M11215	-0.4463	39.52	-0.52	rgb(105,149,237)	1.7706	2,2
TP73	DNLZ	-0.44924	40.62	-0.62	rgb( 84,136,240)	1.7926	None
TP73	DOCK8	0.30343	32	0	rgb(217,217,217)	1.6201	None
TP73	EML1	-0.72375	48.7	-0.7	rgb( 66,125,244)	1.9542	None
TP73	ENPP7	-0.73147	49.17	-0.17	rgb(181,195,223)	1.9636	None
TP73	F10	-0.36006	35.37	-0.37	rgb(136,168,231)	1.6875	None
TP73	FABP5	0.94403	50.73	0.731	rgb(225, 77, 79)	1.9948	None
TP73	FBN1	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
TP73	FKSG51	-0.67398	47.56	-0.56	rgb( 96,143,238)	1.9314	2,2
TP73	FOXJ1	0.971	50.83	0.827	rgb(226, 59, 61)	1.9968	None
TP73	FSD1	0.87278	50.55	0.547	rgb(223,113,114)	1.9912	None
TP73	FUT7	0.060595	16	0	rgb(217,217,217)	1.3001	None
TP73	GNG4	0.52247	43.51	0.512	rgb(223,119,120)	1.8504	None
TP73	GPR142	0.64283	46.62	0.616	rgb(224, 99,101)	1.9126	None
TP73	GRIK5	-0.3765	36.29	-0.29	rgb(154,179,228)	1.7059	None
TP73	HIF1A-AS2	-0.53292	42.87	-0.87	rgb( 27,102,250)	1.8376	2,2
TP73	IL11	-0.40372	38.75	-0.75	rgb( 54,118,245)	1.7552	2,2
TP73	ISLR2	-0.38885	37.07	-0.07	rgb(202,208,220)	1.7215	None
TP73	JAKMIP1	0.21045	26	0	rgb(217,217,217)	1.5001	None
TP73	KCNAB2	0.5487	43.42	0.418	rgb(222,137,138)	1.8486	None
TP73	KCNH8	-0.38116	37.59	-0.59	rgb( 89,139,239)	1.7319	None
TP73	KHK	0.10777	20	0	rgb(217,217,217)	1.3801	None
TP73	KIT	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
TP73	LCP1	-0.54952	44.47	-0.47	rgb(115,155,235)	1.8696	None
TP73	LGI3	-0.64779	47.05	-0.048	rgb(207,211,219)	1.9212	None
TP73	LIMS2	0.82772	50.44	0.436	rgb(222,134,135)	1.989	None
TP73	LINC00894	0.25535	29	0	rgb(217,217,217)	1.5601	None
TP73	LINC00939	-0.88819	50.62	-0.62	rgb( 83,136,240)	1.9926	None
TP73	LIPC	0.70715	48.47	0.469	rgb(222,127,128)	1.9496	None
TP73	LRFN1	0.78765	50.18	0.178	rgb(219,183,183)	1.9838	None
TP73	LRRC49	0.027303	15	0	rgb(217,217,217)	1.2801	None
TP73	LTBP2	0.076869	18	0	rgb(217,217,217)	1.3401	None
TP73	MALAT1	-0.92003	50.69	-0.69	rgb( 67,126,243)	1.994	None
TP73	MAP3K12	0.43065	39.09	0.09	rgb(218,200,200)	1.762	None
TP73	MAPK8IP2	0.47253	40.58	0.584	rgb(223,105,107)	1.7918	2,2
TP73	MIAT	0.30343	32	0	rgb(217,217,217)	1.6201	None
TP73	MLLT11	0.24796	30	0	rgb(217,217,217)	1.5801	None
TP73	MMP11	0.73899	49.3	0.301	rgb(220,160,160)	1.9662	None
TP73	MSMB	-0.52627	42.56	-0.56	rgb( 96,143,238)	1.8314	None
TP73	MUC17	-0.80768	50.36	-0.36	rgb(139,169,231)	1.9874	None
TP73	NAALADL1	-0.35481	36.29	-0.29	rgb(153,178,228)	1.7059	None
TP73	NCS1	0.83804	50.48	0.478	rgb(222,126,127)	1.9898	None
TP73	NEAT1	-0.73928	49.41	-0.41	rgb(128,163,233)	1.9684	None
TP73	NPTXR	0.88819	50.62	0.617	rgb(224, 99,100)	1.9926	None
TP73	NRXN2	0.29533	33	0	rgb(217,217,217)	1.6401	None
TP73	OGFRL1	0.55027	43.45	0.451	rgb(222,131,132)	1.8492	None
TP73	PAK7	0.83474	50.47	0.473	rgb(222,127,128)	1.9896	2,2
TP73	PDE8B	0.32805	35	0	rgb(217,217,217)	1.6801	None
TP73	PDZD4	0.68472	48.34	0.339	rgb(221,152,153)	1.947	None
TP73	PITRM1-AS1	0.70087	48.41	0.414	rgb(222,138,139)	1.9484	None
TP73	PMS2L14	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
TP73	PRRT2	0.30343	32	0	rgb(217,217,217)	1.6201	None
TP73	PSD	0.83143	50.46	0.463	rgb(222,129,130)	1.9894	None
TP73	PTGDR2	0.62561	47.19	0.187	rgb(219,181,182)	1.924	None
TP73	PTP4A3	0.51359	43.33	0.328	rgb(221,154,155)	1.8468	None
TP73	RAB26	0.98001	50.82	0.822	rgb(226, 60, 62)	1.9966	None
TP73	RAB3C	0.51549	43.37	0.372	rgb(221,146,147)	1.8476	None
TP73	RPS6KL1	0.48455	41.27	0.273	rgb(220,165,165)	1.8056	None
TP73	RTN4RL1	0.31941	33	0	rgb(217,217,217)	1.6401	None
TP73	RUSC1-AS1	0.40368	38.73	0.735	rgb(225, 77, 78)	1.7548	None
TP73	S100A1	0.23296	29	0	rgb(217,217,217)	1.5601	None
TP73	S100G	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
TP73	SAMD14	0.21727	28	0	rgb(217,217,217)	1.5401	None
TP73	SERPINI1	0.22515	27	0	rgb(217,217,217)	1.5201	None
TP73	SMOC1	0.20355	27	0	rgb(217,217,217)	1.5201	None
TP73	SPDYA	-0.77592	49.67	-0.67	rgb( 72,129,242)	1.9736	None
TP73	SPDYE5	0.38542	38.1	0.102	rgb(218,198,198)	1.7421	None
TP73	STMN3	0.70182	48.41	0.41	rgb(222,139,139)	1.9484	None
TP73	TAC3	-0.59215	46.18	-0.18	rgb(177,193,224)	1.9038	None
TP73	TAS2R20	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
TP73	TCTEX1D4	-0.51132	43.29	-0.29	rgb(154,179,228)	1.846	None
TP73	TFCP2L1	0.14469	23	0	rgb(217,217,217)	1.4401	None
TP73	TMPRSS6	0.89488	50.6	0.603	rgb(224,102,103)	1.9922	None
TP73	TPGS1	0.10029	19	0	rgb(217,217,217)	1.3601	None
TP73	TPST2	0.72949	49.1	0.098	rgb(218,198,198)	1.9622	None
TP73	TSPAN11	0.97336	50.84	0.84	rgb(226, 57, 58)	1.997	None
TP73	TUB	-0.75812	49.5	-0.5	rgb(108,151,236)	1.9702	None
TP73	TUBB4A	0.41549	39.33	0.331	rgb(221,154,154)	1.7668	2,2
TP73	UBN2	-0.51619	43.38	-0.38	rgb(134,166,232)	1.8478	None
TP73	UCP2	0.12321	21	0	rgb(217,217,217)	1.4001	None
TP73	UGDH-AS1	0.10029	19	0	rgb(217,217,217)	1.3601	None
TP73	USP6	-0.61185	45.61	-0.61	rgb( 86,137,240)	1.8924	None
TP73	VGF	0.62416	46.3	0.63	rgb(224, 97, 98)	1.9062	None
TP73	WDR96	-0.37435	37.32	-0.32	rgb(148,175,229)	1.7265	2,2
TP73	WNK2	0.83994	50.47	0.469	rgb(222,127,128)	1.9896	None
TP73	WSB1	0.19533	25	0	rgb(217,217,217)	1.4801	None
TP73	ZNF853	0.95374	50.78	0.781	rgb(226, 68, 69)	1.9958	None
