TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
SMAD9	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	257	36	0.0	0.0	ABCC8 ADCY5 BEGAIN CACNA1B CACNA1E CACNA2D2 CACNB4 CAMK2B CHRNA1 CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 GRIN2C HCN4 KCNC1 KCNF1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2 LIN7A NCALD NEFL PPM1E PRKCG SLC1A2 STXBP1 SYT2 TSPAN7 TUBB3
MAFA	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	331	40	9.721334848222796e-12	3.46082436997e-06	ADCY1 ADCY2 ADCY5 BEGAIN CACNA2D2 CACNG4 CHRNA1 CHRNA5 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIA2 GRIK5 KCNB2 KCNC1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMB2 KCNMB3 KCNN3 LIN7A LRFN2 NCALD NRXN2 PPM1E SLC1A2 SLITRK6 SNAP25 SYN1 SYT2 TSPAN7 TUBB3
ASCL1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	119	23	1.0396461469497353e-11	3.70116107606e-06	ABCC8 ADCY5 CACNA1A CACNB4 CAMK1 CAMK2B CHRNB2 GABBR2 GRIK3 GRIN2C HCN4 KCNA6 KCNB2 KCNC1 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 LRRTM3 NRXN2 PPM1E STXBP1
LMX1A	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	282	35	1.3348100402765795e-11	4.75193709149e-06	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK1 CHRNB4 GABRA1 GABRB3 GAD2 GNG2 GRIA2 GRIK5 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMA1 KCNMB2 KCNN3 LIN7A LRFN2 LRRTM3 NCALD NEFL PPM1E SLITRK6 SNAP25 STX1A SYN1 TUBA1A TUBB2B
ETV1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	339	40	3.048061802957136e-11	1.08511000185e-05	ABCC8 BEGAIN CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK2B CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4 GABRB3 GABRG2 GJD2 GNG2 GNG4 GRIK5 KCNAB2 KCNB2 KCNF1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3 LIN7A LRFN2 NCALD PRKCG SLITRK6 SYN1 SYT2 TUBA1A
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	255	32	3.415556726338309e-11	1.21593477902e-05	CACNA1A CACNA1E CACNB2 CACNB4 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 KCNN3 LIN7A LRFN2 NCALD NEFL NRXN2 PPM1E PRKCG SNAP25 TUBA1A TUBB3 TUBB4A
MAFB	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	345	19	4.020905830515176e-11	1.43143443385e-05	GABBR2 GNG2 GNG4 HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2
SMAD9	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	257	25	9.70580282810829e-11	3.4552366894e-05	ADCY5 CACNA1B CACNA1E CACNA2D2 CACNB4 CAMK2B CHRNA1 CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 GRIN2C KCNJ2 KCNJ6 LIN7A NCALD NEFL PPM1E PRKCG SLC1A2 STXBP1 TSPAN7 TUBB3
FEV	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	243	30	1.1338630034885e-10	4.0365069379e-05	ABCC8 ADCY1 ADCY2 ADCY5 BEGAIN CACNA1A CHRNA1 CHRNB2 DLG2 GABRG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 GRIN2C HCN4 KCNH2 KCNH3 KCNH6 KCNK16 LIN7A LRRTM3 PPM1E SLITRK6 SNAP25 STX1A SYN1 TUBA1A TUBB3
MAFB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	345	36	1.9007306839569083e-10	6.76650619835e-05	ADCY1 CACNA1A CACNA1E CACNA2D2 CACNB4 CACNG4 CHRNB4 CPLX1 DLG2 GABBR2 GABRA1 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 LRFN2 NRXN2 SNAP25 STX1A SYN1 TSPAN7
NR4A3	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	285	32	3.0096014569380714e-10	0.000107140006106	ADCY1 ADCY2 ADCY5 CACNA1B CACNA1E CACNA2D2 CAMK1 CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 GRIN1 KCNAB2 KCNB2 KCNC1 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 LRFN2 NCALD NRXN2 PRKCG SNAP25 STX1A SYT2
SIX2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	244	29	5.434835914641667e-10	0.000193476354176	ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CACNB4 CHRNA1 DLG2 GABRA1 GABRB3 GABRG2 GAD2 GRIA2 GRIN1 GRIN2C KCNC1 KCNH8 KCNMA1 KCNMB2 KCNN3 NCALD NEFL PPM1E PRKCG SLC1A2 SLITRK6 STX1A STXBP1 SYT2
LMX1A	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	up	282	15	6.391085438650634e-10	0.000227517528748	AGT CES1 CPB1 CPE FFAR1 GIP GPR119 ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 SLC30A8 STX1A
LMX1A	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	282	25	6.711617928090163e-10	0.000238927557784	ADCY2 ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK1 CHRNB4 GABRA1 GABRB3 GAD2 GNG2 GRIA2 GRIK5 KCNJ2 KCNJ3 LIN7A NCALD NEFL PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B
ETV1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	339	17	9.918604826353317e-10	0.000353092413213	ABCC8 GNG2 GNG4 KCNAB2 KCNB2 KCNF1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3
ASCL1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	119	11	2.0014319090932986e-09	0.000712487743886	ABCC8 GABBR2 HCN4 KCNA6 KCNB2 KCNC1 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17
GATA2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	227	27	2.1071397959815386e-09	0.000750116481692	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1E CACNB4 CHRNA5 DLG2 GABRB3 GJD2 GRIA2 GRIK5 KCNG1 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 NRXN2 PPM1E SLC1A2 SNAP25 STX1A
SIX2	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	244	22	5.325945351408734e-09	0.00189596730781	ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CACNB4 CHRNA1 DLG2 GABRA1 GABRB3 GABRG2 GAD2 GRIA2 GRIN1 GRIN2C NCALD NEFL PPM1E PRKCG SLC1A2 STX1A STXBP1
SPIB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	255	28	6.421031373271546e-09	0.00228579727445	ADCY1 BEGAIN CACNA1A CACNA1E CACNA2D2 CACNB4 CPLX1 DLG2 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN2C KCNB2 KCNC1 KCNG1 KCNJ2 KCNJ3 KCNJ6 KCNK17 LIN7A LRRTM3 NCALD NRXN2 SYN1 SYT2 TUBB3
SOX4	REACTOME	REACTOME_NEURONAL_SYSTEM	410	down	239	27	6.523325879470576e-09	0.0023222061632	ABCC8 ADCY2 BEGAIN CACNA1A CACNB4 CHRNA5 DLG2 GABRA1 GNG2 GNG4 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 LRRTM3 NRXN2 SLITRK6 SNAP25 STX1A TUBA1A TUBB2B
RFX6	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	255	22	1.1988057546652442e-08	0.00426755667769	CACNA1A CACNA1E CACNB2 CACNB4 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 LIN7A NCALD NEFL PPM1E PRKCG SNAP25 TUBA1A TUBB3 TUBB4A
MAFA	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	331	15	3.952944083174259e-08	0.0140718089356	GNG2 GNG4 KCNB2 KCNC1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMB2 KCNMB3 KCNN3
HMBOX1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	110	17	4.588305468899989e-08	0.0163335415743	ADCY1 ADCY2 ADCY5 CACNA1E CHRNB4 CPLX1 HCN4 KCNH7 KCNJ3 KCNJ6 KCNK3 LIN7A PPM1E SLITRK6 SNAP25 SYT2 TUBB4A
MAFA	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	331	24	7.37492640290327e-08	0.0262533367583	ADCY1 ADCY2 ADCY5 CACNA2D2 CACNG4 CHRNA1 CHRNA5 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIA2 GRIK5 KCNJ2 KCNJ3 LIN7A NCALD PPM1E SLC1A2 SNAP25 SYN1 TSPAN7 TUBB3
SOX4	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	down	239	12	7.422723025118927e-08	0.0264234094248	AGT CES1 CPB1 FFAR1 GIP ISL1 KIF5A MBOAT4 PCSK1 PCSK2 SEC11C STX1A
NR4A3	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	285	22	8.847016819135689e-08	0.0314935220026	ADCY1 ADCY2 ADCY5 CACNA1B CACNA1E CACNA2D2 CAMK1 CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 GRIN1 KCNJ2 NCALD PRKCG SNAP25 STX1A
LMX1A	REACTOME	REACTOME_REGULATION_OF_INSULIN_SECRETION	78	up	282	12	8.867770506792994e-08	0.0315673120947	ABCC8 ADCY5 CACNA1A CACNA1C CACNA1E CACNA2D2 FFAR1 GNG2 RAPGEF4 SNAP25 STX1A SYT5
SMAD9	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	257	13	9.63726793923314e-08	0.034306457292	ABCC8 GABBR2 GNG4 HCN4 KCNC1 KCNF1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2
PAX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	205	23	9.975395776073981e-08	0.0355100148678	ADCY5 BEGAIN CACNA2D2 CHRNB2 CPLX1 GABBR2 GNG2 GRIK5 GRIN1 GRIN2C HCN4 KCNC1 KCNJ11 KCNJ2 KCNJ3 KCNJ6 KCNMA1 KCNMB2 KCNN3 LRFN1 LRFN2 NRXN2 SNAP25
MAFB	REACTOME	REACTOME_CARDIAC_CONDUCTION	137	up	345	17	1.0226146451852713e-07	0.036402524832	ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 FXYD1 FXYD6 KCNE4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1
SMAD9	REACTOME	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	up	257	18	1.0276999606873005e-07	0.0365834465806	ADCY5 CAMK2B CHRNA1 CHRNB4 GABBR2 GABRB3 GNG4 GRIK5 GRIN2C KCNJ2 KCNJ6 LIN7A NCALD NEFL PPM1E PRKCG TSPAN7 TUBB3
FEV	REACTOME	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	up	243	20	1.2307660557375755e-07	0.0438119485159	ADCY1 ADCY2 ADCY5 CACNA1A CHRNA1 CHRNB2 DLG2 GABRG2 GNG2 GNG4 GRIK3 GRIK5 GRIN2C LIN7A PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB3
NEUROD1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	169	4	1.284749532315388e-07	0.0457334860517	INSM1 NEUROD1 NKX2-2 PAX4
LMX1A	REACTOME	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	13	up	282	6	1.3651425301297593e-07	0.0485951151593	FFAR1 GIP GPR119 ISL1 PAX6 PCSK1
NEUROG3	REACTOME	REACTOME_PHASE_0_RAPID_DEPOLARISATION	42	up	276	9	1.6361837484879516e-07	0.0582432328949	CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 SCN2A SCN3A SCN3B
NEUROG3	REACTOME	REACTOME_CARDIAC_CONDUCTION	137	up	276	15	1.7307589117443456e-07	0.0616096519055	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNE4 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SCN3B SLC8A1
NR4A3	WP	WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	152	up	285	16	1.801652920185859e-07	0.0641330786693	ADCY1 ADCY2 ADCY5 CACNA1B CACNA1E CAMK1 CAMK2B CHRM4 GNAO1 GNG4 ITPR1 PRKCG PRKD1 RGS11 RGS16 RGS9
