	ASCL1	ASCL2	ETV1	FEV	GATA2	HES4	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.117678139677	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.036402524832	1	0.0616096519055	1	1	1	1	0.951870875043	0.873091093404	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.831960924302
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	0.44737422865	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	0.41357577507	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	0.240830848193	0.868673373541	1	1	0.175650863809	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	0.645657911455	1	1	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	3.70116107606e-06	0.270402636778	1.08511000185e-05	4.0365069379e-05	0.000750116481692	1	0.0163335415743	4.75193709149e-06	3.46082436997e-06	6.76650619835e-05	0.10291944559	0.173148630209	0.000107140006106	0.0355100148678	1.21593477902e-05	0.000193476354176	0.0	0.00228579727445	0.0995269913654
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	0.438714613783	1	1	1	0.683448083019	0.34799622701	1	1	1	1	1	0.825295816428	1	0.0365834465806	1	0.828052370917
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.13739744447	1	1	0.000227517528748	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	0.0582432328949	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.000712487743886	1	0.000353092413213	1	1	1	1	1	0.0140718089356	1.43143443385e-05	0.273538732994	1	1	0.197934086669	1	1	0.034306457292	1	1
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.387220608135	0.311357730856	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	0.0457334860517	1	1	1	0.238658719937	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	0.556123702998	1	1	1	0.0315673120947	1	1	1	1	1	1	1	1	0.920810851478	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	0.0485951151593	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.31821845409	1	0.612159325355	0.0438119485159	1	1	0.854512752925	0.000238927557784	0.0262533367583	1	1	1	0.0314935220026	1	0.00426755667769	0.00189596730781	3.4552366894e-05	0.0959428468589	0.588345706374
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	1	0.6485092946	1	1	1	1	1	1	1	1	1	0.0641330786693	1	1	1	1	1	1
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	1	1	1	1	1	0.983614997439	1	1	1	1	1	1	1	1	1	1	1	1	1
