	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
BIOCARTA_ACE2_PATHWAY																																				ACE AGT																																					
BIOCARTA_BAD_PATHWAY																					ADCY1 BCL2													ADCY1 BCL2																ADCY1 BCL2								ADCY1 BCL2				ADCY1 BCL2 KIT	BCL2 KIT										
BIOCARTA_BOTULIN_PATHWAY																	CHRNA1 SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A												SNAP25 STX1A	CHRNA1 SNAP25	CHRNA1 SNAP25	SNAP25 STX1A				CHRNA1 SNAP25 STX1A				SNAP25 STX1A												CHRNA1 STX1A																	
BIOCARTA_CARDIACEGF_PATHWAY																																	ADAM12 AGT			ADAM12 AGT								ADAM12 AGT															ADAM12 AGT														
BIOCARTA_CK1_PATHWAY																																								CDK5R1 DRD2																																	
BIOCARTA_GHRELIN_PATHWAY																GHRL SST																																																									
BIOCARTA_KERATINOCYTE_PATHWAY																																													BCL2 PRKCH																	BCL2 PRKCG PRKCH	BCL2 PRKCH						BCL2 PRKCG				
BIOCARTA_LAIR_PATHWAY																																																C7 ITGA4																									
BIOCARTA_LIS1_PATHWAY				CDK5R1 DCX												CDK5R1 DCX																																																									
BIOCARTA_MAPK_PATHWAY															MAP3K12 MAPK10																																										MAP3K12 MAPK10 MAPK12 MAPK4						MAP3K12 MAPK12				MAP3K12 MAPK10				MAP3K12 MAPK12 MAPK4		
BIOCARTA_MELANOCYTE_PATHWAY																																																														BCL2 KIT	BCL2 KIT										
