TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
DACH1	ADORA2A	0.37807	36.33	0.331	rgb(221,154,154)	1.7067	2,2
DACH1	AK024119	0.39967	37.38	0.375	rgb(221,145,146)	1.7277	2,2
DACH1	AK092048	0.99632	50.95	0.953	rgb(227, 35, 37)	1.9992	2,2
DACH1	AK125437	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
DACH1	APOA4	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
DACH1	ARHGEF25	0.95374	50.78	0.78	rgb(226, 68, 70)	1.9958	2,2
DACH1	AX746995	0.74168	49.33	0.335	rgb(221,153,154)	1.9668	2,2
DACH1	BAI1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
DACH1	BC041484	0.54601	43.37	0.369	rgb(221,147,147)	1.8476	2,2
DACH1	BC073932	0.66981	47.5	0.5	rgb(222,122,123)	1.9302	2,2
DACH1	C10orf10	0.98344	50.88	0.884	rgb(227, 48, 50)	1.9978	2,2
DACH1	C10orf35	0.83804	50.48	0.482	rgb(222,125,126)	1.9898	2,2
DACH1	C10orf82	0.58406	44.61	0.611	rgb(224,100,102)	1.8724	2,2
DACH1	C1orf173	0.55865	44	0.001	rgb(217,217,217)	1.8602	2,2
DACH1	C7orf41	-0.50876	42.24	-0.24	rgb(164,185,226)	1.825	2,2
DACH1	CA8	0.99913	50.98	0.976	rgb(228, 31, 33)	1.9998	2,2
DACH1	CCDC154	0.94601	50.76	0.764	rgb(225, 71, 73)	1.9954	2,2
DACH1	CHRNA3	0.79405	50.22	0.225	rgb(219,174,175)	1.9846	2,2
DACH1	CPT1C	0.68261	47.87	0.875	rgb(227, 50, 52)	1.9376	2,2
DACH1	CSH1	0.78439	49.83	0.827	rgb(226, 59, 61)	1.9768	2,2
DACH1	CSH2	0.94217	50.75	0.752	rgb(225, 73, 75)	1.9952	2,2
DACH1	DBC1	0.6299	47.26	0.257	rgb(220,168,168)	1.9254	2,2
DACH1	DLL3	0.85502	50.53	0.53	rgb(223,116,117)	1.9908	2,2
DACH1	DPEP1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
DACH1	DUSP26	0.51755	42.39	0.392	rgb(221,142,143)	1.828	2,2
DACH1	FAM105A	0.95374	50.78	0.783	rgb(226, 67, 69)	1.9958	2,2
DACH1	FAM153A	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
DACH1	FAM19A5	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
DACH1	FAM71E2	0.61508	45.77	0.772	rgb(225, 70, 71)	1.8956	2,2
DACH1	FLJ22184	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
DACH1	FOXP2	0.34589	34.52	0.519	rgb(223,118,119)	1.6705	2,2
DACH1	GJD2	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
DACH1	IGFBPL1	0.8045	50.32	0.324	rgb(221,155,156)	1.9866	2,2
DACH1	ITGA4	0.41239	38.18	0.18	rgb(219,183,183)	1.7437	2,2
DACH1	LIMD2	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
DACH1	LOC100129175	0.59637	45.31	0.307	rgb(220,158,159)	1.8864	2,2
DACH1	LOC389332	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
DACH1	LOC646903	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
DACH1	LRFN1	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
DACH1	MUC5AC	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
DACH1	NEURL	0.8071	50.34	0.338	rgb(221,152,153)	1.987	2,2
DACH1	NKX2-2	0.99632	50.95	0.951	rgb(227, 35, 37)	1.9992	2,2
DACH1	NOV	0.51578	42.36	0.357	rgb(221,149,149)	1.8274	2,2
DACH1	NPTX2	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
DACH1	NPTXR	0.39645	37.28	0.285	rgb(220,163,163)	1.7257	2,2
DACH1	PAX4	0.98893	50.91	0.909	rgb(227, 43, 45)	1.9984	2,2
DACH1	PRKD1	0.46853	40.45	0.448	rgb(222,131,132)	1.7892	2,2
DACH1	PTCHD2	0.43445	39.23	0.229	rgb(220,173,174)	1.7648	2,2
DACH1	PTHLH	0.45927	40.25	0.246	rgb(220,170,170)	1.7852	2,2
DACH1	RAB39B	0.63201	46.42	0.418	rgb(222,137,138)	1.9086	2,2
DACH1	RGAG4	-0.78629	50.04	-0.039	rgb(209,212,218)	1.981	2,2
DACH1	RGS4	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
DACH1	S100G	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
DACH1	SEPT5-GP1BB	-0.39178	37.16	-0.16	rgb(182,196,223)	1.7233	2,2
DACH1	TMEFF1	0.58311	44.58	0.585	rgb(223,105,106)	1.8718	2,2
DACH1	TMEM35	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
DACH1	TMEM59L	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
DACH1	TNP1	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
DACH1	TRAM1L1	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
DACH1	TRO	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
DACH1	UCHL1	0.45969	40.26	0.256	rgb(220,168,169)	1.7854	2,2
DACH1	XKR7	0.52829	42.62	0.622	rgb(224, 98, 99)	1.8326	2,2
DACH1	ZCCHC12	0.34279	34.34	0.337	rgb(221,153,153)	1.6669	2,2
DACH1	ZCCHC18	0.36766	35.88	0.881	rgb(227, 49, 50)	1.6977	2,2
DACH1	ZFR2	0.5805	44.53	0.534	rgb(223,115,116)	1.8708	2,2
