TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXD4L5	AB007962	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
FOXD4L5	ABCA9	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXJ1	ABCA9	-0.65271	47.5	-0.5	rgb(109,151,236)	1.9302	None
FOXD4L5	ABCC4	0.24796	30	0	rgb(217,217,217)	1.5801	None
FOXJ1	ABCC4	0.84337	50.48	0.476	rgb(222,126,127)	1.9898	None
FOXD4L5	ABLIM2	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXJ1	ABLIM2	0.48823	42.34	0.336	rgb(221,153,153)	1.827	None
FOXJ1	ACSL6	-0.48228	42.26	-0.26	rgb(161,183,227)	1.8254	None
FOXD4L5	ACTG1P4	0.69645	48.47	0.467	rgb(222,128,129)	1.9496	2,2
FOXD4L5	ACTL6B	-0.69645	48.47	-0.47	rgb(116,156,235)	1.9496	None
FOXD4L5	ADAM12	0.38443	38.07	0.075	rgb(218,203,203)	1.7415	None
FOXD4L5	ADAM20P1	0.73812	49.4	0.401	rgb(221,140,141)	1.9682	2,2
FOXD4L5	ADAMTSL1	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXD4L5	ADAMTSL2	-0.51066	43.28	-0.28	rgb(156,180,228)	1.8458	None
FOXD4L5	ADCY1	-0.438	40.31	-0.31	rgb(150,176,229)	1.7864	None
FOXD4L5	ADCY5	0.31152	34	0	rgb(217,217,217)	1.6601	None
FOXJ1	ADCY5	-0.62652	46.34	-0.34	rgb(142,172,230)	1.907	None
FOXD4L5	ADD2	-0.562	45.19	-0.19	rgb(175,191,224)	1.884	None
FOXD4L5	ADH6	0.1881	26	0	rgb(217,217,217)	1.5001	None
FOXJ1	ADH6	0.44531	40.46	0.457	rgb(222,130,131)	1.7894	None
FOXD4L5	AF198444	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXD4L5	AGAP11	0.34994	35.09	0.089	rgb(218,200,200)	1.6819	None
FOXD4L5	AHNAK	0.11582	20	0	rgb(217,217,217)	1.3801	None
FOXJ1	AHNAK	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXD4L5	AIF1	0.46985	41.5	0.498	rgb(222,122,123)	1.8102	None
FOXJ1	AK024092	-0.73717	49.39	-0.39	rgb(133,166,232)	1.968	2,2
FOXJ1	AK025975	0.76613	49.61	0.613	rgb(224,100,101)	1.9724	2,2
FOXD4L5	AK056486	0.55217	44.53	0.532	rgb(223,115,116)	1.8708	2,2
FOXD4L5	AK057596	0.438	40.31	0.308	rgb(220,158,159)	1.7864	2,2
FOXD4L5	AK091729	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXJ1	AK091729	-0.69773	48.48	-0.48	rgb(112,153,235)	1.9498	2,2
FOXJ1	AK091996	-0.61132	46.47	-0.47	rgb(115,155,235)	1.9096	2,2
FOXD4L5	AK094156	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
FOXJ1	AK094916	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
FOXD4L5	AK096291	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
FOXD4L5	AK096592	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
FOXD4L5	AK124197	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
FOXD4L5	AK125871	0.41615	39.34	0.342	rgb(221,152,152)	1.767	2,2
FOXD4L5	AK126318	0.49442	42.47	0.468	rgb(222,128,129)	1.8296	2,2
FOXJ1	AK127339	-0.48757	42.33	-0.33	rgb(145,173,230)	1.8268	2,2
FOXD4L5	AK128559	0.43846	40.32	0.32	rgb(221,156,156)	1.7866	2,2
FOXD4L5	AK128563	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
FOXD4L5	AK130076	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXJ1	AK130076	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FOXD4L5	AK302511	0.90202	50.61	0.606	rgb(224,101,103)	1.9924	2,2
FOXJ1	AK309215	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
FOXJ1	AK311257	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXD4L5	AL831889	0.58352	45.54	0.536	rgb(223,115,116)	1.891	2,2
FOXD4L5	AMBP	-0.85308	50.51	-0.51	rgb(107,150,236)	1.9904	None
FOXD4L5	AMPH	0.1881	26	0	rgb(217,217,217)	1.5001	None
FOXD4L5	ANGPT2	-0.438	40.31	-0.31	rgb(150,176,229)	1.7864	None
FOXJ1	ANGPT2	-0.80768	50.36	-0.63	rgb( 80,134,241)	1.9874	None
FOXJ1	ANK2	-0.6147	46.52	-0.52	rgb(105,149,237)	1.9106	None
FOXJ1	ANKFN1	0.96943	50.78	0.782	rgb(226, 68, 69)	1.9958	None
FOXJ1	ANKRD20A9P	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXD4L5	ANKRD36	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
FOXD4L5	ANKRD36B	0.70752	48.59	0.586	rgb(223,105,106)	1.952	2,2
FOXD4L5	ANKS1B	0.62714	47.21	0.208	rgb(219,177,178)	1.9244	None
FOXD4L5	APBB1	0.027303	15	0	rgb(217,217,217)	1.2801	None
FOXJ1	APBB1	0.62619	47.2	0.2	rgb(219,179,179)	1.9242	None
FOXD4L5	APLN	-0.52714	42.59	-0.59	rgb( 89,139,239)	1.832	None
FOXJ1	APLN	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXD4L5	ARC	-0.53139	44.18	-0.18	rgb(178,193,224)	1.8638	None
FOXJ1	ARHGAP24	-0.38364	38.06	-0.056	rgb(205,210,219)	1.7413	None
FOXD4L5	ARHGAP33	0.29533	33	0	rgb(217,217,217)	1.6401	None
FOXD4L5	ARHGEF26-AS1	0.31152	34	0	rgb(217,217,217)	1.6601	None
FOXD4L5	ARL4D	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
FOXD4L5	ARNT2	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXJ1	ARNT2	0.8905	50.59	0.593	rgb(224,104,105)	1.992	None
FOXJ1	ASCL2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
FOXD4L5	ASIC1	0.04399	16	0	rgb(217,217,217)	1.3001	None
FOXD4L5	ASRGL1	0.27869	32	0	rgb(217,217,217)	1.6201	None
FOXD4L5	ATOH8	0.21727	28	0	rgb(217,217,217)	1.5401	None
FOXD4L5	ATP13A4	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXD4L5	ATP1A3	-0.49698	42.52	-0.52	rgb(103,148,237)	1.8306	None
FOXD4L5	ATP6V0E2	0.21727	28	0	rgb(217,217,217)	1.5401	None
FOXD4L5	ATP6V1G2	-0.61347	46.5	-0.5	rgb(109,152,236)	1.9102	None
FOXD4L5	ATP8B2	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXD4L5	AX746485	0.51132	43.29	0.295	rgb(220,161,161)	1.846	2,2
FOXD4L5	AX746617	0.57724	45.43	0.428	rgb(222,135,136)	1.8888	2,2
FOXJ1	AX746775	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
FOXD4L5	AX746869	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
FOXD4L5	AX746991	0.48897	42.35	0.348	rgb(221,150,151)	1.8272	2,2
FOXD4L5	AX747140	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
FOXJ1	AX747179	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
FOXD4L5	AX747535	0.51834	43.41	0.406	rgb(221,139,140)	1.8484	2,2
FOXD4L5	AX747590	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
FOXJ1	AX747590	-0.42193	39.48	-0.48	rgb(112,153,235)	1.7698	2,2
FOXD4L5	AX747598	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
FOXD4L5	AX747619	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
FOXD4L5	AX747639	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
FOXD4L5	AX747648	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
FOXD4L5	AX748052	0.81524	50.39	0.395	rgb(221,142,142)	1.988	2,2
FOXD4L5	AX748292	0.85308	50.51	0.506	rgb(223,120,121)	1.9904	2,2
FOXD4L5	AX748322	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXD4L5	AX748336	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
FOXD4L5	BAALC	-0.52363	42.5	-0.5	rgb(109,152,236)	1.8302	None
FOXD4L5	BAIAP3	0.4309	40.16	0.162	rgb(219,186,186)	1.7834	None
FOXD4L5	BASP1	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXJ1	BASP1	0.67741	48.23	0.233	rgb(220,172,173)	1.9448	None
FOXJ1	BC005905	-0.65271	47.5	-0.5	rgb(108,150,236)	1.9302	2,2
FOXD4L5	BC006435	0.80768	50.36	0.357	rgb(221,149,150)	1.9874	2,2
FOXD4L5	BC019672	0.34824	36.13	0.134	rgb(218,191,192)	1.7027	2,2
FOXD4L5	BC040358	0.69504	48.45	0.445	rgb(222,132,133)	1.9492	2,2
FOXD4L5	BC040733	0.39835	38.38	0.376	rgb(221,145,146)	1.7477	2,2
FOXD4L5	BC040894	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
FOXD4L5	BC041025	0.69314	48.43	0.435	rgb(222,134,135)	1.9488	2,2
FOXD4L5	BC053580	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
FOXD4L5	BC090058	0.88141	50.57	0.566	rgb(223,109,110)	1.9916	2,2
