TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXP2	ABCA9	-0.66171	47.39	-0.39	rgb(133,166,232)	1.928	None
FOXP2	ABLIM2	-0.72582	48.76	-0.76	rgb( 53,117,246)	1.9554	None
FOXP2	ADAM12	0.38364	38.06	0.055	rgb(218,206,207)	1.7413	None
FOXP2	ADCY1	-0.39104	37.13	-0.13	rgb(189,200,222)	1.7227	None
FOXP2	ADCY5	-0.46208	40.3	-0.3	rgb(153,178,228)	1.7862	None
FOXP2	ADD2	0.90913	50.63	0.633	rgb(224, 96, 97)	1.9928	None
FOXP2	ADH6	0.73466	49.37	0.37	rgb(221,146,147)	1.9676	None
FOXP2	AF116693	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
FOXP2	AFF2	0.51413	43.34	0.336	rgb(221,153,153)	1.847	2,2
FOXP2	AIF1	0.58538	44.7	0.7	rgb(225, 83, 85)	1.8742	None
FOXP2	AK022997	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
FOXP2	AK055910	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
FOXP2	AK094156	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
FOXP2	AK097143	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
FOXP2	AK125437	0.84337	50.48	0.485	rgb(222,124,125)	1.9898	2,2
FOXP2	AK125727	-0.74717	49.4	-0.4	rgb(130,164,232)	1.9682	2,2
FOXP2	AK127443	0.42292	39.52	0.518	rgb(223,118,119)	1.7706	2,2
FOXP2	AK131337	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
FOXP2	AK309215	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
FOXP2	AK311497	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
FOXP2	AK5	0.66126	47.59	0.592	rgb(224,104,105)	1.932	None
FOXP2	AMPD3	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXP2	ANKRD45	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXP2	APLN	-0.82656	50.43	-0.43	rgb(123,160,233)	1.9888	None
FOXP2	ARHGAP9	0.38414	36.5	0.498	rgb(222,122,123)	1.7101	None
FOXP2	ARNT2	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXP2	ASXL3	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	ATOH8	-0.86679	50.54	-0.54	rgb(101,146,237)	1.991	None
FOXP2	ATP8B2	0.027303	15	0	rgb(217,217,217)	1.2801	None
FOXP2	AX746771	-0.93036	50.72	-0.72	rgb( 61,122,244)	1.9946	2,2
FOXP2	AX746826	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FOXP2	AX747755	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
FOXP2	AX748283	0.3727	36.2	0.195	rgb(219,180,180)	1.7041	2,2
FOXP2	BAIAP3	0.48674	42.32	0.323	rgb(221,155,156)	1.8266	None
FOXP2	BASP1	0.50987	43.27	0.269	rgb(220,166,166)	1.8456	None
FOXP2	BC042451	0.89488	50.6	0.599	rgb(224,103,104)	1.9922	2,2
FOXP2	BC107568	-0.43924	39.34	-0.34	rgb(143,172,230)	1.767	2,2
FOXP2	BCAT1	0.92396	50.66	0.664	rgb(224, 90, 92)	1.9934	None
FOXP2	BCL2	-0.68327	48.06	-0.056	rgb(205,210,219)	1.9414	None
FOXP2	BEGAIN	0.17332	24	0	rgb(217,217,217)	1.4601	None
FOXP2	BST2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
FOXP2	BX537634	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	C19orf70	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
FOXP2	C6orf185	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
FOXP2	C7orf41	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXP2	CA8	0.87641	50.56	0.565	rgb(223,109,110)	1.9914	2,2
FOXP2	CADPS	0.5487	44.46	0.457	rgb(222,130,131)	1.8694	None
FOXP2	CAND2	0.068278	17	0	rgb(217,217,217)	1.3201	None
FOXP2	CCDC125	-0.54341	44.36	-0.36	rgb(139,170,231)	1.8674	None
FOXP2	CCDC154	0.72032	49.15	0.153	rgb(219,188,188)	1.9632	2,2
FOXP2	CCDC162P	0.10777	20	0	rgb(217,217,217)	1.3801	None
FOXP2	CCDC181	0.55324	44.54	0.544	rgb(223,113,114)	1.871	None
FOXP2	CD300LF	0.28724	31	0	rgb(217,217,217)	1.6001	None
FOXP2	CD96	0.27869	32	0	rgb(217,217,217)	1.6201	None
FOXP2	CD99L2	0.1881	26	0	rgb(217,217,217)	1.5001	None
FOXP2	CDH5	0.77922	49.7	0.699	rgb(225, 83, 85)	1.9742	None
FOXP2	CDHR1	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FOXP2	CELSR2	0.18104	25	0	rgb(217,217,217)	1.4801	None
FOXP2	CGREF1	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	CHRNA3	-0.36113	35.4	-0.4	rgb(130,164,232)	1.6881	2,2
FOXP2	CHRNA5	-0.68389	48.1	-0.43	rgb(124,160,233)	1.9422	None
FOXP2	CHRNB2	-0.59888	46	-0.36	rgb(138,169,231)	1.9002	None
FOXP2	CLCA4	-0.95147	50.73	-0.73	rgb( 59,121,245)	1.9948	None
FOXP2	CNGA3	0.57831	44.48	0.488	rgb(222,124,125)	1.8698	None
FOXP2	COL12A1	0.60702	46.4	0.398	rgb(221,141,142)	1.9082	None
FOXP2	COL21A1	0.78042	49.79	0.789	rgb(226, 66, 68)	1.976	None
FOXP2	COL6A4P2	-0.84866	50.51	-0.51	rgb(107,150,236)	1.9904	None
FOXP2	CPA1	0.47976	42.22	0.22	rgb(219,175,175)	1.8246	None
FOXP2	CPLX1	0.68563	48.35	0.348	rgb(221,151,151)	1.9472	None
FOXP2	CRMP1	0.78843	50.1	0.097	rgb(218,199,199)	1.9822	None
FOXP2	CSF1R	0.30343	32	0	rgb(217,217,217)	1.6201	None
FOXP2	CSH1	0.98996	50.87	0.875	rgb(227, 50, 52)	1.9976	None
FOXP2	CSH2	0.71599	48.78	0.779	rgb(226, 68, 70)	1.9558	2,2
FOXP2	CYP27C1	-0.9722	50.79	-0.79	rgb( 45,112,247)	1.996	None
FOXP2	DACH1	0.87641	50.56	0.56	rgb(223,110,111)	1.9914	None
FOXP2	DDN	-0.45143	41.03	-0.029	rgb(211,213,218)	1.8008	None
FOXP2	DENND2A	0.87641	50.56	0.556	rgb(223,111,112)	1.9914	None
FOXP2	DGKB	0.21045	26	0	rgb(217,217,217)	1.5001	None
FOXP2	DLG2	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXP2	DLL4	0.15832	24	0	rgb(217,217,217)	1.4601	None
FOXP2	DNAH11	0.5957	46.24	0.241	rgb(220,171,171)	1.905	None
FOXP2	DNAJC12	0.13057	21	0	rgb(217,217,217)	1.4001	None
FOXP2	DOCK8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
FOXP2	DPF3	0.18104	25	0	rgb(217,217,217)	1.4801	None
FOXP2	DPP10	0.84337	50.48	0.476	rgb(222,126,127)	1.9898	None
FOXP2	DPY19L2	-0.79017	50.15	-0.15	rgb(184,197,223)	1.9832	None
FOXP2	DQ583756	0.69773	48.48	0.483	rgb(222,125,126)	1.9498	2,2
FOXP2	DQ588732	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
FOXP2	DST	0.66832	47.48	0.477	rgb(222,126,127)	1.9298	None
FOXP2	DTX1	0.11582	20	0	rgb(217,217,217)	1.3801	None
FOXP2	DTX3	-0.36778	36.01	-0.012	rgb(214,215,217)	1.7003	2,2
FOXP2	DYNC1I1	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXP2	E2F7	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXP2	EBF3	0.59327	46.2	0.196	rgb(219,180,180)	1.9042	None
FOXP2	ECE2	0.64325	47.4	0.404	rgb(221,140,141)	1.9282	None
FOXP2	EDAR	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXP2	EIF4EBP1	0.13057	21	0	rgb(217,217,217)	1.4001	None
FOXP2	EML5	-0.85828	50.52	-0.52	rgb(105,149,237)	1.9906	None
FOXP2	EPM2A	-0.64102	46.58	-0.58	rgb( 91,140,239)	1.9118	None
FOXP2	EVL	-0.48542	41.29	-0.29	rgb(153,178,228)	1.806	None
FOXP2	EYA4	0.84337	50.48	0.478	rgb(222,126,127)	1.9898	None
FOXP2	FAM105A	0.9278	50.67	0.671	rgb(224, 89, 90)	1.9936	2,2
FOXP2	FAM110B	0.63548	47.32	0.322	rgb(221,155,156)	1.9266	None
FOXP2	FAM126A	0.79228	50.25	0.251	rgb(220,169,170)	1.9852	None
FOXP2	FAM135B	0.0067328	14	0	rgb(217,217,217)	1.2601	None
FOXP2	FAM13A-AS1	0.13057	21	0	rgb(217,217,217)	1.4001	None
FOXP2	FAM167A	0.1881	26	0	rgb(217,217,217)	1.5001	None
FOXP2	FAM171B	-0.35432	35.22	-0.22	rgb(168,187,226)	1.6845	None
FOXP2	FAM196A	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	FAM227A	0.17332	24	0	rgb(217,217,217)	1.4601	None
FOXP2	FAT3	0.016605	14	0	rgb(217,217,217)	1.2601	None
FOXP2	FAXC	0.95568	50.74	0.736	rgb(225, 76, 78)	1.995	None
FOXP2	FCGBP	0.55419	44.57	0.572	rgb(223,108,109)	1.8716	None
FOXP2	FER1L4	0.084387	19	0	rgb(217,217,217)	1.3601	None
FOXP2	FGF9	-0.75192	49.45	-0.45	rgb(118,157,234)	1.9692	None
FOXP2	FIGNL2	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXP2	FJX1	-0.95568	50.74	-0.74	rgb( 56,119,245)	1.995	None
FOXP2	FLJ22184	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
FOXP2	FLT1	0.73717	49.39	0.717	rgb(225, 80, 82)	1.968	None
FOXP2	FSTL5	0.42747	40.08	0.083	rgb(218,201,201)	1.7818	None
FOXP2	FTCD	-0.65609	47.29	-0.29	rgb(154,179,228)	1.926	None
FOXP2	GABBR2	0.85828	50.52	0.517	rgb(223,118,119)	1.9906	None
FOXP2	GCH1	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXP2	GCK	0.62363	47.12	0.117	rgb(218,195,195)	1.9226	None
FOXP2	GFRA1	0.83994	50.47	0.472	rgb(222,127,128)	1.9896	None
FOXP2	GIP	-0.99281	50.89	-0.89	rgb( 24,100,251)	1.998	None
FOXP2	GLUD1P3	0.084387	19	0	rgb(217,217,217)	1.3601	None
FOXP2	GNG2	0.4195	39.41	0.407	rgb(221,139,140)	1.7684	None
FOXP2	GPR142	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXP2	GPRIN3	0.76613	49.61	0.611	rgb(224,100,102)	1.9724	None
FOXP2	GRB14	-0.66336	47.41	-0.41	rgb(128,163,233)	1.9284	None
FOXP2	H1FX-AS1	-0.63804	46.5	-0.5	rgb(109,151,236)	1.9102	None
FOXP2	HECW2	-0.47472	42.07	-0.067	rgb(202,208,220)	1.8216	None
FOXP2	HERC2P4	0.28724	31	0	rgb(217,217,217)	1.6001	None
FOXP2	HERC5	0.65874	47.56	0.564	rgb(223,109,110)	1.9314	None
FOXP2	HLF	-0.59814	46.28	-0.28	rgb(157,180,228)	1.9058	None
FOXP2	HNF1A-AS1	0.13825	22	0	rgb(217,217,217)	1.4201	None
FOXP2	HOPX	-0.77658	49.73	-0.73	rgb( 58,121,245)	1.9748	None
FOXP2	HSPA2	-0.42292	39.52	-0.52	rgb(104,148,237)	1.7706	None
FOXP2	HSPA6	0.18104	25	0	rgb(217,217,217)	1.4801	None
FOXP2	IFI44	0.42532	39.68	0.68	rgb(224, 87, 89)	1.7738	2,2
FOXP2	IFI44L	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
FOXP2	IGFBPL1	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
FOXP2	IGSF9B	0.4043	39.02	0.022	rgb(217,213,213)	1.7606	None
FOXP2	INA	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
FOXP2	ITGA7	0.72685	49.29	0.286	rgb(220,162,163)	1.966	None
FOXP2	ITPR1	0.0067328	14	0	rgb(217,217,217)	1.2601	None
FOXP2	JAM3	0.80033	50.32	0.317	rgb(220,156,157)	1.9866	None
FOXP2	JMJD1C-AS1	-0.98001	50.82	-0.82	rgb( 40,109,248)	1.9966	None
FOXP2	JPH4	0.29533	33	0	rgb(217,217,217)	1.6401	None
FOXP2	KCNC1	-0.6905	48.4	-0.4	rgb(131,165,232)	1.9482	None
FOXP2	KCNE4	-0.57051	45.33	-0.33	rgb(145,173,230)	1.8868	None
FOXP2	KCNH7	0.81908	50.4	0.403	rgb(221,140,141)	1.9882	None
FOXP2	KCNMB3	-0.71367	48.54	-0.54	rgb(100,146,238)	1.951	None
FOXP2	KCNQ1OT1	0.04399	16	0	rgb(217,217,217)	1.3001	None
FOXP2	KCTD16	0.21727	28	0	rgb(217,217,217)	1.5401	None
FOXP2	KIAA1324	-0.75147	49.44	-0.44	rgb(121,158,234)	1.969	None
FOXP2	KIAA1328	0.47055	41.53	0.532	rgb(223,115,117)	1.8108	None
FOXP2	KIAA1456	0.81524	50.39	0.395	rgb(221,142,142)	1.988	2,2
FOXP2	KIAA1549	0.35312	36.25	0.246	rgb(220,170,171)	1.7051	None
FOXP2	KLHL35	-0.45151	41.04	-0.72	rgb( 62,123,244)	1.801	None
FOXP2	KRT4	0.27096	30	0	rgb(217,217,217)	1.5801	None
FOXP2	KSR2	0.729	49.31	0.312	rgb(220,157,158)	1.9664	None
FOXP2	KTN1-AS1	0.52829	42.62	0.617	rgb(224, 99,100)	1.8326	None
FOXP2	L1TD1	0.58823	45.76	0.764	rgb(225, 71, 73)	1.8954	2,2
FOXP2	LGR6	0.31941	33	0	rgb(217,217,217)	1.6401	None
FOXP2	LIMCH1	-0.78236	49.81	-0.81	rgb( 41,110,248)	1.9764	None
FOXP2	LINC00261	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXP2	LINC00893	0.04399	16	0	rgb(217,217,217)	1.3001	None
FOXP2	LINC00894	0.13057	21	0	rgb(217,217,217)	1.4001	None
FOXP2	LOC100506585	0.55989	45.13	0.132	rgb(218,192,192)	1.8828	2,2
FOXP2	LOC440434	0.48373	41.25	0.254	rgb(220,168,169)	1.8052	2,2
FOXP2	LOC642776	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	LOC728175	0.74168	49.33	0.331	rgb(221,154,154)	1.9668	2,2
FOXP2	LOC729683	0.45275	41.11	0.114	rgb(218,195,195)	1.8024	2,2
FOXP2	LRIG1	0.04399	16	0	rgb(217,217,217)	1.3001	None
FOXP2	LRRC36	0.31152	34	0	rgb(217,217,217)	1.6601	None
FOXP2	LRRC37A	0.49339	42.45	0.451	rgb(222,131,132)	1.8292	None
FOXP2	MAP2	0.51549	43.37	0.365	rgb(221,147,148)	1.8476	None
FOXP2	MAP3K12	0.40558	39.07	0.072	rgb(218,203,203)	1.7616	None
FOXP2	MATN2	0.24796	30	0	rgb(217,217,217)	1.5801	None
FOXP2	MCF2L	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXP2	MED12L	0.47443	42.06	0.059	rgb(218,206,206)	1.8214	None
FOXP2	MIR137HG	-0.74027	49.32	-0.45	rgb(119,157,234)	1.9666	None
FOXP2	MSMB	0.45609	41.2	0.196	rgb(219,180,180)	1.8042	None
FOXP2	MTUS2	-0.61892	46.17	-0.17	rgb(179,194,224)	1.9036	None
FOXP2	MUC15	-0.78013	49.72	-0.72	rgb( 60,121,245)	1.9746	None
