TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HLF	AB007962	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	AB007962	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	ABLIM2	-0.93222	50.68	-0.71	rgb( 63,123,244)	1.9938	None
SIX2	ABLIM2	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
HLF	ACOT7	-0.66126	47.59	-0.59	rgb( 89,139,239)	1.932	None
SIX2	ACOT7	-0.82772	50.44	-0.44	rgb(121,158,234)	1.989	None
HLF	AHNAK	0.16638	23	0	rgb(217,217,217)	1.4401	None
SIX2	AHNAK	0.49112	41.4	0.401	rgb(221,140,141)	1.8082	None
HLF	AK091593	0.91722	50.65	0.65	rgb(224, 93, 94)	1.9932	2,2
SIX2	AK091593	0.74824	49.42	0.422	rgb(222,136,137)	1.9686	2,2
HLF	AK125333	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	2,2
SIX2	AK125333	0.84192	50.49	0.488	rgb(222,124,125)	1.99	2,2
HLF	AK128153	-0.75564	49.48	-0.48	rgb(113,154,235)	1.9698	2,2
SIX2	AK128153	0.51722	43.4	0.395	rgb(221,141,142)	1.8482	2,2
HLF	AK302511	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
SIX2	AK302511	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
HLF	AK311257	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
SIX2	AK311257	0.4995	41.68	0.681	rgb(224, 87, 88)	1.8138	2,2
HLF	AL831889	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
SIX2	AL831889	0.55729	44.7	0.696	rgb(225, 84, 85)	1.8742	2,2
HLF	ANKRD36C	0.21727	28	0	rgb(217,217,217)	1.5401	None
SIX2	ANKRD36C	-0.48228	42.26	-0.26	rgb(160,183,227)	1.8254	None
HLF	ARHGAP24	-0.42309	38.44	-0.44	rgb(122,159,234)	1.7489	None
SIX2	ARHGAP24	0.13825	22	0	rgb(217,217,217)	1.4201	None
HLF	ATCAY	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	ATCAY	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
HLF	AX746734	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
SIX2	AX746734	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	AX747175	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
SIX2	AX747175	0.50715	42.21	0.208	rgb(219,177,178)	1.8244	2,2
HLF	AX747639	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
SIX2	AX747639	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	AX748322	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
SIX2	AX748322	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
HLF	BC006435	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	BC006435	0.46778	40.44	0.444	rgb(222,132,133)	1.789	2,2
HLF	BC020343	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
SIX2	BC020343	0.54469	43.34	0.336	rgb(221,153,153)	1.847	2,2
HLF	BC033961	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	BC033961	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
HLF	BC040894	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	BC040894	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HLF	BC041025	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
SIX2	BC041025	0.5178	42.4	0.399	rgb(221,141,142)	1.8282	2,2
HLF	BC041484	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
SIX2	BC041484	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	BC042825	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
SIX2	BC042825	0.39021	37.1	0.096	rgb(218,199,199)	1.7221	2,2
HLF	BTBD11	0.77451	49.68	0.683	rgb(225, 86, 88)	1.9738	None
SIX2	BTBD11	0.98121	50.87	0.872	rgb(227, 50, 52)	1.9976	None
HLF	BX647938	0.70017	48.51	0.508	rgb(223,120,121)	1.9504	2,2
SIX2	BX647938	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	C11orf87	0.76613	49.61	0.608	rgb(224,101,102)	1.9724	2,2
SIX2	C11orf87	0.90669	50.66	0.661	rgb(224, 91, 92)	1.9934	2,2
HLF	C4orf21	0.47146	41.57	0.568	rgb(223,109,110)	1.8116	2,2
SIX2	C4orf21	0.66745	47.47	0.468	rgb(222,128,129)	1.9296	2,2
HLF	C6orf201	-0.34387	34.41	-0.41	rgb(127,162,233)	1.6683	None
SIX2	C6orf201	0.54007	43.28	0.284	rgb(220,163,163)	1.8458	None
HLF	C8orf15	0.44845	40.56	0.556	rgb(223,111,112)	1.7914	2,2
SIX2	C8orf15	0.70917	48.49	0.487	rgb(222,124,125)	1.95	2,2
HLF	C9orf102	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
SIX2	C9orf102	-0.67774	47.62	-0.62	rgb( 82,135,241)	1.9326	2,2
HLF	CACNA1B	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
SIX2	CACNA1B	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
HLF	CCDC162P	-0.42102	38.38	-0.38	rgb(134,166,232)	1.7477	None
SIX2	CCDC162P	-0.70087	48.4	-0.4	rgb(131,164,232)	1.9482	None
HLF	CCDC39	0.31941	33	0	rgb(217,217,217)	1.6401	None
SIX2	CCDC39	0.41239	38.18	0.177	rgb(219,183,184)	1.7437	None
HLF	CCNA1	0.9278	50.67	0.667	rgb(224, 90, 91)	1.9936	2,2
SIX2	CCNA1	0.86101	50.55	0.546	rgb(223,113,114)	1.9912	2,2
HLF	CD96	-0.39789	38.37	-0.37	rgb(137,168,231)	1.7475	None
SIX2	CD96	-0.56142	44.12	-0.12	rgb(190,201,222)	1.8626	None
HLF	CDHR3	0.04399	16	0	rgb(217,217,217)	1.3001	None
SIX2	CDHR3	0.24796	30	0	rgb(217,217,217)	1.5801	None
HLF	CERS6-AS1	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	CERS6-AS1	0.60458	45.46	0.458	rgb(222,130,130)	1.8894	2,2
HLF	CES1	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
SIX2	CES1	0.67955	47.68	0.683	rgb(225, 86, 88)	1.9338	2,2
HLF	CNTNAP4	0.41508	39.32	0.323	rgb(221,155,156)	1.7666	2,2
SIX2	CNTNAP4	0.49372	41.45	0.454	rgb(222,130,131)	1.8092	2,2
HLF	COL16A1	0.28724	31	0	rgb(217,217,217)	1.6001	None
SIX2	COL16A1	-0.8178	50.4	-0.4	rgb(130,164,232)	1.9882	None
HLF	CYP27C1	0.32805	35	0	rgb(217,217,217)	1.6801	None
SIX2	CYP27C1	0.75919	49.56	0.561	rgb(223,110,111)	1.9714	None
HLF	CYP4F24P	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
SIX2	CYP4F24P	0.60731	45.52	0.515	rgb(223,119,120)	1.8906	2,2
HLF	CYSLTR2	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
SIX2	CYSLTR2	0.4601	40.27	0.267	rgb(220,166,167)	1.7856	2,2
