TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
INSM1	ADAMTS2	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
INSM1	AF131837	0.4722	40.57	0.565	rgb(223,109,110)	1.7916	2,2
INSM1	AK055386	0.55514	43.56	0.565	rgb(223,109,110)	1.8514	2,2
INSM1	AK056490	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
INSM1	AK094786	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
INSM1	AK095546	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
INSM1	AK126180	0.40107	37.41	0.408	rgb(221,139,140)	1.7283	2,2
INSM1	AK126532	-0.4354	39.25	-0.25	rgb(162,183,227)	1.7652	2,2
INSM1	AK128153	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	AK128833	0.36212	35.43	0.425	rgb(222,136,137)	1.6887	2,2
INSM1	AK302511	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
INSM1	AK311257	0.4114	38.15	0.154	rgb(219,188,188)	1.7431	2,2
INSM1	AK316321	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	AMBP	0.035399	15	0	rgb(217,217,217)	1.2801	None
INSM1	ANKRD13B	0.16638	23	0	rgb(217,217,217)	1.4401	None
INSM1	ANKS1B	-0.57621	44.44	-0.44	rgb(121,159,234)	1.869	None
INSM1	ASIC5	0.36547	35.54	0.537	rgb(223,114,116)	1.6909	2,2
INSM1	ASRGL1	0.22515	27	0	rgb(217,217,217)	1.5201	None
INSM1	ATCAY	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
INSM1	AX747090	0.87922	50.6	0.596	rgb(224,103,104)	1.9922	2,2
INSM1	AX747516	0.49471	41.47	0.469	rgb(222,127,128)	1.8096	2,2
INSM1	AX747755	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
INSM1	AX747819	0.47166	40.56	0.558	rgb(223,110,112)	1.7914	2,2
INSM1	BAI1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
INSM1	BAIAP3	0.56762	44.27	0.266	rgb(220,166,167)	1.8656	None
INSM1	BC033961	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
INSM1	BC040358	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
INSM1	BC041025	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
INSM1	BC073817	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
INSM1	BHMT	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
INSM1	C10orf10	0.78711	50.17	0.166	rgb(219,185,186)	1.9836	2,2
INSM1	C10orf35	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
INSM1	C11orf87	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
INSM1	C19orf26	0.37001	36.12	0.119	rgb(218,194,195)	1.7025	2,2
INSM1	C1orf110	0.44329	39.42	0.421	rgb(222,137,137)	1.7686	2,2
