TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NHLH1	ABCA9	0.46691	41.42	0.415	rgb(222,138,139)	1.8086	None
SMAD9	ABCA9	0.57811	45.44	0.443	rgb(222,132,133)	1.889	None
TFCP2L1	ABCA9	0.58009	45.48	0.482	rgb(222,125,126)	1.8898	None
SMAD9	ABCC4	-0.36592	37.13	-0.13	rgb(190,200,222)	1.7227	None
SOX4	ABCC4	0.12321	21	0	rgb(217,217,217)	1.4001	None
TFCP2L1	ABCC4	0.89488	50.6	0.597	rgb(224,103,104)	1.9922	None
NHLH1	ACBD7	0.81219	50.38	0.381	rgb(221,144,145)	1.9878	None
SMAD9	ACBD7	0.17332	24	0	rgb(217,217,217)	1.4601	None
SOX4	ACBD7	-0.64907	47.46	-0.46	rgb(118,157,234)	1.9294	None
NHLH1	ACOT7	0.75394	49.52	0.516	rgb(223,118,119)	1.9706	None
SMAD9	ACOT7	0.076869	18	0	rgb(217,217,217)	1.3401	None
TFCP2L1	ACOT7	0.58269	45.53	0.534	rgb(223,115,116)	1.8908	None
SMAD9	AGAP11	0.092482	18	0	rgb(217,217,217)	1.3401	None
SOX4	AGAP11	0.21727	28	0	rgb(217,217,217)	1.5401	None
TFCP2L1	AGAP11	0.084387	19	0	rgb(217,217,217)	1.3601	None
SMAD9	AIF1	0.95799	50.79	0.795	rgb(226, 65, 67)	1.996	None
SOX4	AIF1	0.4988	42.59	0.591	rgb(223,104,105)	1.832	None
TFCP2L1	AIF1	-0.41875	39.39	-0.39	rgb(132,165,232)	1.768	None
SMAD9	AKR1B1	-0.41029	38.12	-0.12	rgb(191,201,222)	1.7425	None
SOX4	AKR1B1	-0.97476	50.8	-0.8	rgb( 44,112,247)	1.9962	None
TFCP2L1	AKR1B1	-0.85828	50.52	-0.52	rgb(105,149,237)	1.9906	None
NHLH1	AMBP	-0.43061	39.08	-0.083	rgb(199,206,220)	1.7618	None
SMAD9	AMBP	-0.39248	38.26	-0.26	rgb(161,183,227)	1.7453	None
SOX4	AMBP	0.084387	19	0	rgb(217,217,217)	1.3601	None
TFCP2L1	AMBP	0.56183	44.13	0.127	rgb(218,193,193)	1.8628	None
NHLH1	ANK2	0.27869	32	0	rgb(217,217,217)	1.6201	None
SMAD9	ANK2	0.15832	24	0	rgb(217,217,217)	1.4601	None
SOX4	ANK2	-0.94217	50.75	-0.75	rgb( 54,118,246)	1.9952	None
TFCP2L1	ANK2	0.15118	22	0	rgb(217,217,217)	1.4201	None
NHLH1	ANKFN1	-0.37513	37.33	-0.33	rgb(146,174,229)	1.7267	None
SOX4	ANKFN1	0.72375	48.7	0.704	rgb(225, 82, 84)	1.9542	None
TFCP2L1	ANKFN1	0.84337	50.48	0.485	rgb(222,124,125)	1.9898	None
NHLH1	ANKRD45	0.20355	27	0	rgb(217,217,217)	1.5201	None
SMAD9	ANKRD45	0.25535	29	0	rgb(217,217,217)	1.5601	None
TFCP2L1	ANKRD45	0.87278	50.55	0.551	rgb(223,112,113)	1.9912	None
NHLH1	ANKS1B	0.21727	28	0	rgb(217,217,217)	1.5401	None
SMAD9	ANKS1B	-0.6164	46.05	-0.048	rgb(207,211,219)	1.9012	None
SOX4	ANKS1B	-0.42214	38.41	-0.41	rgb(128,163,233)	1.7483	None
NHLH1	ANXA6	0.13825	22	0	rgb(217,217,217)	1.4201	None
SOX4	ANXA6	-0.40302	38.58	-0.58	rgb( 90,140,239)	1.7518	None
TFCP2L1	ANXA6	0.027303	15	0	rgb(217,217,217)	1.2801	None
SMAD9	APLP1	0.47865	42.2	0.205	rgb(219,178,178)	1.8242	None
SOX4	APLP1	-0.56658	45.27	-0.27	rgb(157,181,227)	1.8856	None
TFCP2L1	APLP1	0.12321	21	0	rgb(217,217,217)	1.4001	None
NHLH1	ARC	-0.64019	46.56	-0.56	rgb( 95,143,238)	1.9114	None
SOX4	ARC	0.73247	49.35	0.349	rgb(221,150,151)	1.9672	None
TFCP2L1	ARC	-0.78658	50.15	-0.15	rgb(185,197,223)	1.9832	None
NHLH1	ARHGAP9	0.94403	50.71	0.712	rgb(225, 81, 82)	1.9944	None
SMAD9	ARHGAP9	0.13825	22	0	rgb(217,217,217)	1.4201	None
SOX4	ARHGAP9	0.23961	28	0	rgb(217,217,217)	1.5401	None
TFCP2L1	ARHGAP9	-0.85828	50.52	-0.52	rgb(103,148,237)	1.9906	None
SMAD9	ASIC4	0.084387	19	0	rgb(217,217,217)	1.3601	None
SOX4	ASIC4	-0.51656	42.37	-0.37	rgb(136,168,231)	1.8276	None
TFCP2L1	ASIC4	-0.54007	43.25	-0.25	rgb(163,184,226)	1.8452	None
SMAD9	ATP1A3	0.34589	34.52	0.521	rgb(223,117,119)	1.6705	None
