TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PLAG1	AADAT	-0.91553	50.64	-0.64	rgb( 78,133,241)	1.993	None
PLAG1	ABLIM2	-0.37774	37.41	-0.41	rgb(127,162,233)	1.7283	None
PLAG1	ACOT7	0.076869	18	0	rgb(217,217,217)	1.3401	None
PLAG1	ADAM12	0.027303	15	0	rgb(217,217,217)	1.2801	None
PLAG1	ADM5	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
PLAG1	AF116693	0.59864	46.29	0.293	rgb(220,161,162)	1.906	2,2
PLAG1	AGAP9	0.5121	43.3	0.299	rgb(220,160,160)	1.8462	2,2
PLAG1	AK024092	0.77266	49.66	0.664	rgb(224, 90, 92)	1.9734	2,2
PLAG1	AK025975	-0.46634	41.41	-0.41	rgb(129,163,232)	1.8084	2,2
PLAG1	AK054970	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
PLAG1	AK055017	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
PLAG1	AK090700	0.99587	50.92	0.921	rgb(227, 41, 43)	1.9986	2,2
PLAG1	AK091729	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
PLAG1	AK091996	0.81219	50.38	0.379	rgb(221,145,145)	1.9878	2,2
PLAG1	AK096291	0.67637	48.21	0.215	rgb(219,176,176)	1.9444	2,2
PLAG1	AK123889	0.74201	49.43	0.426	rgb(222,136,136)	1.9688	2,2
PLAG1	AK124970	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
PLAG1	AK126532	-0.34292	34.35	-0.35	rgb(142,171,230)	1.6671	2,2
PLAG1	AK127339	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
PLAG1	AK128559	0.81219	50.38	0.379	rgb(221,145,145)	1.9878	2,2
PLAG1	AK130076	0.65353	47.51	0.505	rgb(223,120,121)	1.9304	2,2
PLAG1	AK309215	0.57237	45.36	0.363	rgb(221,148,148)	1.8874	2,2
PLAG1	AK311213	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
PLAG1	ANKRD13B	-0.50492	43.17	-0.17	rgb(181,195,223)	1.8436	None
PLAG1	ANKRD20A9P	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
PLAG1	ANKRD36C	0.97749	50.81	0.806	rgb(226, 63, 65)	1.9964	None
PLAG1	ARHGEF26-AS1	0.56039	45.15	0.149	rgb(219,189,189)	1.8832	None
PLAG1	ARNT2	0.076869	18	0	rgb(217,217,217)	1.3401	None
PLAG1	ASIC1	-0.38707	37.01	-0.011	rgb(215,216,217)	1.7203	None
PLAG1	ATP13A4	0.016605	14	0	rgb(217,217,217)	1.2601	None
PLAG1	ATP6V1G2	-0.98121	50.87	-0.87	rgb( 29,103,250)	1.9976	None
PLAG1	ATP8B2	0.35613	36.32	0.32	rgb(221,156,157)	1.7065	None
PLAG1	AX746605	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
PLAG1	AX746677	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
PLAG1	AX746867	0.44796	40.54	0.535	rgb(223,115,116)	1.791	2,2
