TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ZNF883	ADM5	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
ZNF883	ADORA2A	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
ZNF883	AF086346	-0.53205	42.79	-0.79	rgb( 45,112,247)	1.836	2,2
ZNF883	AF116693	-0.9722	50.79	-0.79	rgb( 45,112,247)	1.996	2,2
ZNF883	AF258560	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
ZNF883	AF289551	0.53011	42.68	0.679	rgb(224, 87, 89)	1.8338	2,2
ZNF883	AF420437	-0.44577	40.47	-0.47	rgb(114,154,235)	1.7896	2,2
ZNF883	AK024092	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF883	AK025511	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
ZNF883	AK025664	-0.72524	48.74	-0.74	rgb( 57,120,245)	1.955	2,2
ZNF883	AK026392	-0.53185	42.77	-0.77	rgb( 50,115,246)	1.8356	2,2
ZNF883	AK027252	-0.42454	38.49	-0.49	rgb(111,153,236)	1.7499	2,2
ZNF883	AK027332	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ZNF883	AK027840	-0.53185	42.77	-0.77	rgb( 49,115,246)	1.8356	2,2
ZNF883	AK055257	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ZNF883	AK091275	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ZNF883	AK091624	-0.49566	41.5	-0.5	rgb(108,150,236)	1.8102	2,2
ZNF883	AK091996	-0.70574	48.57	-0.57	rgb( 92,141,239)	1.9516	2,2
ZNF883	AK095546	-0.49298	42.44	-0.44	rgb(122,159,234)	1.829	2,2
ZNF883	AK097012	-0.53214	42.8	-0.8	rgb( 44,112,247)	1.8362	2,2
ZNF883	AK097143	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
ZNF883	AK122764	-0.96353	50.76	-0.76	rgb( 53,117,246)	1.9954	2,2
ZNF883	AK125727	-0.87096	50.58	-0.58	rgb( 91,141,239)	1.9918	2,2
ZNF883	AK125871	-0.4708	40.53	-0.53	rgb(101,147,237)	1.7908	2,2
ZNF883	AK127339	-0.71115	48.54	-0.54	rgb( 99,145,238)	1.951	2,2
ZNF883	AK128361	-0.53185	42.77	-0.77	rgb( 49,115,246)	1.8356	2,2
ZNF883	AK129879	-0.52491	42.53	-0.53	rgb(103,148,237)	1.8308	2,2
ZNF883	AK131337	0.88616	50.58	0.66	rgb(224, 91, 92)	1.9918	2,2
ZNF883	AK293147	-0.53284	42.83	-0.83	rgb( 38,108,248)	1.8368	2,2
ZNF883	AK311497	-0.95799	50.79	-0.79	rgb( 45,113,247)	1.996	2,2
ZNF883	AK316321	-0.9278	50.67	-0.67	rgb( 72,129,242)	1.9936	2,2
ZNF883	AL110171	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ZNF883	AL832212	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ZNF883	AL832937	-0.53197	42.78	-0.78	rgb( 47,114,247)	1.8358	2,2
ZNF883	ANKRD65	-0.62264	47.03	-0.23	rgb(167,187,226)	1.9208	None
ZNF883	APOA4	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
ZNF883	ARNT2	0.10029	19	0	rgb(217,217,217)	1.3601	None
ZNF883	ATP6V1G2	0.35147	35.14	0.136	rgb(218,191,191)	1.6829	None
ZNF883	ATP8B2	-0.66877	47.73	-0.73	rgb( 58,120,245)	1.9348	None
ZNF883	AX746677	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
ZNF883	AX746771	0.65456	47.52	0.519	rgb(223,118,119)	1.9306	2,2
ZNF883	AX747140	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
ZNF883	AX747158	-0.37542	36.26	-0.26	rgb(160,182,227)	1.7053	2,2
ZNF883	AX747179	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
ZNF883	AX747264	-0.68765	48.22	-0.22	rgb(170,189,225)	1.9446	2,2
ZNF883	AX747393	-0.61347	46.5	-0.5	rgb(107,150,236)	1.9102	2,2
ZNF883	AX747535	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ZNF883	AX747590	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
ZNF883	AX747619	-0.91722	50.65	-0.65	rgb( 76,131,242)	1.9932	2,2
ZNF883	AX747853	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF883	AX748283	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
ZNF883	BAI2	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
ZNF883	BC007880	-0.53214	42.8	-0.8	rgb( 44,112,247)	1.8362	2,2
ZNF883	BC041654	-0.53135	42.75	-0.75	rgb( 53,117,246)	1.8352	2,2
ZNF883	BC043205	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
ZNF883	BC107568	-0.37427	36.24	-0.24	rgb(165,185,226)	1.7049	2,2
ZNF883	BC150585	-0.46634	41.41	-0.41	rgb(129,163,232)	1.8084	2,2
ZNF883	C10orf35	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF883	C14orf132	0.38414	36.5	0.504	rgb(223,121,122)	1.7101	None
ZNF883	C19orf70	0.55006	44.48	0.482	rgb(222,125,126)	1.8698	2,2
ZNF883	C1RL-AS1	-0.98001	50.82	-0.82	rgb( 39,109,248)	1.9966	None
ZNF883	C1orf168	0.62177	46.8	0.805	rgb(226, 63, 65)	1.9162	2,2
ZNF883	C6orf201	0.13057	21	0	rgb(217,217,217)	1.4001	None
ZNF883	CACNA1C	-0.80281	50.33	-0.33	rgb(146,174,230)	1.9868	None
ZNF883	CACNA2D2	-0.70669	48.58	-0.58	rgb( 92,141,239)	1.9518	None
ZNF883	CATSPER2	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ZNF883	CCDC17	-0.63494	46.46	-0.46	rgb(116,156,235)	1.9094	2,2
ZNF883	CD96	0.37947	37.48	0.482	rgb(222,125,126)	1.7297	None
ZNF883	CD99L2	0.78806	50.19	0.187	rgb(219,181,182)	1.984	None
ZNF883	CERKL	0.15832	24	0	rgb(217,217,217)	1.4601	None
ZNF883	CFH	-0.86254	50.53	-0.53	rgb(102,147,237)	1.9908	2,2
ZNF883	CHST10	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
ZNF883	CLCA1	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ZNF883	CLCN4	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
ZNF883	CR627394	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
ZNF883	CR933660	-0.55626	44.63	-0.63	rgb( 80,134,241)	1.8728	2,2
ZNF883	CRISP3	-0.79438	50.27	-0.27	rgb(158,181,227)	1.9856	2,2
ZNF883	DACT1	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
ZNF883	DKFZp686M11215	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ZNF883	DNAPTP1	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
ZNF883	DPCR1	0.86679	50.54	0.541	rgb(223,114,115)	1.991	2,2
ZNF883	DPEP1	-0.58736	45.66	-0.66	rgb( 73,129,242)	1.8934	2,2
ZNF883	DQ588114	-0.53214	42.8	-0.8	rgb( 43,111,248)	1.8362	2,2
ZNF883	DTX3	-0.93437	50.73	-0.73	rgb( 59,121,245)	1.9948	2,2
ZNF883	DZIP1	-0.51161	42.29	-0.29	rgb(154,179,228)	1.826	None
ZNF883	E02193	-0.94403	50.73	-0.73	rgb( 58,121,245)	1.9948	2,2
ZNF883	E10222	-0.53234	42.82	-0.82	rgb( 39,109,248)	1.8366	2,2
ZNF883	FAM155B	-0.58108	44.55	-0.55	rgb( 97,144,238)	1.8712	None
ZNF883	FAM157A	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
ZNF883	FAM21B	-0.90669	50.66	-0.66	rgb( 73,130,242)	1.9934	2,2
ZNF883	FAM64A	0.83994	50.47	0.469	rgb(222,128,128)	1.9896	2,2
ZNF883	FKBP1A-SDCBP2	-0.87641	50.56	-0.56	rgb( 95,143,238)	1.9914	2,2
ZNF883	FLJ22184	-0.49087	41.39	-0.39	rgb(133,166,232)	1.808	2,2
