TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
LMX1A	REACTOME	REACTOME_PEPTIDE_HORMONE_METABOLISM	90	0	213	15	0.0	0.0	AGT CES1 CPB1 CPE FFAR1 GIP GPR119 ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 SLC30A8 STX1A
FEV	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	252	36	0.0	0.0	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1E CACNA2D2 CACNB2 CHRNA5 CHRNB2 GABRG2 GNG2 GNG4 GRIK3 GRIK5 GRIN2C HCN4 KCNB2 KCNC1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ3 KCNK16 KCNK17 LIN7A LRFN2 LRRTM3 NCALD PPM1E PRKCG SNAP25 STX1A SYN1
ASCL1	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	111	23	0.0	0.0	ABCC8 ADCY1 ADCY5 CACNA1A CAMK1 CAMK2B CHRNB2 GABBR2 GRIK3 GRIN2C HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 KCNMB2 LRRTM3 PPM1E
SIX2	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	207	30	8.43636271952164e-12	1.64698891192e-06	ADCY1 ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CACNG4 CPLX1 GABBR2 GABRA1 GABRB3 GABRG2 GAD2 GRIA2 GRIN1 GRIN2C KCNB2 KCNC1 KCNH7 KCNH8 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNN3 NCALD NEFL PPM1E PRKCG STX1A
MAFA	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	232	32	1.2034373497726847e-11	2.34939853172e-06	ADCY1 ADCY2 ADCY5 CACNA1E CACNA2D2 CACNG4 CHRNA5 CHRNB2 CPLX1 GNG2 GNG4 GRIA2 GRIK5 KCNB2 KCNC1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMB2 KCNN3 LIN7A LRFN2 NCALD PPM1E SNAP25 SYN1 TSPAN7
LMX1A	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	213	34	1.3131606912963889e-11	2.56359169637e-06	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK1 CPLX1 GABRA1 GABRB3 GAD2 GNG2 GRIA2 GRIK5 KCNAB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMA1 KCNMB2 KCNN3 LIN7A LRFN2 LRRTM3 NCALD NEFL PPM1E SNAP25 STX1A SYN1 TUBB2B
ASCL1	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	0	111	13	1.326228016296227e-11	2.58908885797e-06	ABCC8 GABBR2 HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 KCNMB2
RFX6	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	188	28	1.547251216038603e-11	3.02055929646e-06	CACNA1A CACNA1E CACNB2 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 KCNN3 LIN7A LRFN2 NCALD NEFL PPM1E PRKCG SNAP25 TUBB4A
SOX4	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	285	35	1.573463581650003e-11	3.0717156041e-06	ABCC8 ADCY1 ADCY2 CACNA1A CACNA1E CACNA2D2 CHRNA5 CHRNB2 GABBR2 GABRA1 GABRB3 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNAB2 KCNB2 KCNC1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ3 KCNJ6 KCNK3 KCNMA1 KCNMB2 KCNN3 LIN7A LRRTM3 PPM1E SNAP25 STX1A TUBB2B
MAFB	REACTOME	REACTOME_NEURONAL_SYSTEM	410	0	248	32	1.8543833135709065e-11	3.62010856092e-06	ADCY1 CACNA1A CACNA1E CACNA2D2 CACNG4 CPLX1 GABBR2 GABRA1 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 LRFN2 SNAP25 STX1A SYN1 TSPAN7
