	ARX	ASCL1	ASCL2	CCDC17	DPF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.212766120954	1	1	1	1	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	1	1	0.161946981002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	0.39738378158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.39738378158	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	0.754499279357	1	0.371531110213	1	1	0.0357399766992	0.000180477966438	1	1	1	1	1	1	0.166205841585	0.00830055835436	1	1	0.0129221807432	0.22307261775	1	1	1	0.265111039259	1	1	1	1	1	0.000436325180619	1	0.095069613732	0.106070261124	0.422958951983
REACTOME_GABA_B_RECEPTOR_ACTIVATION	1	1	1	1	1	1	1	1	1	1	0.136836707887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.389563301281	1	1
REACTOME_GABA_RECEPTOR_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.988613323902	0.343130594798	1	1
REACTOME_GPCR_LIGAND_BINDING	1	1	1	0.635439325626	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.241309935549	1	1	1	1	1	1	1	1	1	1	1	0.931630781213	1
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	1	1	1	0.111958900137	1	1	1	1	1	0.798145657536	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1	1	1	1	1	1	0.601279581394	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1	1	1	1	1	1	1	1	1	1	1	0.257890170287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	1	1	1	1	0.034041328437	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	1	1	5.64263694969e-06	1	1	0.0252299708558	0.258269051208	0.000383143773827	1	0.0100451747679	0.0219406566979	1	1	1	1	1	0.0037391069675	0.0179960611722	1	1	1	1	1	0.193030606572	1	0.00202506438875	1	1	1
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.907075120593	1	1	1	1	1	0.938674277634	1	1	1	1
REACTOME_ION_CHANNEL_TRANSPORT	1	1	1	1	1	1	1	1	1	0.832291390196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	0.942289403442	0.0148893648491	1	1	1	1	1	1	0.654612841534	0.0625781855887	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001574914398	1	1	1	0.414330193077
REACTOME_NEURONAL_SYSTEM	0.00014227873856	0.0	0.000177619769997	1	1	4.78007737281e-06	0.0	0.00649714771304	0.859720286501	0.00048708318473	7.55894366389e-06	2.56359169637e-06	0.00593865292232	2.34939853172e-06	3.62010856092e-06	0.0135450007607	1	0.00312664148264	0.689034134655	9.23489536842e-06	0.0464799752534	0.00869287316955	0.0511788872456	0.000428226083469	0.00326005298773	0.142623442588	3.02055929646e-06	1.64698891192e-06	4.8262820993e-06	3.0717156041e-06	2.22049931382e-05	1.26615822049e-05	0.0796195596354
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	0.230997339998	1	1	1	0.0369341598288	0.0784889674135	1	1	1	0.0652239936189	0.225692828832	1	0.129925104818	1	1	1	1	1	0.742895053692	1	1	1	1	1	1	0.267221264321	0.831907124722	0.001574914398	1	1	0.0135494252689	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	0.974022869243	1	1	1	1	0.986022504556	0.0258284786406	1	1	0.00371141386275	1	0.0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0972451030255	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.342144671847	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_2_PLATEAU_PHASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.318367889127	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.377197709049	2.58908885797e-06	0.0328586151871	1	1	6.45711120351e-06	0.00177029517776	1	1	1	0.179831824793	0.158653771895	1	0.000615729577825	4.85443256093e-06	0.00101778624483	0.359804903455	0.00421039711163	0.0248189260799	1	1	1	0.0145034095303	0.610165945085	0.183780176553	0.46982276733	0.0455579662748	0.938099399497	0.000127980248363	6.03456419068e-06	0.00396111202335	0.249351463514	0.311186817974
