	ARX	ASCL1	ASCL2	CCDC17	DPF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	2	2	0	0	0	3	3	0	2	0	0	2	0	3	2	4	0	2	2	0	2	0	0	0	0	0	6	2	0	0	2	4	2
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0	0	0	5	5	12	13	8	6	9	0	8	0	0	9	5	0	7	0	9	0	0	10	7	0	0	0	10	7	12	8	12	6
KEGG_TYPE_II_DIABETES_MELLITUS	3	5	4	0	0	6	5	4	0	7	2	7	3	5	7	5	2	4	2	4	3	4	3	4	2	0	4	6	7	6	4	4	2
REACTOME_CARDIAC_CONDUCTION	11	8	9	0	0	14	17	7	0	7	3	6	8	13	15	8	6	13	8	11	7	6	11	6	4	5	10	10	14	13	12	13	10
REACTOME_GABA_B_RECEPTOR_ACTIVATION	5	5	3	0	0	5	7	5	4	4	6	5	4	7	6	2	3	5	0	5	2	4	6	5	3	3	3	3	5	7	7	7	3
REACTOME_GABA_RECEPTOR_ACTIVATION	5	5	3	0	0	7	8	7	4	6	6	7	4	7	7	2	3	6	0	5	3	4	6	6	3	3	3	6	6	9	8	8	3
REACTOME_GPCR_LIGAND_BINDING	0	0	0	7	3	15	17	11	0	12	0	15	0	15	19	0	0	0	7	15	0	0	15	11	0	0	0	12	10	19	14	17	12
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	12	8	0	0	0	16	21	11	7	11	6	11	16	15	13	8	8	13	5	21	8	0	12	11	0	6	10	15	9	19	0	21	11
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	6	0	0	6	2	10	12	7	0	13	4	12	7	8	11	0	0	6	0	8	5	5	6	8	0	0	7	9	0	15	7	9	6
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	6	3	3	0	0	5	8	4	3	4	4	4	4	6	4	0	2	3	0	6	2	3	3	5	0	3	3	3	3	5	3	6	3
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	4	0	0	0	0	4	4	0	2	3	0	6	2	3	0	0	0	2	0	0	0	0	2	3	0	0	2	0	0	4	3	3	0
REACTOME_INSULIN_PROCESSING	5	0	0	0	0	5	6	4	0	5	2	7	4	3	4	2	0	3	0	3	0	0	3	0	0	2	0	3	3	5	3	4	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	9	6	5	2	0	7	17	7	5	11	8	14	8	13	13	5	0	7	0	10	10	9	6	8	3	5	9	11	9	15	9	9	6
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	5	5	3	0	0	6	5	3	2	2	3	4	3	5	6	3	0	5	2	0	0	3	6	4	2	0	4	0	6	6	6	4	4
REACTOME_ION_CHANNEL_TRANSPORT	11	6	6	0	0	9	13	8	0	12	0	7	10	8	12	0	0	6	4	7	7	0	8	8	0	0	7	9	8	11	11	7	0
REACTOME_MUSCLE_CONTRACTION	13	8	9	0	0	15	18	8	4	8	0	7	9	15	17	9	6	13	8	12	8	6	11	7	4	5	11	11	16	15	13	14	12
REACTOME_NEURONAL_SYSTEM	25	23	19	3	3	36	36	22	13	23	20	34	24	32	32	16	10	23	12	28	16	16	20	22	14	13	28	30	31	35	26	29	18
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	12	11	10	3	3	17	17	11	9	10	11	15	11	16	10	5	4	10	4	14	6	8	10	11	5	5	14	14	16	16	13	17	9
REACTOME_PEPTIDE_HORMONE_METABOLISM	9	0	0	2	0	10	12	7	3	11	0	15	7	7	7	3	0	5	0	5	3	0	5	4	0	2	0	6	4	12	7	9	0
