	ARX	ASCL1	ASCL2	CCDC17	DPF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.04840357561995656	0.018539021404908262	1	1	1	0.01005017893909721	0.011599741627833615	1	0.012725129122945211	1	1	0.06100383604387316	1	0.009269531562566824	0.07952537234384405	3.473314979041131e-05	1	0.04794062483145767	0.009010960029162574	1	0.017915182798212137	1	1	1	1	1	1.090498751743496e-06	0.0580027711713047	1	1	0.04747934767122941	0.0007593415577792362	0.029336336795618534
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	1	4.310800992579633e-05	8.300035927444327e-07	0.004029310693106636	0.002218584479230401	0.031239019701970294	0.011226524547190087	0.008384400468466224	1	0.07404962975622409	1	1	0.07159723887267821	0.055682764336516866	1	0.09041305413159961	1	0.026355295640017595	1	1	0.0025375919696564164	0.040340212319128654	1	1	1	0.01077181629221391	0.0607631076273466	0.01526200135476885	0.0379343308356106	0.002294118027307279	0.07354510268000447
KEGG_TYPE_II_DIABETES_MELLITUS	0.028775574502266643	4.4498000992487796e-05	0.0005974057710872449	1	1	0.0001910323223224264	0.0019447569646744434	0.0036308685546930786	1	2.036977633235182e-06	0.047534132693786035	9.394235067738954e-06	0.03767849852346361	0.0013513617244894638	2.517333704921132e-05	2.691334588778016e-05	0.0292134854813193	0.004246554558227089	0.02993600093494353	0.005984079156923228	0.006825337505953377	0.0003838504887723193	0.021820622658254907	0.002153159923402592	0.024360212033568307	1	0.004410848135453671	8.697181490191497e-05	2.036977633235182e-06	0.0004907808435200556	0.004165986215296069	0.008018033527371626	0.09083422767931859
REACTOME_CARDIAC_CONDUCTION	3.86795759010905e-06	1.9748451198342565e-05	1.9044185485261877e-06	1	1	1.8314480798586885e-07	9.245797460977201e-10	0.0025509312103050297	1	0.0019032306485241568	0.0818517110485002	0.02366851178286533	0.001464721740921937	8.518352847541877e-07	4.253076024696156e-08	9.15795622769e-06	0.00012544093473165763	6.621224690750438e-08	1.143328913988384e-06	9.319431373500109e-06	0.00013759137870905658	0.0005110379311665803	1.3588399816466534e-06	0.005375203725957234	0.005416328604668452	0.001288839914199924	2.5973493517406077e-05	5.890747290038245e-05	2.235329699118438e-09	8.265977393451251e-06	4.872116728948939e-07	5.435932368680341e-07	2.1680974353621707e-06
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.000336664043286361	2.8680428661331803e-05	0.005319853828310128	1	1	0.0010255003182123579	1.5253255011171696e-05	0.00026808601260408516	0.0002125025847958817	0.0021698878404960986	7.012879525980509e-07	0.0006104856690667404	0.004573908285599559	8.90625808602774e-06	0.00014105509529760418	0.041974170522457555	0.0018475840148892697	0.00032844953144606226	1	0.0005129483938838275	0.04900805756667881	0.0002716153862291071	1.605580976782317e-05	0.000136433701526939	0.0013931274859408926	0.0020674850727468996	0.023132258463800737	0.02964079665469388	0.00021070065133643734	3.366902640522529e-05	1.9968696083338955e-06	6.873795278639072e-06	0.010991880321446823
REACTOME_GABA_RECEPTOR_ACTIVATION	0.0015733876150548776	0.00014526596860908736	0.013334721938739968	1	1	9.9785097691929e-05	1.7153487435361825e-05	1.5250398403443555e-05	0.0007680040679916011	0.0001139519006820855	5.2023440907378316e-06	4.830677914002823e-05	0.014699273043613292	8.284075848175032e-05	0.00012562273508187616	0.07580088227819526	0.004781666585822686	0.00019239085535693867	1	0.002352299086681109	0.013334721938739968	0.0009756773370155347	0.00011029243159510482	6.816106126172894e-05	0.0036294990644860636	0.005335621658671963	0.053915086604840345	0.0003424343767601812	0.0001139519006820855	5.068538284747071e-06	1.7588142763313996e-06	7.040371670652412e-06	0.026720217695503812
REACTOME_GPCR_LIGAND_BINDING	1	1	1	3.2574604537094487e-06	0.0042811815850787305	0.021508224269610854	0.007695198749216758	0.04914960497074572	1	0.016021252108622153	1	0.008191250917001347	1	0.016920020183470386	0.0012029770321866362	1	1	1	0.01704034039498059	0.0058207518189284935	1	1	0.0008445827779849369	0.019804786519646234	1	1	1	0.06110407407475704	0.07416604852768405	0.005668157828946252	0.0056746401524844226	0.00225340433507204	0.004253332470602222
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.012312166672027725	0.020319301312534677	1	1	1	0.0027791906684246914	3.0989129875425014e-05	0.020784164766171953	0.021181669071960507	0.01467963393694538	0.07927382131196858	0.06247498151821185	0.0006548815120580587	0.005130138065908896	0.04123513319942207	0.011401032827758839	0.001991553309263261	0.004684765567602001	0.08249923842455165	1.236820868499855e-06	0.01841515556713158	1	0.005451426822647876	0.007634591179430217	1	0.03176593305463893	0.0628200348476744	0.0017403952200919504	0.07461915715605039	0.0012211835245735658	1	4.776246603332979e-06	0.004184270612361041
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.08699940465751699	1	1	5.737745167877506e-07	0.011003460500323636	0.006030194193306304	0.0009161454547118586	0.02721349747159507	1	4.091774662984271e-06	0.07702733174915533	0.00020214142892294173	0.0551478894607339	0.0372110958916132	0.0025980237658036476	1	1	0.08530724620154562	1	0.019650618675837173	0.03332344673710386	0.02146362667465007	0.058040540807896335	0.0038332269315572987	1	1	0.03511168202728454	0.0070769737580757	1	7.094216110192786e-05	0.0325995379319326	0.011220734090581885	0.029288131292941832
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	5.588189274374766e-05	0.007608190115640068	0.007237186363310055	1	1	0.00169530577761845	3.0823153336356768e-06	0.003919887952247403	0.004383322537414913	0.0032560595877410003	0.00043296981043106086	0.007368628225256857	0.006785088054013788	0.00018305002446505902	0.012398155427169044	1	0.030373318263130056	0.029970099843985798	1	9.299908375859367e-05	0.05962717549281349	0.005239540290397415	0.023062836235451245	0.00023158167614834024	1	0.002836949454177007	0.030798113094770985	0.03926277594890959	0.023420790058345298	0.003634219480868728	0.02956062121096159	0.00014757438899604125	0.014818388483980982
