	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
BIOCARTA_BAD_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06612329874209177	1	1	1	1	1	1	1	1
BIOCARTA_BOTULIN_PATHWAY	1	1	0.001941559313924368	1	1	1	1	1	1	1	1	1	1	1	0.003495878400480712	0.0017611075543209065	1	1	0.001589223171184373	1	1	1	1	1	1	1	1	1	1	1	0.002510656090504604	0.0023957261907483485	1	0.0033876339499253616	1	1	1	0.001921087195878024	1	1	1	0.002328019115677704	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004450932227129889	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04544670460283551	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006983700434002538	1	0.033472404898030717	1	1	0.0441534373816137	1	1	1	1	1	1	1	0.03119874134774192	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05664401173359468	0.02580486981814656	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_GHRELIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02233402786016503	0.024656964140538973	0.01279578629818956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_LIS1_PATHWAY	1	1	1	0.010918658928600555	1	1	1	1	1	1	1	1	1	0.045615548791444915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MAPK_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.03234869649173677	1	1	0.09625800866908685	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0774741797801064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08550976914856823	1	1	1	1	1	1	1	1	0.05873507561691993	0.09972435072986285	1	1	1
BIOCARTA_MPR_PATHWAY	1	1	1	0.013263261288488426	1	1	1	1	1	1	1	1	1	1	0.06010585263234747	1	1	0.009067885697153	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04265201987434564	1	0.0584293108663656	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07455867019466322	0.03446366413520152	1	1	0.04835028275235087	1	1	1	1	1	1	1	1
BIOCARTA_NFAT_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05011771277035815	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_NOS1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.028867190212383265	1	1	1	1	1	1	1	1	0.04228192165045641	1	1	1	1	1	1	1	1	1	1	1	0.02111636843867082	1	1
BIOCARTA_PDZS_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04129659848744727	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03119874134774192	1	1	0.021560495900585397	1	1	1	1	1	0.02658687259746695	1	1	0.002607769844534369	1	1	1	1	1	1	1	1	1	1	1	1	1	1
