	ASCL1	CCDC17	DPF3	ETV1	FEV	GATA2	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX6	PBX3	POU2F2	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.255069779485	1	1	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	0.276354676226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	0.220571852578	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	0.622620238995	1	1	1	1	0.162223947454	0.00301899707684	1	0.0130949616715	0.806491525494	1	1	1	1	1	1	1	0.0430508537874	0.455094233135	1
REACTOME_GABA_B_RECEPTOR_ACTIVATION	1	1	1	1	1	1	0.542315202864	1	0.664803820615	1	1	1	1	1	1	1	1	1	1	1	1	0.0791153114565	1
REACTOME_GABA_RECEPTOR_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.820478695302	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.325920096205	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	1	0.191045110659	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1	1	1	1	1	1	1	0.287191818223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	0.0352793396111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	0.00019076144576	0.00769172279124	0.228400634241	0.00259089502238	0.107546748092	0.00965755654511	1	1	1	0.397502059461	0.0366903352462	1	1	1	1	1	0.457996876429	0.518967303998	1
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.399374778391	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.583193338176	1	1	1	1	0.397578838279	0.433921443885	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	0.376126129006	0.020271090986	1	1	1	1	1	1	1	1	1	1	0.352215511811	1	1
REACTOME_NEURONAL_SYSTEM	0.0	1	1	1.99364894371e-06	3.44096273142e-06	0.0010281734882	0.00154936008445	2.59790271695e-06	2.38978336253e-06	6.52673595125e-06	0.0820320286634	0.051127853126	1	8.94113531014e-06	0.0199712882445	0.00507614473352	0.0917050523085	1	9.28976680648e-06	0.00170795240357	3.35929778839e-06	0.000356708406841	0.000443308582565
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.0506969635287	1	1	1	0.253595014366	1	1	0.151935939739	0.00979274425802	1	1	1	1	0.764200573797	1	1	1	1	0.220654767888	1	0.00071660256	1	0.0284792654422
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	1	0.00109252349316	1	0.0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	0.435042792562	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_2_PLATEAU_PHASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.336869195734	1	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	7.70469318923e-06	1	1	3.13535476837e-05	1	1	1	1	6.06122524278e-05	1.05183953963e-05	0.0185457603201	0.411341183588	1	1	1	0.00433251713305	1	0.98863063862	0.042191458739	1	0.000160810825864	0.347669842312	1
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.314345332552	1	1	1	1	1	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	0.00436019840113	1	1	1	1	1	1	1	0.0515328454617	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	0.00133611616411	0.0514576921358	1	0.000567895317727	0.454246198499	0.021918452114	1	1	1	1	0.613908345249	1	1	1	0.314077903746	1	0.0275452953852	0.416178972005	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	0.00552229991356	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.068832796877	1	1	0.0191535395563	0.00257231207433	1	0.0138655882076	1.07532908338e-05	0.00039363258411	0.941545560912	1	1	1	8.71363584154e-05	1	1	1	1	0.0011641955763	0.0101082937071	1.33195161289e-05	0.00069273581823	0.00347586148698
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	1	1	0.302082320114	1	1	1	0.154574181774	1	1	1	1	1	0.000325298946069	1	1	1	1	1	1	1	1	0.413351523779
WP_DOPAMINERGIC_NEUROGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.808783160627	1	1	1	1
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	1	1	1	1	1	1	1	1	1	1	1	0.435042792562	1	1	1	1	1	1	1	1	1	1	1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0119096498727	1	1	1	1
WP_SYNAPTIC_VESICLE_PATHWAY	1	1	1	1	1	1	1	1	1	0.723851473925	1	1	1	1	1	1	1	1	1	1	1	1	1
