	ASCL1	CCDC17	DPF3	ETV1	FEV	GATA2	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX6	PBX3	POU2F2	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG				GCK ONECUT1 PAX6				GCK PAX6	GCK NEUROG3	GCK HHEX	GCK NEUROD1 NKX2-2 PAX4	HHEX NEUROD1	HHEX NEUROG3		ONECUT1 PAX6				GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6	GCK ONECUT1		GCK PAX6	GCK HHEX
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	CHRNB2 GABBR2 GRIK3 GRIN2C	CYSLTR2 GABRB3 GPR83 GRIA2 GRIN2C	ADORA2A CYSLTR2 GABBR2 GRIA2 GRIN2C	AVPR1B CHRM4 CHRNA3 CHRNA5 CHRNB2 GABRB3 GABRG2 GRIK5 P2RX6 SSTR2	BRS3 CHRNB2 GABRG2 GRIK3 GRIK5 GRIN2C P2RX6 SSTR1	ADORA2A CHRNA5 GABRB3 GPR83 GRIA2 GRIK5 SSTR1			AVPR1B CHRM4 CHRNA5 CHRNB2 GRIA2 GRIK5 P2RX6 SSTR1	ADORA2A AVPR1B BRS3 CHRM4 CYSLTR2 GABBR2 GABRA1 GPR83 GRIK5		AVPR1B GABBR2 GABRB3 GPR83 GRIN2C P2RX6 SSTR2		AVPR1B CHRM4 CHRNA3 CHRNB2 GPR83 GRIK5 GRIN1 P2RX6		AVPR1B BRS3 CHRNB2 GABBR2 GRIK5 GRIN1 GRIN2C P2RX6 SSTR3				CYSLTR2 GABRA1 GABRB3 GABRG2 GPR83 GRIA2 GRIN1 GRIN2C	ADORA2A BRS3 GABBR2 GABRB3 GRIK5 GRIN2C SSTR1	ADORA2A BRS3 GABBR2 GPR83 GRIK5 GRIN2C P2RX6	CHRM4 CHRNB2 GABBR2 GRIK5 GRIN2C SSTR1 SSTR3
KEGG_TYPE_II_DIABETES_MELLITUS	ABCC8 CACNA1A GCK KCNJ11			ABCC8 CACNA1A CACNA1B CACNA1E CACNA1G GCK	ABCC8 CACNA1A GCK	ABCC8 CACNA1A CACNA1C CACNA1E CACNA1G GCK MAPK10	CACNA1C CACNA1E	ABCC8 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G GCK		CACNA1A CACNA1C CACNA1E CACNA1G GCK KCNJ11	ABCC8 CACNA1E CACNA1G GCK KCNJ11	ABCC8 CACNA1A CACNA1C MAPK10		CACNA1B CACNA1E CACNA1G MAPK10	CACNA1A CACNA1B CACNA1C	CACNA1G KCNJ11 MAPK10	CACNA1A CACNA1E MAPK10	CACNA1A MAPK10	CACNA1A CACNA1E GCK KCNJ11	CACNA1A CACNA1B CACNA1E CACNA1G GCK MAPK10	ABCC8 CACNA1B CACNA1C CACNA1E KCNJ11 MAPK10	CACNA1A CACNA1C CACNA1E GCK	GCK MAPK10
REACTOME_CARDIAC_CONDUCTION	CAMK2B FXYD1 KCNJ11 KCNJ2 KCNK17 SCN3A			CACNA2D1 CACNA2D2 CAMK2B FXYD1 KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1	ATP1A3 CACNA2D1 FGF14 ITPR1 KCNE4 KCNH2 KCNIP3 KCNK16	ATP1A3 CACNA1C FXYD1 ITPR1 KCNE4 KCNK3 SCN3B	CACNA1C FGF14 KCNK3	CACNA1C CACNA2D2 FGF14 KCNJ2 KCNK17	CACNA2D1 CACNA2D2 CACNG4 FXYD1 ITPR1 KCNE4 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNG4 FXYD1 FXYD6 KCNE4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1	CAMK2B KCNE4 KCNH2 KCNIP3 KCNJ11 KCNK17 KCNK3	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNE4 KCNH2 KCNIP3 KCNK3 SCN3A SCN3B SLC8A1	CACNA2D2 CAMK2B FXYD6 KCNH2 KCNK17 KCNK3 SCN1B	ATP1A3 CACNA2D1 CACNA2D2 CAMK2B FXYD6 ITPR1 KCNJ2 KCNK3 SCN3B	CACNA1C CACNA2D1 CACNA2D2 CACNB2 ITPR1 KCNE4 SLC8A1	ATP1A3 CACNA2D1 CACNA2D2 FGF14 FXYD6 KCNIP3 KCNJ11 KCNJ2 SCN3B	ATP1A3 FXYD6 KCNJ2 KCNK3 SLC8A1	CACNA2D1 FGF14 KCNK17	ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 FXYD6 KCNH2 KCNJ11 KCNK16 SLC8A1	ATP1A3 CACNA2D2 FXYD6 ITPR1 KCNE4 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CAMK2B FXYD6 ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK3 SCN1B	CACNA1C CACNA2D2 FGF14 FXYD1 KCNE4 KCNIP3 KCNJ2 KCNK17 SCN3A SLC8A1	ATP1A3 CACNA2D1 CACNA2D2 CACNG4 FXYD6 ITPR1 KCNIP3 KCNJ2 SCN3B
REACTOME_GABA_B_RECEPTOR_ACTIVATION	ADCY5 GABBR2 KCNJ2 KCNJ6			GNG2 GNG4 KCNJ2 KCNJ6	ADCY1 ADCY2 ADCY5 GNG2 GNG4	ADCY1 ADCY2 ADCY5 KCNJ6	ADCY1 ADCY2 ADCY5 KCNJ3 KCNJ6	ADCY2 ADCY5 GNG2 KCNJ2 KCNJ3	ADCY1 ADCY2 ADCY5 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3		ADCY5 GABBR2 GNG4 KCNJ6		ADCY1 ADCY2 ADCY5 GNG4 KCNJ2	ADCY2 ADCY5	ADCY5 GABBR2 GNG2 KCNJ2 KCNJ3 KCNJ6	ADCY5 GABBR2 GNG2 KCNJ2	ADCY1 KCNJ3 KCNJ6	GABBR2 GNG2 GNG4		ADCY5 GABBR2 GNG4 KCNJ2 KCNJ6	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY5 GABBR2 GNG4 KCNJ2
REACTOME_GABA_RECEPTOR_ACTIVATION	ADCY5 GABBR2 KCNJ2 KCNJ6			GABRB3 GABRG2 GNG2 GNG4 KCNJ2 KCNJ6	ADCY1 ADCY2 ADCY5 GABRG2 GNG2 GNG4	ADCY1 ADCY2 ADCY5 GABRB3 KCNJ6	ADCY1 ADCY2 ADCY5 KCNJ3 KCNJ6	ADCY2 ADCY5 GABRA1 GABRB3 GNG2 KCNJ2 KCNJ3	ADCY1 ADCY2 ADCY5 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 GABRA1 GNG2 GNG4 KCNJ2 KCNJ3		ADCY5 GABBR2 GABRB3 GNG4 KCNJ6		ADCY1 ADCY2 ADCY5 GNG4 KCNJ2	ADCY2 ADCY5 GABRB3	ADCY5 GABBR2 GNG2 KCNJ2 KCNJ3 KCNJ6	ADCY5 GABBR2 GABRA1 GNG2 KCNJ2	ADCY1 KCNJ3 KCNJ6	GABBR2 GNG2 GNG4	ADCY5 GABRA1 GABRB3 GABRG2	ADCY5 GABBR2 GABRB3 GNG4 KCNJ2 KCNJ6	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY5 GABBR2 GNG4 KCNJ2
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	ADCY5 CAMK2B GABBR2 RGS5 RGS9			CAMK2B CHRM4 GNAO1 GNG2 GNG4 GPC2 PRKCG RGS16 RGS4 RGS5 SST SSTR2 SUCNR1 TTR	ADCY1 ADCY2 ADCY5 CLPS GNAO1 GNG2 GNG4 GPC6 ITPR1 RBP1 RGS9 SSTR1	ADCY1 ADCY2 ADCY5 AGT GPC6 ITPR1 SSTR1 TTR		ADCY2 ADCY5 AGT CHRM4 GNG2 PYY RGS11 RGS4 RGS5 SSTR1 TTR	ADCY1 ADCY2 ADCY5 CHRM4 GNG2 GNG4 ITPR1 PYY RGS16 RGS5 SSTR1 TTR	ADCY1 AGT CHRM4 GABBR2 GNAO1 GNG2 GNG4 NPY PYY RBP1 RGS16 SST	ADCY2 AGT CAMK2B CLPS GNAO1 GPC2 SSTR2 SSTR3	ADCY5 CAMK2B CLPS CXCL12 GABBR2 GNAO1 GNG4 GPC6 RBP1 RGS4 RGS9 SSTR2 SUCNR1		ADCY1 ADCY2 ADCY5 AGT CAMK2B CHRM4 CLPS CXCL12 GNAO1 GNG4 GPC6 ITPR1 NPY PRKCG RBP1 RGS11 RGS16 RGS9 TTR		ADCY5 CXCL12 GABBR2 GNAO1 GNG2 NPY PYY RGS9 SSTR3	ADCY5 CHRM4 GABBR2 GNG2 GPC2 RBP1 RGS16 RGS4		CAMK2B GABBR2 GNG2 GNG4 PRKCG RBP1 RGS5 RGS9 SSTR1 TTR	ADCY5 GNAO1 GPC6 ITPR1 PRKCG PYY RGS11 RGS5 SUCNR1 TAS2R20	ADCY5 CAMK2B GABBR2 GNAO1 GNG4 ITPR1 PRKCG RGS9 SSTR1		ADCY1 ADCY5 CHRM4 CLPS GABBR2 GNAO1 GNG4 ITPR1 PRKCG PYY RBP1 RGS16 RGS5 RGS9 SSTR1 SSTR3 TTR
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS		CYSLTR2 FFAR1 FFAR3 GAST NTS TAC1	CYSLTR2 DGKB	AVPR1B DGKB FFAR2 GHRL GNG2 GNG4 MLN RGS16 RGS4 RGS5	BRS3 FFAR2 GHRL GNG2 GNG4 ITPR1	AGT DGKB FFAR1 FFAR2 FFAR3 GHRL ITPR1 NTS TAC1 TAC3		AGT FFAR1 FFAR2 FFAR3 GAST GNG2 MLN NTS RGS4 RGS5 TAC1	AVPR1B FFAR2 GNG2 GNG4 ITPR1 RGS16 RGS5 TAC3	AGT AVPR1B BRS3 CYSLTR2 FFAR3 GAST GNG2 GNG4 NTS RGS16		AVPR1B DGKB GHRL GNG4 RGS4 TAC3		AGT ARHGEF25 AVPR1B GNG4 ITPR1 MLN RGS16 TAC3	AGT CYSLTR2 DGKB FFAR2 ITPR1	AVPR1B BRS3 DGKB GNG2 MLN	BRS3 DGKB FFAR1 FFAR3 GNG2 RGS16 RGS4		DGKB FFAR2 GHRL GNG2 GNG4 MLN RGS5	CYSLTR2 DGKB FFAR1 FFAR3 GAST ITPR1 NTS RGS5 TAC1	BRS3 DGKB GNG4 ITPR1 TAC3	AGT BRS3 FFAR2 GNG2 GNG4 MLN RGS5	
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION				GIP ISL1 PAX6 PCSK1	ISL1 PCSK1	FFAR1 ISL1 PCSK1		FFAR1 GIP GPR119 ISL1 PAX6 PCSK1				ISL1 PCSK1				GIP PCSK1	FFAR1 PAX6		PAX6 PCSK1			ISL1 PAX6 PCSK1	
REACTOME_INSULIN_PROCESSING				KIF5A KIF5C PCSK1 PCSK2 SLC30A8	PCSK1 STX1A	CPE KIF5A KIF5C PCSK1 STX1A		CPE KIF5A KIF5C PCSK1 PCSK2 SLC30A8 STX1A		CPE KIF5A SLC30A8 STX1A	KIF5A PCSK1	PCSK1 PCSK2 STX1A		KIF5A STX1A		CPE PCSK1 PCSK2				KIF5A STX1A	CPE KIF5C PCSK1	CPE PCSK1 SLC30A8	
