	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
BIOCARTA_BAD_PATHWAY																																																											ADCY1 KIT								
BIOCARTA_BOTULIN_PATHWAY															SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A											SNAP25 STX1A			SNAP25 STX1A				SNAP25 STX1A				SNAP25 STX1A																										
BIOCARTA_CARDIACEGF_PATHWAY																														ADAM12 AGT			ADAM12 AGT								ADAM12 AGT															ADAM12 AGT											
BIOCARTA_GHRELIN_PATHWAY														GHRL SST																																																					
BIOCARTA_LIS1_PATHWAY				CDK5R1 DCX										CDK5R1 DCX																																																					
BIOCARTA_MAPK_PATHWAY													MAP3K12 MAPK10																							MAP3K12 MAPK10	MAP3K12 MAPK10 MAPK4																	MAP3K12 MAPK10 MAPK4									MAP3K12 MAPK10		MAP3K12 MAPK4		
BIOCARTA_MPR_PATHWAY															ADCY1 MYT1																ADCY1 MYT1		ADCY1 MYT1																							ADCY1 MYT1			ADCY1 MYT1								
BIOCARTA_NOS1_PATHWAY																																												GRIN1 GRIN2C									GRIN1 GRIN2C														
BIOCARTA_PDZS_PATHWAY														NCAM1 NFASC																											GRIN1 NCAM1			GRIN1 NCAM1						GRIN1 NFASC			GRIN1 NCAM1														
KEGG_ABC_TRANSPORTERS																																																																	ABCC4 ABCC8		
KEGG_ACUTE_MYELOID_LEUKEMIA																													CCNA1 KIT	AKT3 CCNA1 RUNX1T1							AKT3 KIT RUNX1T1																														
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																			ACSL6 AKT3 MAPK10											ACSL6 AKT3 CPT1C						ACSL6 MAPK10	ACSL6 AKT3 CPT1C MAPK10				ACSL6 AKT3 MAPK10 NPY			AKT3 MAPK10 NPY									ACSL6 CPT1C MAPK10														
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION												ATP1A3 PRKCG																																									ATP1A3 PRKCG	ATP1A3 PRKCG					ATP1A3 PRKCG								
