TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
SPIB	GO	GO_SOMATODENDRITIC_COMPARTMENT	859	0	248	39	0.0	0.0	ADORA2A BRS3 BSN CACNA1A CACNA1C CD200 CPLX1 CRH CRMP1 ELAVL4 FRMPD4 FZD4 GNAO1 GRIK5 HAP1 KCNB2 KCNC1 KCNIP3 KCNJ2 KNDC1 MAP1B MAP2 MAPK8IP1 MPP2 NFASC NTRK2 P2RX6 PALMD RET RTN4RL1 SEZ6 SLC25A27 SLC8A1 STMN2 SV2A SYN1 SYT5 TTLL7 USH2A
SPIB	GO	GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	479	0	248	32	0.0	0.0	ASIC1 ASIC4 CACNA1A CACNA1C CACNA1E CACNA2D2 CLCA4 CNGA4 FAM155B FXYD1 GABRG2 GRIK5 GRIN2C HCN4 KCNAB2 KCNB2 KCNC1 KCNE4 KCNH3 KCNIP3 KCNJ2 KCNJ3 KCNJ6 KCNK17 KCNT2 P2RX6 SCN3A SCN3B SLC14A1 TRPA1 TRPM3 UNC80
SPIB	GO	GO_ION_TRANSPORT	1696	0	248	58	0.0	0.0	ABCC4 ADORA2A AGT ASIC1 ASIC4 ATP6V1G2 CACNA1A CACNA1C CACNA1E CACNA2D2 CLCA4 CNGA4 CPLX1 CRH DPP10 FAM155B FGF14 FXYD1 FXYD6 GABRG2 GCK GRIK5 GRIN2C GSTM2 HAP1 HCN4 HECW2 KCNAB2 KCNB2 KCNC1 KCNE4 KCNH3 KCNIP3 KCNJ2 KCNJ3 KCNJ6 KCNK17 KCNT2 NTRK2 P2RX6 SCN3A SCN3B SLC16A12 SLC18A1 SLC25A27 SLC30A8 SLC6A17 SLC7A14 SLC7A2 SLC8A1 SV2A SYT5 TRPA1 TRPM3 UNC79 UNC80 WNK3 XKR7
SPIB	GO	GO_CATION_CHANNEL_ACTIVITY	334	0	248	28	0.0	0.0	ASIC1 ASIC4 CACNA1A CACNA1C CACNA1E CACNA2D2 CNGA4 FAM155B GRIK5 GRIN2C HCN4 KCNAB2 KCNB2 KCNC1 KCNE4 KCNH3 KCNIP3 KCNJ2 KCNJ3 KCNJ6 KCNK17 KCNT2 P2RX6 SCN3A SCN3B TRPA1 TRPM3 UNC80
SPIB	GO	GO_CATION_TRANSMEMBRANE_TRANSPORT	890	0	248	43	0.0	0.0	AGT ASIC1 ASIC4 ATP6V1G2 CACNA1A CACNA1C CACNA1E CACNA2D2 CNGA4 CRH DPP10 FAM155B FGF14 FXYD1 FXYD6 GRIN2C GSTM2 HAP1 HCN4 HECW2 KCNAB2 KCNB2 KCNC1 KCNE4 KCNH3 KCNIP3 KCNJ2 KCNJ3 KCNJ6 KCNK17 KCNT2 P2RX6 SCN3A SCN3B SLC25A27 SLC30A8 SLC6A17 SLC7A2 SLC8A1 TRPA1 TRPM3 UNC80 WNK3
SPIB	GO	GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	428	0	248	28	0.0	0.0	ASIC1 ASIC4 CACNA1A CACNA1C CACNA1E CACNA2D2 FAM155B GRIK5 GRIN2C HCN4 KCNAB2 KCNB2 KCNC1 KCNE4 KCNH3 KCNIP3 KCNJ2 KCNJ3 KCNJ6 KCNK17 KCNT2 SCN3A SCN3B SLC18A1 SLC30A8 SLC8A1 TRPA1 TRPM3
SPIB	GO	GO_REGULATION_OF_MEMBRANE_POTENTIAL	443	0	248	28	0.0	0.0	ADORA2A ASIC1 CACNA1A CACNA1C CACNA1E FGF14 FXYD1 GABRG2 GRIK5 GRIN2C HCN4 KCNAB2 KCNC1 KCNE4 KCNH3 KCNJ2 KCNJ3 KCNK17 MLLT11 MPP2 NTRK2 P2RX6 SCN3A SCN3B SEZ6 SLC25A27 SLC8A1 UCN3
SPIB	GO	GO_REGULATION_OF_TRANSPORT	1856	0	248	62	0.0	0.0	ADCY1 ADORA2A AGT ANKRD13B ASIC1 BSN CACNA1A CACNA1C CACNA1E CACNA2D2 CADPS CALY CD200 CPLX1 CRH DPP10 FFAR2 FGF14 FXYD1 FXYD6 GATA2 GCK GRIK5 GSTM2 HAP1 HCN4 HECW2 ISL1 KCNAB2 KCNB2 KCNC1 KCNE4 KCNH3 KCNIP3 KCNJ2 KCNJ3 KCNJ6 KCNK17 LGI3 MAP1B MAP2 NR4A3 PCDH17 RAPGEF4 RFX6 SCG5 SCN3A SCN3B SCT SIRPA SLC25A27 SLC30A8 SLC8A1 SPP1 STXBP5L SV2A SYN1 SYT5 TP73 TUB UCN3 WNK3
GATA2	GO	GO_AXON	643	0	235	34	0.0	0.0	ADORA2A ATP1A3 BASP1 BRSK1 BSN CADM2 DSCAML1 ELAVL4 EPHA4 GHRL GRIK5 HAP1 KCNAB2 KIF5A KIF5C KIRREL3 MAP2 MAP9 MAST1 NEFM NTS PRPH PTPRN SCGN SNAP25 SPTBN4 SRCIN1 STMN2 STX1A SYP TAC1 UCN3 UNC80 VSTM2L
GATA2	GO	GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	479	0	235	34	0.0	0.0	ABCC8 ASIC1 ASIC5 CACNA1A CACNA1C CACNA1E CACNA1G CHRNA5 CLCA4 CLCN4 CNGA4 FXYD1 GABRA1 GABRB3 GRIA2 GRIK5 ITPR1 KCNAB2 KCNE4 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 KCNT2 P2RX6 SCN3B SLC14A1 SNAP25 TRPA1 TRPM3 UNC80
