	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEYL	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846	ZNF883
GO_ACTIN_MEDIATED_CELL_CONTRACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.240008481159	1	1	1	1	1	1	1	1	1
GO_ACTION_POTENTIAL	1	1	1	0.885629638236	1	1	0.0699809178898	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.125859562233	1	1	1	1	1	1	1	1	1	1	0.701732278794	1	1	1	1	1	1	1	1	0.732601571635	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.152295908921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0130784132261	1	1	0.00887744238661	1	1	1	1	1	1	1	1	0.670640060031	1	1	0.045174844986	1	1	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.218851459202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.514068318258	1	1	1	1	1
GO_AXON	1	1	0.0	0.375575931601	1	0.0	0.0	0.0	0.0	1	1	0.0	1	1	1	1	1	1	0.0607711238159	0.0	0.000220483423882	0.0	0.0	1	0.0602443007864	1	0.00146258766252	1	0.619692306297	1	0.0	1	0.00990312647149	0.000792163474442	0.00274185279056	1	1	1	0.0	0.287060940137	0.0	0.0	0.0	1.67092698284e-05	1	0.0	1	1	0.000366160127162	0.00949983391104	1
GO_AXON_DEVELOPMENT	1	1	0.0314902899303	1	1	1	8.97786829416e-05	0.00225344880887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.307030598144	1	1	1	1	1	1	1	1	1	0.793116711017	1	0.0127193380923	1	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	0.0273354393706	1	0.00125736050865	0.45820083521	1	1	0.0830924049298	1	1	1	1	1	1	1	1	1	0.531210682901	0.103687753462	1	1	1	1	1	1	1	0.00675501761332	0.285798300865	1	0.0174607029865	1	1	1	1	1	1	0.0634789523979	0.0830924049298	0.0303593088594	1	1	7.63319666042e-05	1	1	1	0.975811566486	1
GO_CALCIUM_ION_BINDING	1	1	0.563669767776	1	1	1	0.91532855837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	0.893898530195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.137543894925	1	1	1	1	1	1	1	1	1	1
