	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEYL	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846	ZNF883
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0	0	7	5	5	0	9	12	6	4	4	6	0	0	0	0	5	0	3	8	7	9	11	0	5	4	7	0	3	0	9	6	3	8	5	2	0	3	5	0	0	11	12	8	0	9	0	2	4	7	2
GO_ACTION_POTENTIAL	0	6	7	9	8	0	14	13	8	6	0	8	0	0	0	0	5	0	4	9	7	12	14	0	6	6	10	2	4	2	10	8	5	11	7	4	5	4	6	3	8	10	14	10	2	11	0	3	3	5	2
GO_ADULT_BEHAVIOR	5	5	6	3	4	9	12	14	11	7	7	10	2	0	2	0	5	0	5	9	7	10	11	4	5	0	9	3	3	3	14	8	6	13	10	2	3	0	11	3	10	9	14	8	0	14	4	2	7	8	0
GO_ADULT_LOCOMOTORY_BEHAVIOR	2	2	5	0	0	4	5	6	4	3	3	6	0	0	0	0	2	0	3	6	5	5	6	0	2	0	6	2	2	0	8	5	3	9	5	0	2	0	7	0	6	5	9	3	0	8	0	0	4	6	0
GO_AMINE_TRANSPORT	0	2	5	3	4	3	7	8	4	0	4	4	2	0	3	0	0	0	4	8	0	4	9	3	4	2	5	0	3	0	8	3	0	5	7	0	2	0	0	4	7	0	11	6	3	11	0	3	0	0	0
GO_AXON	6	11	42	19	18	29	47	54	34	13	16	34	10	4	11	10	13	4	18	39	33	41	54	8	19	13	30	10	16	3	40	18	20	29	27	11	10	11	43	13	38	40	49	32	6	42	11	10	21	25	3
GO_AXON_DEVELOPMENT	4	6	25	9	10	15	33	32	18	0	12	18	0	4	5	6	13	0	11	22	20	23	19	5	10	0	22	9	7	3	25	9	10	18	16	0	0	9	22	5	24	20	33	18	3	23	0	6	0	12	0
GO_BEHAVIOR	9	8	19	11	12	23	22	35	25	12	14	25	6	3	7	8	11	5	14	24	18	29	31	8	12	11	21	7	8	5	30	19	15	26	21	6	7	7	23	8	28	25	35	20	3	35	6	9	12	21	0
GO_CALCIUM_ION_BINDING	4	10	27	13	15	17	31	31	21	8	14	14	8	3	7	8	0	6	0	26	23	28	29	5	10	7	23	0	0	0	18	15	0	15	18	0	0	10	22	6	22	23	33	20	0	25	7	6	11	16	0
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	3	0	10	5	5	10	14	20	9	6	0	10	0	0	0	0	5	0	6	11	10	16	15	0	0	5	11	0	6	0	13	12	8	11	8	4	5	4	13	0	19	13	16	13	0	12	0	0	7	8	3
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	3	6	3	3	6	9	13	6	4	0	7	0	0	0	3	3	2	5	7	5	11	11	2	3	5	8	2	3	0	9	10	7	7	5	3	3	3	8	3	12	9	9	9	0	9	0	0	4	4	3
GO_CARDIAC_CONDUCTION	0	4	9	7	10	10	15	20	9	4	0	12	2	0	0	0	6	0	7	9	10	15	19	0	8	6	12	0	7	0	15	10	8	14	9	3	3	4	11	0	11	16	19	12	0	16	0	2	9	10	3
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0	2	6	4	5	0	10	12	5	3	0	5	0	0	0	0	4	0	2	6	6	8	10	0	4	5	7	0	3	0	6	6	3	7	5	2	2	2	5	0	5	8	10	7	0	7	0	2	3	5	2
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0	2	5	3	5	0	8	10	4	3	0	5	0	0	0	0	3	0	2	6	5	7	8	0	4	4	6	0	3	0	6	5	2	6	4	0	2	2	3	0	4	7	8	5	0	7	0	2	3	4	2
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0	2	5	4	5	0	9	11	6	3	2	5	0	0	0	0	4	0	3	6	6	8	10	0	4	4	6	0	3	0	7	5	3	7	4	0	2	2	4	0	4	9	10	6	0	7	0	2	3	5	2
GO_CATECHOLAMINE_SECRETION	0	0	0	2	2	3	0	5	0	0	2	4	2	0	3	0	0	0	2	5	0	4	8	2	3	0	0	0	0	0	5	2	0	3	3	0	0	0	0	4	5	0	7	4	3	9	0	0	2	0	0
GO_CATION_CHANNEL_ACTIVITY	7	6	21	21	16	20	37	41	22	10	9	28	0	0	5	7	13	6	14	25	19	33	36	8	17	14	26	0	13	0	26	20	15	27	15	5	10	10	23	9	27	27	36	28	2	27	8	3	13	18	7
GO_CATION_CHANNEL_COMPLEX	4	4	16	17	11	9	24	25	16	6	5	18	0	0	0	5	6	3	8	22	15	21	26	4	12	7	20	0	8	2	17	14	12	22	10	4	8	5	12	6	19	19	26	19	2	18	4	0	7	14	4
GO_CATION_TRANSMEMBRANE_TRANSPORT	8	0	31	26	22	32	47	58	31	12	11	38	5	0	0	12	15	7	18	37	35	44	52	8	19	16	33	7	17	4	38	27	17	40	25	10	16	15	35	10	43	39	52	43	0	39	9	6	20	29	10
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	7	25	22	19	23	41	46	24	10	10	31	0	0	0	7	13	7	14	28	24	38	43	8	17	16	30	0	13	3	31	22	16	30	20	8	11	11	27	9	31	31	43	33	0	29	9	0	16	20	9
GO_CATION_TRANSPORT	10	0	35	30	27	34	54	63	32	14	15	42	6	0	0	14	16	9	20	43	38	47	56	10	22	17	37	0	19	0	43	29	18	43	31	10	16	15	40	12	48	42	57	47	0	44	11	0	22	30	12
GO_CELLULAR_COMPONENT_MORPHOGENESIS	5	9	35	15	18	20	45	44	25	12	17	26	6	7	6	9	14	0	12	31	27	33	32	10	16	0	27	11	14	5	35	17	18	23	28	5	0	14	31	9	30	35	45	27	4	33	7	12	0	20	0
GO_CELL_BODY	6	9	30	16	16	20	38	42	26	9	17	26	5	3	7	11	9	4	15	32	19	36	41	10	19	15	26	9	16	3	33	15	15	30	25	5	12	9	34	12	29	33	40	29	4	35	8	7	20	22	4
