	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY																PDE2A PDE8B	PDE2A PDE8B												PDE2A PDE8B							PDE2A PDE8B								PDE2A PDE8B												PDE2A PDE8B																
GO_9PLUS0_NON_MOTILE_CILIUM			FAM161A MAP1B SSTR3 TTLL6 VCAN													CERKL KIAA1549 MAP1B SSTR3 TTLL6		CERKL FAM161A KIAA1549 USH2A VCAN	FAM161A KIAA1549 TTLL6 VCAN	KIAA1549 SSTR3 TTLL6 USH2A VCAN													CERKL FAM161A KIAA1549 USH2A VCAN	CERKL FAM161A KIAA1549 TTLL6 USH2A VCAN										CERKL KIAA1549 MAP1B TTLL6 USH2A		CERKL KIAA1549 USH2A		FAM161A KIAA1549 TTLL6 USH2A		CERKL TTLL6 USH2A			CERKL FAM161A KIAA1549 MAP1B TTLL6					CERKL FAM161A KIAA1549 MAP1B SSTR3 TTLL6 USH2A VCAN										CERKL FAM161A SSTR3		CERKL FAM161A KIAA1549 TTLL6		
GO_ACETATE_ESTER_TRANSPORT											ADORA2A CHRNA3																																					ADORA2A CHRNA3																								
GO_ACETYLCHOLINE_BINDING					CHRNA3 CHRNB2											CHRNA3 CHRNB2				CHRNA3 CHRNB2																								CHRNA3 CHRNB2																												
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY					CHRNA3 CHRNB2									CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2	CHRNA5 CHRNB2			CHRNA3 CHRNA5 CHRNB2															CHRNA5 CHRNB2									CHRNA3 CHRNA5 CHRNB2														CHRNA5 CHRNB2					CHRNA3 CHRNA5									
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX					CHRNA3 CHRNB2									CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2	CHRNA5 CHRNB2			CHRNA3 CHRNA5 CHRNB2															CHRNA5 CHRNB2									CHRNA3 CHRNA5 CHRNB2														CHRNA5 CHRNB2					CHRNA3 CHRNA5									
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY					CHRNA3 CHRNB2									CHRNA5 CHRNB2		CHRM4 CHRNA3 CHRNA5 CHRNB2	CHRM4 CHRNA5 CHRNB2			CHRNA3 CHRNA5 CHRNB2															CHRM4 CHRNA5 CHRNB2									CHRM4 CHRNA3 CHRNA5 CHRNB2			CHRM4 CHRNB2	CHRM4 CHRNA3										CHRM4 CHRNA5 CHRNB2				CHRM4 CHRNB2	CHRNA3 CHRNA5							CHRM4 CHRNA5		
GO_ACETYLCHOLINE_RECEPTOR_BINDING																												LY6H RIC3					LY6H RIC3			LY6H RIC3	LY6H RIC3										LY6H RIC3									LY6H RIC3																
GO_ACIDIC_AMINO_ACID_TRANSPORT			CPLX1 SNAP25 STX1A															NTRK2 SNAP25 STX1A		CPLX1 STX1A	ADORA2A SNAP25 STX1A								ADORA2A CPLX1 NTRK2 SNAP25		SNAP25 SYT4		CPLX1 SNAP25 STX1A	CPLX1 SNAP25 STX1A		ADORA2A CPLX1 NTRK2 SNAP25 STX1A				CPLX1 NTRK2 SNAP25 STX1A				CPLX1 NTRK2 SNAP25 STX1A		NTRK2 SNAP25	CPLX1 NTRK2 SNAP25	ADORA2A CPLX1 NTRK2 SNAP25		CPLX1 NTRK2	CPLX1 NTRK2					CPLX1 NTRK2 STX1A	ADORA2A CPLX1 NTRK2		ADORA2A CPLX1 NTRK2			ADORA2A CPLX1 NTRK2 STX1A										
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY																			TTLL6 TTLL7	TTLL6 TTLL7	TTLL6 TTLL7										TTLL6 TTLL7			TTLL6 TTLL7	TTLL6 TTLL7	TTLL6 TTLL7								TTLL6 TTLL7			TTLL6 TTLL7						TTLL6 TTLL7			TTLL6 TTLL7			TTLL6 TTLL7											TTLL6 TTLL7		
GO_ACID_SECRETION	CES1 SLC26A7														CES1 GHRL SCT	GHRL SCT SLC26A7 SV2A	GHRL SCT SLC26A7 SV2A				CES1 GHRL																CES1 SLC26A7					SCT SV2A								SLC26A7 SV2A	SLC26A7 SV2A				CES1 SLC26A7	CES1 SCT SV2A						GHRL SCT SV2A		CES1 SCT								
GO_ACID_THIOL_LIGASE_ACTIVITY																ACSL6 ACSS3																			ACSL6 ACSS3									ACSL6 ACSS3																										ACSL6 ACSS3		
GO_ACROSOMAL_VESICLE			ICA1L SPAG8 SV2B TMEM190	KCNJ11 SPAG8 SV2B	KCNJ11 SPAG8 SV2B																														ICA1L KCNJ11 SPAG8 SV2B TMEM190	ICA1L KCNJ11 SPAG8 SV2B TMEM190						KCNJ11 SPAG8 TMEM190														ICA1L SPAG8 SV2B TMEM190														ICA1L KCNJ11 SPAG8 TMEM190		
GO_ACROSOME_REACTION																																										CACNA1H STX2					CACNA1H STX2						CACNA1H STX2																			
GO_ACTININ_BINDING																					ADORA2A CACNA1C								ADORA2A CACNA1C																												ADORA2A CACNA1C		ADORA2A CACNA1C													ADORA2A CACNA1C
GO_ACTIN_BASED_CELL_PROJECTION			CLCA1 EPHA4 JAM3 MAP2 MYO3A NFASC SRCIN1															CLCA1 EPHA4 MYO3A NFASC SRCIN1 USH2A		JAM3 MAP2 NFASC SRCIN1 USH2A									JAM3 MAP2 MYO3A NFASC				CLCA1 EPHA4 JAM3 MAP2 MYO3A SRCIN1 USH2A	CLCA1 EPHA4 JAM3 MAP2 MYO3A NFASC SRCIN1 USH2A		EPHA4 JAM3 MAP2 MYO3A NFASC SRCIN1 USH2A		MAP2 NFASC SRCIN1 USH2A			EPHA4 MAP2 SRCIN1				CLCA1 EPHA4 MYO3A SRCIN1 USH2A					MAP2 NFASC USH2A											CLCA1 EPHA4 MYO3A											
