	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016826566338404847	0.0192392899767746	1	1	1	1	1	1	1	1	1	1	1	0.003113715540454587	1	1	1	1	1	1	0.018419406983963604	1	1	1	1	1	1	1	0.013212715299170563	1	1	1	1	1	1	1	1	1	1	1	0.012777610225508829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	0.03663342728915431	1	1	1	1	1	1	1	1	1	1	1	1	0.08533430111301243	1	0.0376840377040657	0.009147857066945986	0.003070971114031096	1	1	1	1	1	1	1	1	1	1	1	1	0.05838769490624807	0.015316804611303025	1	1	1	1	1	1	1	1	1	0.05567118834959628	1	0.06794718009847878	1	0.06983336253125139	1	0.02761987736472782	1	1	0.03875302241214984	1	1	1	1	0.007752717432877532	1	1	1	1	1	1	1	1	1	0.05620830535115218	1	0.05494338565361756	1	1
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1.8600296587956144e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001820049016013403	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.0042638795674248	1	1	1	1	1	1	1	1	1	1	0.019666189185310046	1	1	1	0.003715735417250343	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01546297115348616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.006462306944561624	1	1	1	1	1	1	1	1	0.010697539303945236	1	0.0022792321230752366	0.033354575335243775	1	1	0.00018379583231853402	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03010011437484983	1	1	1	1	1	1	1	1	0.0015842483747325886	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04177966352724516	1	1	1	1	0.0018697408266431514	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.006462306944561624	1	1	1	1	1	1	1	1	0.010697539303945236	1	0.0022792321230752366	0.033354575335243775	1	1	0.00018379583231853402	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03010011437484983	1	1	1	1	1	1	1	1	0.0015842483747325886	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04177966352724516	1	1	1	1	0.0018697408266431514	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.012073853138758528	1	1	1	1	1	1	1	1	0.019808355885087003	1	0.0004617567764019226	0.0070750501912199	1	1	0.0004899038605794548	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006065638821330266	1	1	1	1	1	1	1	1	0.0002848903039645023	1	1	0.028669204973983287	0.02491815805557529	1	1	1	1	1	1	1	1	1	0.009915785209720807	1	1	1	0.050167701630772776	0.0035431239378624912	1	1	1	1	1	1	0.02138939877143775	1	1
GO_ACETYLCHOLINE_RECEPTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0010658290896584655	1	1	1	1	0.013565478052449786	1	1	0.018419406983963604	0.0004630147018486186	1	1	1	1	1	1	1	1	1	0.008865229727582191	1	1	1	1	1	1	1	1	0.012777610225508829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	0.06791031054390828	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0691738801709828	1	0.09078298570199606	0.05587896441724749	1	1	1	1	1	1	1	0.0015978822684270533	1	0.07132055351098665	1	0.09224189200332211	0.08376706118768207	1	0.008549928837877419	1	1	1	0.01436339108201412	1	1	1	0.021460313875488413	1	0.08413226835678844	0.05473758301970588	0.00829824352417663	1	0.044393703206560775	0.05254930137648306	1	1	1	1	0.08585270088637931	0.05587896441724749	1	0.06357329765822506	1	1	0.029503198576528056	1	1	1	1	1	1	1	1	1	1
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006765389612149342	0.009639143513157311	0.026688024063721505	1	1	1	1	1	1	1	1	1	0.007350522459757425	1	1	0.03658198366575771	0.04981086082937081	0.05280456892311913	1	1	1	1	1	1	1	0.03851340759281674	1	1	0.02626887921857457	1	1	1	1	1	0.031928409089663545	1	1	0.037301666515676235	1	1	0.029478854417453793	1	1	1	1	1	1	1	1	1	1	0.019576195392735918	1	1
GO_ACID_SECRETION	0.0037717876956753216	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000429008953295007	0.005898110066219431	0.007550054789158933	1	1	1	0.09655358857774166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00600536188899492	1	1	1	1	0.02545222729226293	1	1	1	1	1	1	1	0.017556883731170814	0.02095681234508795	1	1	1	0.010373654178901015	0.024859865485421517	1	1	1	1	1	0.033516510993846116	1	0.006697094062783071	1	1	1	1	1	1	1	1
GO_ACID_THIOL_LIGASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09102263938584543	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09340015002647695	1	1	1	1	1	1	1	1	0.07315852681072088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.038175737797103926	1	1
GO_ACROSOMAL_VESICLE	1	1	0.06651454163369286	0.058845240130399934	0.05789476814657979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04833310347707831	0.054174977866798146	1	1	1	1	1	0.02882031187944467	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08855079321285508	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03141628403355978	1	1
GO_ACROSOME_REACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021198549652260423	1	1	1	1	0.08054647431575868	1	1	1	1	1	0.09640907317612024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTININ_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07113763236454052	1	1	1	1	1	1	1	0.026621200499015396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07113763236454052	1	0.07807354377160314	1	1	1	1	1	1	1	1	1	1	1	1	0.0013338490927590207
GO_ACTIN_BASED_CELL_PROJECTION	1	1	0.02745266008255909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07485316390756214	1	0.02056178650579632	1	1	1	1	1	1	1	1	0.07058540743375175	1	1	1	0.04998997841364439	0.015072107351421837	1	0.09778249906132652	1	0.06473213195546434	1	1	0.03820560994708633	1	1	1	0.03193387499843603	1	1	1	1	0.08603937939557937	1	1	1	1	1	1	1	1	1	1	0.011364510224948221	1	1	1	1	1	1	1	1	1	1	1
