	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_ADULT_LOCOMOTORY_BEHAVIOR	0	0	0	0	0	0	3	0	2	0	0	9	4	0	0	4
GO_AXON	11	5	0	16	24	12	7	5	0	5	12	32	16	4	11	10
GO_AXON_DEVELOPMENT	5	0	0	8	15	6	6	0	8	3	4	22	9	0	0	7
GO_BEHAVIOR	7	5	3	6	15	7	10	4	6	0	7	26	14	0	4	8
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GO_CARDIAC_CONDUCTION	2	3	3	5	11	4	0	0	2	6	3	10	6	0	2	7
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	2	0	0	8	2	0	0	2	2	2	5	3	0	0	4
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0	2	0	0	7	2	0	0	2	0	2	4	3	0	0	3
GO_CATION_CHANNEL_ACTIVITY	5	5	5	7	20	5	6	0	3	8	5	21	8	0	0	9
GO_CATION_CHANNEL_COMPLEX	4	4	3	5	11	3	4	0	3	5	5	16	4	0	0	8
GO_CATION_TRANSMEMBRANE_TRANSPORT	10	8	7	12	32	9	5	0	0	8	0	30	11	4	0	14
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	8	6	6	8	23	7	7	0	0	8	5	25	8	0	0	9
GO_CATION_TRANSPORT	12	8	7	12	32	10	8	0	0	8	6	33	13	4	0	15
GO_CELLULAR_COMPONENT_MORPHOGENESIS	9	6	3	8	22	9	9	0	8	6	8	30	12	3	0	10
GO_CELL_BODY	5	0	3	9	23	6	7	3	6	4	7	27	10	4	8	10
GO_CELL_CELL_SIGNALING	16	16	0	17	40	20	11	10	19	12	14	56	28	7	11	21
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	0	2	0	0	6	0	0	0	2	2	0	5	2	0	0	3
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	0	2	0	0	7	2	0	0	2	2	0	6	2	0	0	3
GO_CELL_PART_MORPHOGENESIS	9	6	3	8	20	8	7	0	6	5	8	28	11	3	0	9
GO_CIRCULATORY_SYSTEM_PROCESS	0	5	3	6	17	5	4	0	5	7	5	23	12	7	4	14
GO_DENDRITIC_SHAFT	3	0	0	2	3	0	0	0	0	0	0	6	3	0	0	5
GO_DENDRITIC_TREE	10	7	4	10	24	0	0	3	0	3	7	32	12	0	7	12
GO_DISTAL_AXON	7	4	0	8	11	7	4	0	0	3	8	17	5	0	6	4
GO_EXOCYTIC_VESICLE	5	0	0	6	11	6	0	2	3	3	6	17	7	0	2	0
GO_GATED_CHANNEL_ACTIVITY	5	5	5	7	20	8	6	0	3	8	5	22	9	0	0	9
GO_HORMONE_ACTIVITY	0	0	0	2	6	4	2	0	3	0	2	7	8	4	2	3
GO_HORMONE_TRANSPORT	7	3	2	8	13	4	5	3	6	4	0	17	12	4	0	4
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	9	7	7	11	30	12	5	0	0	8	0	29	10	3	0	11
GO_ION_TRANSMEMBRANE_TRANSPORT	11	9	7	13	38	13	9	0	0	9	0	36	13	4	0	14
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	8	7	7	9	27	10	8	0	0	9	5	29	11	0	0	9
GO_ION_TRANSPORT	14	10	7	13	41	13	11	0	0	9	8	43	17	6	0	15
GO_LOCOMOTORY_BEHAVIOR	5	0	3	0	0	0	6	0	3	0	3	14	6	0	4	4
GO_MEMBRANE_DEPOLARIZATION	2	2	0	0	9	2	0	0	3	4	3	6	5	0	0	4
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	2	2	0	0	7	0	0	0	2	3	0	4	3	0	0	4
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	2	0	0	7	0	0	0	2	2	0	4	2	0	0	3
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	8	5	6	7	18	5	3	0	4	8	5	22	6	0	3	8
GO_METAL_ION_TRANSPORT	10	6	7	10	28	10	5	0	0	8	6	30	11	4	0	13
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	5	5	6	13	5	3	0	0	5	5	20	5	0	0	5
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	7	7	6	9	20	6	0	0	0	5	5	23	6	0	0	6
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0	5	3	5	12	4	0	0	3	7	4	13	9	0	2	7
GO_NEUROGENESIS	16	10	0	20	37	16	10	0	14	8	12	48	26	5	10	14
GO_NEURONAL_DENSE_CORE_VESICLE	0	0	0	0	0	0	0	3	2	2	2	2	0	0	0	0
GO_NEURON_DEVELOPMENT	15	10	4	15	30	12	9	0	12	5	10	38	20	0	8	12
GO_NEURON_DIFFERENTIATION	15	10	4	17	33	13	10	0	14	8	11	42	23	5	9	13
GO_NEURON_PROJECTION	20	13	6	23	42	20	12	7	9	11	17	65	27	5	18	18
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5	5	6	9	23	8	7	0	0	8	5	24	11	0	0	9
GO_PEPTIDE_HORMONE_SECRETION	5	0	0	8	12	4	4	3	6	4	0	13	10	3	2	3
GO_PERIKARYON	0	3	0	4	11	0	0	0	4	0	2	9	5	2	5	0
GO_POSITIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0	0	0	0	0	0	0	0	10	0	0	0	0	11	0	12
GO_POSITIVE_REGULATION_OF_SECRETION	4	0	0	4	8	0	3	2	4	3	4	9	12	4	4	0
GO_POSTSYNAPSE	12	7	0	11	22	10	6	3	0	4	10	27	12	0	5	10
GO_POTASSIUM_CHANNEL_ACTIVITY	4	2	4	5	7	2	2	0	0	3	4	12	3	0	0	3
GO_POTASSIUM_CHANNEL_COMPLEX	4	2	2	3	4	0	3	0	0	0	4	11	2	0	0	3
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4	2	5	6	7	3	2	0	0	3	4	14	3	0	2	3
GO_POTASSIUM_ION_TRANSPORT	6	0	6	8	11	3	0	0	0	3	3	17	4	0	0	3
GO_PRESYNAPSE	12	6	0	14	24	9	4	3	6	5	12	29	11	0	6	6
GO_REGULATION_OF_HEART_RATE	3	2	0	0	10	2	0	0	2	3	3	9	4	3	0	5
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0	2	0	0	7	2	0	0	2	3	2	6	3	0	0	4
GO_REGULATION_OF_HORMONE_LEVELS	9	4	0	10	16	5	6	3	8	5	0	24	14	5	0	0
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	8	4	5	8	22	6	4	0	4	6	0	19	7	4	0	11
GO_REGULATION_OF_ION_TRANSPORT	9	0	5	8	24	6	6	0	0	6	5	23	10	6	0	12
GO_REGULATION_OF_MEMBRANE_POTENTIAL	9	7	6	6	19	9	6	0	5	6	7	24	13	3	0	11
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	3	2	0	3	7	3	6	4	0	0	2	8	3	0	4	0
GO_REGULATION_OF_SECRETION	9	5	0	13	22	9	8	7	8	8	6	28	17	5	8	0
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	3	3	0	4	7	3	2	0	0	2	5	12	7	3	3	10
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	8	5	5	9	25	6	5	0	4	6	0	21	7	4	0	11
GO_REGULATION_OF_TRANSPORT	19	11	7	23	42	12	12	7	11	10	11	51	23	9	10	18
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	8	4	0	9	18	5	7	6	4	4	6	26	13	5	5	12
GO_SIGNAL_RELEASE	9	8	0	12	19	7	8	7	8	6	7	25	17	4	7	6
GO_SOMATODENDRITIC_COMPARTMENT	11	9	5	15	32	7	7	5	7	4	11	45	16	4	11	16
GO_SYNAPSE	19	17	6	23	45	22	11	6	11	12	19	62	26	4	11	17
GO_SYNAPTIC_SIGNALING	11	9	0	12	27	14	10	7	9	9	12	37	18	5	6	14
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	4	3	0	3	7	3	5	5	0	2	4	9	0	0	4	0
GO_SYNAPTIC_VESICLE_LOCALIZATION	2	0	0	7	2	0	0	0	0	0	2	4	2	0	0	0
GO_SYNAPTIC_VESICLE_MEMBRANE	4	0	0	3	7	4	2	2	0	2	0	11	3	0	0	0
GO_TRANSMEMBRANE_TRANSPORT	14	9	8	16	44	13	11	0	0	9	0	44	15	4	0	14
GO_TRANSPORTER_ACTIVITY	10	7	8	12	32	10	8	0	0	9	0	34	14	0	0	9
GO_TRANSPORTER_COMPLEX	4	4	5	7	13	7	7	0	3	5	5	19	7	0	0	8
GO_TRANSPORT_VESICLE	7	0	2	9	16	6	3	4	6	4	6	27	13	0	3	8
GO_TRANSPORT_VESICLE_MEMBRANE	6	0	0	6	11	4	3	3	3	3	0	14	6	0	2	6
GO_T_TUBULE	2	0	2	3	7	0	0	0	0	0	0	4	2	0	0	2
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	6	3	0	7	10	4	6	5	0	2	6	15	5	0	4	0
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	3	2	4	4	10	4	2	0	3	7	4	10	5	0	0	4
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	5	3	5	5	14	4	2	0	3	7	4	13	5	0	0	6
