	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	0.0009723285200066156	1	0.020767545674048593	1	1	3.302692330731105e-07	0.0005571096496800321	1	1	0.00030784344259560115
GO_AXON	1.421537499857184e-05	0.04654674918425439	1	1.5132503028425504e-08	5.442565953472922e-09	4.217826852004336e-06	0.0012770622300496415	0.0017841495319806944	1	0.005763226242318953	3.071081566830003e-08	0.0	1.2582770581026637e-07	0.0038809230984893084	5.000273317623538e-08	0.00043197223921653816
GO_AXON_DEVELOPMENT	0.039047605943663966	1	1	0.002165551040961944	0.0001165990245162174	0.014209142986414403	0.002392211918933018	1	0.00015653130706649865	0.07075073965644552	0.0397749062186894	6.578882388863505e-07	0.0014052030134357185	1	1	0.007843843220887825
GO_BEHAVIOR	0.005412464915567128	0.03762498353177679	0.03431236923840253	0.0488403098547564	0.0004879178240555504	0.007389904426640337	2.8926738215862002e-06	0.009553142995129882	0.008783790781366596	1	0.0006182072435445551	3.074575782857636e-08	2.0065781338729494e-06	1	0.03618752005153392	0.004538971922665058
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	1	1	1	1	1	1	5.705796892740977e-07	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	0.09613805906048711	0.010535350581575731	0.0007017408286285054	0.00047284310388528983	1.232867713474306e-07	0.0022904342575802428	1	1	0.07106612522488176	2.4999218517507416e-07	0.005617452144432988	1.4572960528869139e-05	0.00010296750663074672	1	0.03776132697692991	3.478236494158793e-06
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.028842588577992267	0.02215342727530989	1	1	4.309022565429643e-07	0.03204305748348635	1	1	0.020767545674048593	0.008179520212164393	0.014421282078351139	0.0022685284391847915	0.006419610667603437	1	1	0.00030784344259560115
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	1	0.012757487951336799	1	1	7.757297431076893e-07	0.018606012343667877	1	1	0.011944115823109058	1	0.008241124065023975	0.004888772654118134	0.0028228028145542705	1	1	0.0018102357452561835
GO_CATION_CHANNEL_ACTIVITY	0.006480887340381769	0.003530184150280169	3.945737941968286e-05	0.00063663354493948	5.703326699801892e-12	0.008226827430956374	0.00021631162504076595	1	0.0761511130517043	1.1698690416395152e-07	0.0012803597884125661	9.71374092273436e-10	0.00028323429907783915	1	1	1.3472890152299577e-05
GO_CATION_CHANNEL_COMPLEX	0.007725260977716086	0.004675508662823735	0.002222660107566554	0.0028050362089429015	6.47335903658508e-06	0.04981479483017448	0.0025628717103881593	1	0.027648626795101716	4.643551761485121e-05	0.00019623221021403126	1.4714240270663481e-08	0.025473708103877057	1	1	4.957879087941208e-06
