	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0475365513227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYL_NUCLEOTIDE_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	0.102596442779	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0173549777462	1	1	0.00144965130899	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0707920890283	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	1	0.0	1	0.98319299618	1	0.0	0.0	0.315852438047	0.0	1	1	1	1	1	0.0	0.0860504372968	0.0	0.0	1	0.061143851792	1	0.0136480635781	1	0.0	1	0.796568351685	0.00156840757684	1	0.0	1	0.0	0.0	1	0.0	0.0294848626308	1	1	1	1
GO_AXON_DEVELOPMENT	1	1	0.294448186705	1	1	1	0.00254173131918	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994101751287	1	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	0.0476697670655	1	0.68960769408	1	0.0901694632831	1	1	1	1	1	1	1	1	0.0392986923423	1	1	1	1	1	0.0091718963521	1	1	0.000443862590271	1	1	1	0.038019500595	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.791970680233	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0622299453723	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.0528963166731	1	1	1	1	1	1	1	0.250088008548	0.0	1	1	1	1	1	0.0439423559789	0.159456765331	1	0.0376287957709	1	1	1	1	0.00238121694153	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.331562198913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.291348987077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.217831492608	0.0	1	0.0523968794732	0.0	4.19455876255e-06	0.0312407786713	0.0	1	1	1	1	1	0.00040088336005	1	0.0	0.0	1	0.000914789119955	1	2.28754005922e-05	1	0.0	0.0	1	5.61194496762e-06	1	0.000404321299211	1	0.000345942052826	0.0	0.160720298581	1.96279155749e-05	0.0129722699415	1	1	0.183178696442	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	4.78079467214e-05	1	1	0.000192255062054	0.0160580352989	0.282338323129	0.0001640129503	1	1	1	1	1	7.62474230001e-05	1	0.0036698936378	0.0	1	0.327561135548	1	0.000505321546437	1	0.122487653017	0.00101759189327	1	1.26524723798e-06	1	1	1	0.0485663836698	0.000554761392056	1	0.000181856555881	0.325872731063	1	1	1	1
