	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	0.0008988922358366125	0.011194839239870746	0.0038373689163838653	3.103018877581576e-05	1	1.165796707169875e-06	0.008172001338723867	0.0021756764242186755	0.0005659355249001408	1	1	0.000448272553532969	1	0.09190627881990254	0.0031448035434044064	1	0.00016124637594416846	3.827354877472544e-08	1	0.002288741977570785	0.00273213358959834	6.278667496240065e-05	0.0032528208207835974	5.172760829541545e-05	7.598407863351753e-06	1	1.0153396832746076e-05	1	0.00847167209175026	0.012822436762222278	0.0010506987811917945	0.000376972971514955	2.013285541968557e-05	0.00025999717595326377	0.0010506987811917945	0.07696780873473696	1	0.02041739451338964	1
GO_ADENYL_NUCLEOTIDE_BINDING	1	1	1	0.0017642425099737569	0.02046586775899306	0.004944078944635777	0.025201978859012986	0.0058772964476252465	0.06698172918210377	0.0023449674813292853	1	1	8.261235007189782e-08	1	1	0.023937186194335713	0.00546599823142091	0.07598677757930916	0.029247231032695553	1	0.006548577436119363	0.0017864236634924646	0.006442345934218774	1	0.004465905631334421	0.09539463516211233	1	0.03442880967178086	0.029689334722001304	0.0076762302451273134	1	0.029937944757575052	2.788993875668666e-05	0.008982593278268225	0.0654396242450499	0.029937944757575052	1	1	1	0.00012134149513709502
GO_ADULT_BEHAVIOR	1.0282474589895507e-05	0.06795320727163767	0.04459286061843781	1	0.01188406640340589	1.1337589895576983e-05	1.078679299548746e-06	3.348060337615699e-05	0.0003607298701745476	1.541980044539315e-06	1	1	0.025600918975399956	1	0.014122676823365321	0.00012559758384123043	1	0.003482552635427294	1.104596635026489e-05	0.0004364555603484366	0.013225554332508938	1	0.0003419585255223234	1	1.3971915846511251e-08	0.0004971102586237564	6.336820164642987e-05	1.1668443988810395e-09	2.832126323881745e-05	1.0235652293189013e-05	0.012574915528459685	3.967291648421245e-06	0.0003607298701745476	1	0.001538736895537185	2.8258519417678762e-05	0.001115229280900687	0.025602517777257194	2.4201757665709422e-05	0.049846747414599824
GO_ADULT_LOCOMOTORY_BEHAVIOR	0.011104594911907961	1	0.006101112943137865	1	1	0.0008058349387412012	0.005373247479549703	0.004642476005886076	0.03550306957925087	0.0001216780473458634	1	1	0.04707244622364248	1	0.03123027907793008	0.0006044066878526655	1	0.09117412851594486	0.0011645091239734784	1	0.08879716002571225	1	0.00035955284784960906	1	3.73345066484454e-06	0.01731014234636985	0.006238296190754222	5.700066429970008e-08	0.004273683440597642	0.0003839019452893666	1	0.00021571435797718141	0.005876233679220522	1	0.030407199275286567	0.010673540606222387	1	1	0.0038831704689297197	0.07503427354350567
GO_AXON	0.0022378379949005156	0.01465920149093125	0.0	1.3910699846464425e-06	7.91933845167847e-07	5.7176172539530334e-05	0.0	0.0	2.5436380390875257e-07	0.0	2.856872498013807e-05	0.00017797546945241827	0.0001799348066346962	1	2.1687821738058943e-05	0.0	6.92877826224958e-08	0.0	0.0	0.00022844547699363282	4.92311057476158e-08	0.00035405477305350264	1.0987425524966454e-08	0.0020838233892416236	0.0	9.895939356852068e-07	6.415856410590948e-07	1.2624380429926418e-09	0.0005530826730729688	0.0	2.2578079941215634e-06	0.0	0.0	2.5942650601074035e-05	0.0	2.373835328306484e-08	4.7424092969761134e-05	0.0009566383884305196	0.00035405477305350264	7.297548282991784e-06
GO_AXON_DEVELOPMENT	0.025648284001086097	1	2.3712394681130178e-07	0.03597703488455728	0.0022538889423331376	0.02827495828678206	2.045945524109527e-09	6.031415011209518e-06	0.005246675529736455	3.537071959647253e-05	1	0.08676907980201243	0.0031151872138526215	1	0.003325024440363533	5.0908337660970915e-06	8.443122446599727e-05	0.009134997656639277	0.0007700425211232265	0.011810126913748609	0.002844012892871728	1	1.0066106983508405e-06	0.0849064845848092	2.4935207182386065e-06	0.015402397012179603	0.01665439752209974	2.3840791680718176e-05	0.0025307194475830963	4.5058625687266485e-06	0.039047605943663966	8.007218254002524e-07	1.4706147413279247e-05	0.004799164594280647	9.62222311360339e-05	0.003188507800414686	1	0.015073881433774083	0.07230840216609824	1
GO_BEHAVIOR	4.027197033185104e-06	1	0.015404785062635207	0.061432778302472735	0.016436788580366235	3.838086781726702e-08	0.0003428382027262922	5.55422594139543e-07	2.28336022405351e-05	7.260471324155304e-08	0.01087381709813362	0.002939041207864035	0.021998858207497918	0.04544049750709955	0.006852146851401342	4.178100178053867e-06	1	2.0086509425309984e-05	3.164036377345525e-08	0.0001524908310380768	0.007207608668959531	0.00022089646680978348	8.52813488626536e-05	1	7.383584743614335e-09	1.9714412203830634e-06	1.7671989649414854e-06	3.572524498451912e-10	0.0009293710316711223	0.0001010077302917578	0.0012805686884260759	3.0610331158698045e-08	1.6148714089281313e-06	0.06611657587301223	0.00040705868025303626	6.553109357043674e-06	0.015113030019992979	9.157824895145161e-05	0.003908181290453117	7.309670492749998e-05
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0.028468838257717177	0.07327601709613052	0.03289229129151361	1	1	6.075322009879702e-05	0.007700389016593201	0.0001233834339530171	1	0.00508212778027084	1	1	0.056475209255257175	1	0.02805435724338945	0.004322967313274084	0.061314500144606265	0.0017756624192859505	0.001394907442029636	1	1	0.04245529635385181	0.0020415239975598576	0.04918843525029459	0.0001312054196588308	3.0075758842285083e-06	1	0.001185229641367358	0.02035707115070684	0.0001899191361374175	0.09789844628623945	6.378809649376649e-07	0.00022219016530067304	0.015551237436206677	0.007543502501708987	0.009853136937720608	1	1	0.002010984108120839	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.00288693710106791	0.008421804662173127	0.009943366496509953	1	1	0.0009082356876631836	0.004124109636403639	0.0002095272458177977	0.040325319992137065	0.0004744914243047793	1	0.0672977050574739	1	0.035977839751341056	0.013311912317358066	0.0026687244101342156	1	0.0006701079187524384	5.199367974129121e-05	0.04730505673562513	0.05995560056371574	0.0024565226837121035	0.0002943943169584351	1	4.1074007873453944e-05	5.010579584574515e-08	1	0.00226016860685041	0.0304309690035951	0.0003197674810475615	0.011849025709729899	3.250018645983843e-06	4.604416809583789e-05	0.0008918483698788782	0.00021706247214325902	0.0008843466749154372	1	1	0.018903911813253238	1
GO_CARDIAC_CONDUCTION	1	0.07766669817057614	0.0006117001770389319	0.004917606046741629	4.853730854803562e-05	0.001414404682035686	2.4453146245662083e-06	7.726291398779672e-06	0.014171673560731235	4.258966124215391e-08	0.019423318129820233	1	0.0006165499188555135	1	0.002176003423895012	0.001083701883742183	0.010603893463260405	2.0139607637137402e-07	0.0	1	5.94157457978195e-05	0.003512498483301041	2.743236837021712e-06	4.91423433878202e-05	3.537946424714278e-08	1.2840332097585616e-07	1	3.0295717379225096e-08	0.0019645244528593286	3.0892192330878032e-06	1	5.1874191732581565e-05	1.9167315512547134e-09	4.089483632729873e-06	8.095036864386174e-06	7.901622682604525e-06	0.08675227204185709	1	2.9504455746343083e-06	0.06008068563627822
