TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ARX	AB074188	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
LMX1A	AB074188	0.99942	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
LMX1A	ABCC4	0.0067328	14	0	rgb(217,217,217)	1.2601	None
LMX1B	ABCC4	-0.77204	49.63	-0.63	rgb( 80,133,241)	1.9728	None
ARX	ABCC8	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1A	ABCC8	0.59071	46.13	0.134	rgb(218,191,192)	1.9028	None
LMX1B	ABCC8	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1A	ABLIM2	0.40677	37.68	0.679	rgb(224, 87, 89)	1.7337	None
LMX1B	ABLIM2	0.63143	47.28	0.284	rgb(220,163,163)	1.9258	None
ARX	ACSL6	0.84866	50.51	0.51	rgb(223,120,121)	1.9904	None
LMX1A	ACSL6	0.38166	37.63	0.63	rgb(224, 97, 98)	1.7327	None
LMX1B	ACSL6	-0.47497	42.08	-0.48	rgb(113,154,235)	1.8218	None
ARX	ACTL6B	-0.78872	50.2	-0.42	rgb(125,161,233)	1.9842	None
LMX1A	ACTL6B	0.80281	50.33	0.538	rgb(223,114,115)	1.9868	None
LMX1B	ACTL6B	0.94403	50.71	0.709	rgb(225, 81, 83)	1.9944	None
ARX	ADAMTSL1	0.44874	40.59	0.589	rgb(223,105,106)	1.792	None
LMX1A	ADAMTSL1	0.87641	50.56	0.558	rgb(223,110,112)	1.9914	None
LMX1B	ADAMTSL1	-0.83474	50.47	-0.75	rgb( 53,117,246)	1.9896	None
ARX	ADCY1	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1B	ADCY1	0.71016	48.5	0.857	rgb(226, 53, 55)	1.9502	None
LMX1A	ADCY2	0.98637	50.85	0.847	rgb(226, 55, 57)	1.9972	None
LMX1B	ADCY2	-0.4627	40.32	-0.44	rgb(121,158,234)	1.7866	None
ARX	ADH6	-0.47332	41.72	-0.72	rgb( 61,122,244)	1.8146	None
LMX1B	ADH6	-0.88385	50.61	-0.61	rgb( 85,137,240)	1.9924	None
LMX1A	AIF1	0.19533	25	0	rgb(217,217,217)	1.4801	None
LMX1B	AIF1	0.28724	31	0	rgb(217,217,217)	1.6001	None
ARX	AK054990	0.66126	47.59	0.591	rgb(224,104,105)	1.932	2,2
LMX1A	AK054990	0.88141	50.57	0.57	rgb(223,108,109)	1.9916	2,2
ARX	AKT3	-0.70781	48.48	-0.48	rgb(112,153,235)	1.9498	None
LMX1A	AKT3	0.30343	32	0	rgb(217,217,217)	1.6201	None
LMX1B	AKT3	0.23296	29	0	rgb(217,217,217)	1.5601	None
ARX	AL109792	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
LMX1A	AL109792	0.53032	44.16	0.163	rgb(219,186,186)	1.8634	2,2
ARX	ALAS2	-0.54973	43.44	-0.44	rgb(121,159,234)	1.849	None
LMX1A	ALAS2	0.035399	15	0	rgb(217,217,217)	1.2801	None
LMX1B	ALAS2	0.93656	50.69	0.692	rgb(225, 85, 86)	1.994	None
LMX1A	ANK2	0.71974	48.63	0.631	rgb(224, 97, 98)	1.9528	None
LMX1B	ANK2	0.035399	15	0	rgb(217,217,217)	1.2801	None
ARX	AP3B2	0.35746	36.36	0.364	rgb(221,147,148)	1.7073	None
LMX1B	AP3B2	0.21045	26	0	rgb(217,217,217)	1.5001	None
ARX	APLP1	0.61223	46.48	0.478	rgb(222,126,127)	1.9098	None
LMX1A	APLP1	0.060595	16	0	rgb(217,217,217)	1.3001	None
ARX	ARHGAP24	-0.39876	37.35	-0.35	rgb(141,171,230)	1.7271	None
LMX1A	ARHGAP24	0.24796	30	0	rgb(217,217,217)	1.5801	None
LMX1B	ARHGAP24	0.27096	30	0	rgb(217,217,217)	1.5801	None
