TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ATOH8	AB007962	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ATOH8	ADORA2A	0.89938	50.65	0.647	rgb(224, 93, 95)	1.9932	2,2
ATOH8	AK056490	0.95799	50.79	0.79	rgb(226, 66, 68)	1.996	2,2
ATOH8	AK091593	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	AK092251	0.46658	40.42	0.421	rgb(222,137,137)	1.7886	2,2
ATOH8	AK125333	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ATOH8	AK311257	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
ATOH8	AX747090	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ATOH8	BAI1	0.92396	50.7	0.702	rgb(225, 83, 84)	1.9942	2,2
ATOH8	BAI2	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
ATOH8	BC042825	0.66039	47.58	0.584	rgb(223,105,107)	1.9318	2,2
ATOH8	BC107568	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ATOH8	BX647938	0.57621	45.31	0.436	rgb(222,134,135)	1.8864	2,2
ATOH8	C10orf10	0.79277	50.19	0.19	rgb(219,181,181)	1.984	2,2
ATOH8	C1orf173	0.61396	45.71	0.712	rgb(225, 81, 82)	1.8944	2,2
ATOH8	CGREF1	0.45808	40.22	0.225	rgb(219,174,175)	1.7846	2,2
ATOH8	ELFN1	0.58666	44.93	0.93	rgb(227, 39, 41)	1.8788	2,2
ATOH8	FAM65C	0.75436	49.53	0.703	rgb(225, 83, 84)	1.9708	2,2
ATOH8	FLJ35024	0.51413	43.34	0.342	rgb(221,152,152)	1.847	2,2
ATOH8	G0S2	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	KIT	0.92197	50.7	0.704	rgb(225, 83, 84)	1.9942	2,2
ATOH8	LOC400891	0.95799	50.79	0.788	rgb(226, 67, 68)	1.996	2,2
ATOH8	LOC441204	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ATOH8	LY6H	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
ATOH8	NEURL	0.94217	50.75	0.747	rgb(225, 74, 76)	1.9952	2,2
ATOH8	NEUROG3	0.96799	50.82	0.82	rgb(226, 60, 62)	1.9966	2,2
ATOH8	PAX4	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ATOH8	PODN	0.5242	42.51	0.515	rgb(223,119,120)	1.8304	2,2
ATOH8	RAB39B	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ATOH8	TMEM59L	0.81219	50.38	0.376	rgb(221,145,146)	1.9878	2,2
ATOH8	TRO	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ATOH8	TUBB4A	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
