TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CBX2	AB007962	0.75436	49.53	0.533	rgb(223,115,116)	1.9708	2,2
CBX2	AK056486	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CBX2	AK094786	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
CBX2	AK095045	0.82553	50.43	0.537	rgb(223,114,116)	1.9888	2,2
CBX2	AK125727	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CBX2	AK128153	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
CBX2	AK311213	0.64139	47.38	0.381	rgb(221,144,145)	1.9278	2,2
CBX2	AK311257	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
CBX2	ARHGAP33	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
CBX2	AX747090	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CBX2	AX747755	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
CBX2	BC020343	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
CBX2	C7orf41	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
CBX2	CA8	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CBX2	FAM65C	0.40107	37.41	0.406	rgb(221,139,140)	1.7283	2,2
CBX2	KNDC1	0.37699	37.38	0.375	rgb(221,145,146)	1.7277	2,2
CBX2	LRP1B	-0.40582	37.6	-0.6	rgb( 88,138,240)	1.7321	2,2
CBX2	LRRC16B	0.45832	40.23	0.234	rgb(220,172,173)	1.7848	2,2
CBX2	MAPK8IP2	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
CBX2	NPTX2	0.98827	50.86	0.857	rgb(226, 53, 55)	1.9974	2,2
CBX2	PTCHD2	0.67794	47.63	0.627	rgb(224, 97, 98)	1.9328	2,2
CBX2	RIC3	0.75613	49.54	0.539	rgb(223,114,115)	1.971	2,2
CBX2	SEPT3	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CBX2	TRAM1L1	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
