TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CSRNP3	ACTG1P4	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ZNF117	ACTG1P4	0.3442	34.43	0.433	rgb(222,134,135)	1.6687	2,2
ZNF514	ACTG1P4	0.46501	41.38	0.376	rgb(221,145,146)	1.8078	2,2
ZNF117	ADAM20P1	0.64102	46.58	0.582	rgb(223,106,107)	1.9118	2,2
ZNF514	ADAM20P1	-0.40884	38.07	-0.071	rgb(202,208,220)	1.7415	2,2
CSRNP3	AFF2	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
ZNF117	AFF2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CSRNP3	AK056486	0.59157	46.15	0.153	rgb(219,188,188)	1.9032	2,2
ZNF514	AK056486	0.77637	49.71	0.705	rgb(225, 82, 84)	1.9744	2,2
ZNF117	AK057596	0.49162	41.41	0.412	rgb(222,138,139)	1.8084	2,2
ZNF514	AK057596	0.65147	47.19	0.191	rgb(219,181,181)	1.924	2,2
ZNF117	AK123332	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ZNF514	AK123332	0.90669	50.66	0.663	rgb(224, 90, 92)	1.9934	2,2
ZNF117	AK125301	0.85663	50.54	0.54	rgb(223,114,115)	1.991	2,2
ZNF514	AK125301	0.82292	50.42	0.422	rgb(222,136,137)	1.9886	2,2
CSRNP3	AK128563	0.74523	49.45	0.453	rgb(222,130,131)	1.9692	2,2
ZNF117	AK128563	0.46208	40.3	0.295	rgb(220,161,161)	1.7862	2,2
ZNF514	AK128563	0.93437	50.73	0.785	rgb(226, 67, 69)	1.9948	2,2
CSRNP3	AK302511	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ZNF514	AK302511	0.64568	46.71	0.709	rgb(225, 82, 83)	1.9144	2,2
ZNF117	AK311213	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
ZNF514	AK311213	0.98459	50.84	0.836	rgb(226, 57, 59)	1.997	2,2
CSRNP3	AX747090	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
ZNF514	AX747090	0.48021	42.23	0.234	rgb(220,172,173)	1.8248	2,2
ZNF117	AX747175	0.3701	36.13	0.134	rgb(218,191,192)	1.7027	2,2
ZNF514	AX747175	0.65923	47.35	0.351	rgb(221,150,151)	1.9272	2,2
CSRNP3	AX747755	-0.34436	36	-0.0025	rgb(216,217,217)	1.7001	2,2
ZNF514	AX747755	0.86254	50.53	0.532	rgb(223,115,116)	1.9908	2,2
ZNF117	BC073817	0.56997	45.32	0.319	rgb(221,156,157)	1.8866	2,2
ZNF514	BC073817	0.65456	47.52	0.52	rgb(223,118,119)	1.9306	2,2
CSRNP3	CACNB2	0.44391	40.42	0.415	rgb(222,138,138)	1.7886	2,2
ZNF514	CACNB2	0.5309	44.17	0.166	rgb(219,185,186)	1.8636	2,2
ZNF117	DQ586822	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
ZNF514	DQ586822	0.69711	48.36	0.557	rgb(223,111,112)	1.9474	2,2
CSRNP3	FOXD4L5	0.60814	45.54	0.541	rgb(223,114,115)	1.891	2,2
ZNF117	FOXD4L5	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
CSRNP3	GOLGA6L4	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
ZNF117	GOLGA6L4	0.65064	47.48	0.48	rgb(222,125,126)	1.9298	2,2
ZNF117	GOLGA6L5	0.69876	48.49	0.493	rgb(222,123,124)	1.95	2,2
ZNF514	GOLGA6L5	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	LHFPL4	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ZNF117	LHFPL4	0.66278	47.61	0.611	rgb(224,100,102)	1.9324	2,2
CSRNP3	LOC100132215	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF117	LOC100132215	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
ZNF514	LOC100132215	0.62086	46.71	0.71	rgb(225, 81, 83)	1.9144	2,2
CSRNP3	LOC100996634	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZNF514	LOC100996634	0.66914	47.75	0.745	rgb(225, 75, 76)	1.9352	2,2
CSRNP3	LOC202181	0.76258	49.58	0.577	rgb(223,107,108)	1.9718	2,2
ZNF117	LOC202181	0.81033	50.37	0.368	rgb(221,147,148)	1.9876	2,2
ZNF514	LOC202181	0.52569	43.2	0.546	rgb(223,113,114)	1.8442	2,2
CSRNP3	LOC399744	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
ZNF514	LOC399744	0.87476	50.59	0.592	rgb(224,104,105)	1.992	2,2
ZNF117	MAGED4	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF514	MAGED4	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
CSRNP3	ONECUT1	0.42689	40.04	0.042	rgb(217,209,209)	1.781	2,2
ZNF514	ONECUT1	0.65064	47.48	0.481	rgb(222,125,126)	1.9298	2,2
CSRNP3	WBSCR27	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF117	WBSCR27	-0.93656	50.69	-0.69	rgb( 67,126,243)	1.994	2,2
