TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
DACH1	ARHGEF25	0.95374	50.78	0.78	rgb(226, 68, 70)	1.9958	2,2
GRHL3	ARHGEF25	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
DACH1	C10orf10	0.98344	50.88	0.884	rgb(227, 48, 50)	1.9978	2,2
GRHL3	C10orf10	0.86456	50.56	0.563	rgb(223,109,111)	1.9914	2,2
DACH1	CA8	0.99913	50.98	0.976	rgb(228, 31, 33)	1.9998	2,2
GRHL3	CA8	0.67675	47.6	0.603	rgb(224,102,103)	1.9322	2,2
DACH1	CCDC154	0.94601	50.76	0.764	rgb(225, 71, 73)	1.9954	2,2
GRHL3	CCDC154	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
DACH1	FAM105A	0.95374	50.78	0.783	rgb(226, 67, 69)	1.9958	2,2
GRHL3	FAM105A	0.92197	50.7	0.701	rgb(225, 83, 85)	1.9942	2,2
DACH1	NEURL	0.8071	50.34	0.338	rgb(221,152,153)	1.987	2,2
GRHL3	NEURL	0.83474	50.47	0.508	rgb(223,120,121)	1.9896	2,2
DACH1	NPTX2	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
GRHL3	NPTX2	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
DACH1	TMEM35	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
GRHL3	TMEM35	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
