TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXP2	ABLIM2	-0.72582	48.76	-0.76	rgb( 53,117,246)	1.9554	None
FOXP2	ADAM12	0.38364	38.06	0.055	rgb(218,206,207)	1.7413	None
FOXP2	ADCY1	-0.39104	37.13	-0.13	rgb(189,200,222)	1.7227	None
FOXP2	ADCY5	-0.46208	40.3	-0.3	rgb(153,178,228)	1.7862	None
FOXP2	ADH6	0.73466	49.37	0.37	rgb(221,146,147)	1.9676	None
FOXP2	AFF2	0.51413	43.34	0.336	rgb(221,153,153)	1.847	2,2
FOXP2	AIF1	0.58538	44.7	0.7	rgb(225, 83, 85)	1.8742	None
FOXP2	AK022997	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
FOXP2	AK125727	-0.74717	49.4	-0.4	rgb(130,164,232)	1.9682	2,2
FOXP2	AK311497	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
FOXP2	AK5	0.66126	47.59	0.592	rgb(224,104,105)	1.932	None
FOXP2	ARNT2	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXP2	ASXL3	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	ATOH8	-0.86679	50.54	-0.54	rgb(101,146,237)	1.991	None
FOXP2	AX746771	-0.93036	50.72	-0.72	rgb( 61,122,244)	1.9946	2,2
FOXP2	AX747755	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
FOXP2	BAIAP3	0.48674	42.32	0.323	rgb(221,155,156)	1.8266	None
FOXP2	BASP1	0.50987	43.27	0.269	rgb(220,166,166)	1.8456	None
FOXP2	BC107568	-0.43924	39.34	-0.34	rgb(143,172,230)	1.767	2,2
FOXP2	C6orf185	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
FOXP2	C7orf41	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXP2	CA8	0.87641	50.56	0.565	rgb(223,109,110)	1.9914	2,2
FOXP2	CADPS	0.5487	44.46	0.457	rgb(222,130,131)	1.8694	None
FOXP2	CAND2	0.068278	17	0	rgb(217,217,217)	1.3201	None
FOXP2	CCDC154	0.72032	49.15	0.153	rgb(219,188,188)	1.9632	2,2
FOXP2	CELSR2	0.18104	25	0	rgb(217,217,217)	1.4801	None
FOXP2	CGREF1	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	CHRNA3	-0.36113	35.4	-0.4	rgb(130,164,232)	1.6881	2,2
FOXP2	CHRNA5	-0.68389	48.1	-0.43	rgb(124,160,233)	1.9422	None
FOXP2	CHRNB2	-0.59888	46	-0.36	rgb(138,169,231)	1.9002	None
FOXP2	CLCA4	-0.95147	50.73	-0.73	rgb( 59,121,245)	1.9948	None
FOXP2	CNGA3	0.57831	44.48	0.488	rgb(222,124,125)	1.8698	None
FOXP2	COL12A1	0.60702	46.4	0.398	rgb(221,141,142)	1.9082	None
FOXP2	COL6A4P2	-0.84866	50.51	-0.51	rgb(107,150,236)	1.9904	None
FOXP2	CPLX1	0.68563	48.35	0.348	rgb(221,151,151)	1.9472	None
FOXP2	CRMP1	0.78843	50.1	0.097	rgb(218,199,199)	1.9822	None
FOXP2	CSH1	0.98996	50.87	0.875	rgb(227, 50, 52)	1.9976	None
FOXP2	CSH2	0.71599	48.78	0.779	rgb(226, 68, 70)	1.9558	2,2
FOXP2	CYP27C1	-0.9722	50.79	-0.79	rgb( 45,112,247)	1.996	None
FOXP2	DACH1	0.87641	50.56	0.56	rgb(223,110,111)	1.9914	None
FOXP2	DGKB	0.21045	26	0	rgb(217,217,217)	1.5001	None
FOXP2	DNAH11	0.5957	46.24	0.241	rgb(220,171,171)	1.905	None
FOXP2	DNAJC12	0.13057	21	0	rgb(217,217,217)	1.4001	None
FOXP2	DOCK8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
FOXP2	DPP10	0.84337	50.48	0.476	rgb(222,126,127)	1.9898	None
FOXP2	DPY19L2	-0.79017	50.15	-0.15	rgb(184,197,223)	1.9832	None
FOXP2	DQ583756	0.69773	48.48	0.483	rgb(222,125,126)	1.9498	2,2
FOXP2	DTX1	0.11582	20	0	rgb(217,217,217)	1.3801	None
FOXP2	DTX3	-0.36778	36.01	-0.012	rgb(214,215,217)	1.7003	2,2
FOXP2	EML5	-0.85828	50.52	-0.52	rgb(105,149,237)	1.9906	None
FOXP2	EPM2A	-0.64102	46.58	-0.58	rgb( 91,140,239)	1.9118	None
FOXP2	EVL	-0.48542	41.29	-0.29	rgb(153,178,228)	1.806	None
FOXP2	EYA4	0.84337	50.48	0.478	rgb(222,126,127)	1.9898	None
FOXP2	FAM105A	0.9278	50.67	0.671	rgb(224, 89, 90)	1.9936	2,2
FOXP2	FAM135B	0.0067328	14	0	rgb(217,217,217)	1.2601	None
FOXP2	FAM167A	0.1881	26	0	rgb(217,217,217)	1.5001	None
FOXP2	FAM171B	-0.35432	35.22	-0.22	rgb(168,187,226)	1.6845	None
FOXP2	FAM227A	0.17332	24	0	rgb(217,217,217)	1.4601	None
FOXP2	FAT3	0.016605	14	0	rgb(217,217,217)	1.2601	None
FOXP2	FAXC	0.95568	50.74	0.736	rgb(225, 76, 78)	1.995	None
FOXP2	FIGNL2	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXP2	FLJ22184	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
FOXP2	FSTL5	0.42747	40.08	0.083	rgb(218,201,201)	1.7818	None
FOXP2	FTCD	-0.65609	47.29	-0.29	rgb(154,179,228)	1.926	None
FOXP2	GABBR2	0.85828	50.52	0.517	rgb(223,118,119)	1.9906	None
FOXP2	GCK	0.62363	47.12	0.117	rgb(218,195,195)	1.9226	None
FOXP2	GFRA1	0.83994	50.47	0.472	rgb(222,127,128)	1.9896	None
FOXP2	GIP	-0.99281	50.89	-0.89	rgb( 24,100,251)	1.998	None
FOXP2	GNG2	0.4195	39.41	0.407	rgb(221,139,140)	1.7684	None
FOXP2	GPR142	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXP2	GRB14	-0.66336	47.41	-0.41	rgb(128,163,233)	1.9284	None
FOXP2	H1FX-AS1	-0.63804	46.5	-0.5	rgb(109,151,236)	1.9102	None
FOXP2	HECW2	-0.47472	42.07	-0.067	rgb(202,208,220)	1.8216	None
FOXP2	HLF	-0.59814	46.28	-0.28	rgb(157,180,228)	1.9058	None
FOXP2	HOPX	-0.77658	49.73	-0.73	rgb( 58,121,245)	1.9748	None
FOXP2	HSPA6	0.18104	25	0	rgb(217,217,217)	1.4801	None
FOXP2	IGFBPL1	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
FOXP2	INA	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
FOXP2	ITPR1	0.0067328	14	0	rgb(217,217,217)	1.2601	None
FOXP2	JAM3	0.80033	50.32	0.317	rgb(220,156,157)	1.9866	None
FOXP2	KCNC1	-0.6905	48.4	-0.4	rgb(131,165,232)	1.9482	None
FOXP2	KCNE4	-0.57051	45.33	-0.33	rgb(145,173,230)	1.8868	None
FOXP2	KCNH7	0.81908	50.4	0.403	rgb(221,140,141)	1.9882	None
FOXP2	KCTD16	0.21727	28	0	rgb(217,217,217)	1.5401	None
FOXP2	KIAA1324	-0.75147	49.44	-0.44	rgb(121,158,234)	1.969	None
FOXP2	KIAA1549	0.35312	36.25	0.246	rgb(220,170,171)	1.7051	None
FOXP2	KRT4	0.27096	30	0	rgb(217,217,217)	1.5801	None
FOXP2	KSR2	0.729	49.31	0.312	rgb(220,157,158)	1.9664	None
FOXP2	LGR6	0.31941	33	0	rgb(217,217,217)	1.6401	None
FOXP2	LIMCH1	-0.78236	49.81	-0.81	rgb( 41,110,248)	1.9764	None
FOXP2	LINC00261	0.14469	23	0	rgb(217,217,217)	1.4401	None
