TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MAFB	AADAT	-0.3689	37.2	-0.2	rgb(174,191,225)	1.7241	None
MAFB	AB074188	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
MAFA	ABCC4	-0.63589	46.47	-0.47	rgb(114,154,235)	1.9096	None
MAFB	ABCC4	0.56059	44.08	0.08	rgb(218,202,202)	1.8618	None
GATA2	ABCC8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
GATA2	ABLIM2	0.90434	50.62	0.622	rgb(224, 98, 99)	1.9926	None
MAFA	ABLIM2	-0.61553	46.54	-0.54	rgb(101,146,237)	1.911	None
GATA2	ACSL6	0.60487	46.37	0.366	rgb(221,147,148)	1.9076	None
MAFA	ACSL6	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFA	ACSS3	0.092482	18	0	rgb(217,217,217)	1.3401	None
MAFA	ACTL6B	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFB	ACTL6B	0.38294	38.01	0.008	rgb(217,216,216)	1.7403	None
MAFA	ADAM12	0.43362	39.2	0.205	rgb(219,178,178)	1.7642	None
MAFB	ADAM12	0.32805	35	0	rgb(217,217,217)	1.6801	None
GATA2	ADAMTS2	0.69434	48.44	0.437	rgb(222,133,134)	1.949	2,2
MAFA	ADAMTSL1	0.91322	50.68	0.685	rgb(225, 86, 88)	1.9938	None
MAFA	ADAMTSL2	0.69979	48.5	0.505	rgb(223,121,122)	1.9502	None
MAFB	ADAMTSL2	0.027303	15	0	rgb(217,217,217)	1.2801	None
GATA2	ADCY1	0.55465	43.55	0.553	rgb(223,111,113)	1.8512	None
MAFA	ADCY1	0.15118	22	0	rgb(217,217,217)	1.4201	None
MAFB	ADCY1	0.55597	44.62	0.62	rgb(224, 99,100)	1.8726	None
GATA2	ADCY2	0.79438	50.27	0.273	rgb(220,165,165)	1.9856	None
MAFA	ADCY2	0.88819	50.62	0.622	rgb(224, 98, 99)	1.9926	None
GATA2	ADCY5	0.46431	40.36	0.358	rgb(221,149,149)	1.7874	None
MAFA	ADCY5	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFA	ADH6	0.78806	50.19	0.193	rgb(219,180,180)	1.984	None
MAFB	ADH6	-0.78658	50.15	-0.15	rgb(184,197,223)	1.9832	None
GATA2	ADORA2A	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
MAFB	ADORA2A	0.61499	45.75	0.755	rgb(225, 73, 74)	1.8952	2,2
MAFB	AF070581	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
GATA2	AF131837	0.45981	41.26	0.263	rgb(220,167,167)	1.8054	2,2
GATA2	AGT	0.90434	50.62	0.618	rgb(224, 99,100)	1.9926	None
MAFB	AGT	0.59909	46.3	0.296	rgb(220,160,161)	1.9062	None
MAFA	AIF1	-0.52408	43.57	-0.57	rgb( 92,141,239)	1.8516	None
MAFB	AIF1	0.052045	17	0	rgb(217,217,217)	1.3201	None
MAFB	AK054990	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GATA2	AK055386	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
MAFB	AK091593	0.77266	49.66	0.659	rgb(224, 91, 92)	1.9734	2,2
GATA2	AK092251	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
GATA2	AK096718	0.60425	46.36	0.358	rgb(221,149,149)	1.9074	2,2
MAFB	AK096718	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
GATA2	AK125333	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
MAFB	AK125333	0.69645	48.47	0.471	rgb(222,127,128)	1.9496	2,2
GATA2	AK128833	0.86254	50.53	0.532	rgb(223,115,117)	1.9908	2,2
GATA2	AK311257	0.91722	50.65	0.653	rgb(224, 92, 94)	1.9932	2,2
GATA2	AKT3	0.97889	50.86	0.856	rgb(226, 54, 55)	1.9974	None
MAFA	AKT3	-0.88616	50.58	-0.58	rgb( 92,141,239)	1.9918	None
MAFB	AKT3	0.052045	17	0	rgb(217,217,217)	1.3201	None
MAFA	ALAS2	-0.83317	50.45	-0.45	rgb(119,157,234)	1.9892	None
MAFB	ALAS2	0.60636	46.39	0.387	rgb(221,143,144)	1.908	None
MAFA	AMER3	0.19533	25	0	rgb(217,217,217)	1.4801	None
MAFB	AMER3	0.76663	49.58	0.577	rgb(223,107,108)	1.9718	None
MAFA	AMPH	0.4981	42.55	0.551	rgb(223,112,113)	1.8312	None
MAFB	AMPH	0.78422	50.03	0.03	rgb(217,211,211)	1.9808	None
GATA2	ANK2	0.88616	50.58	0.576	rgb(223,107,108)	1.9918	None
MAFA	ANK2	0.30343	32	0	rgb(217,217,217)	1.6201	None
MAFB	ANK2	0.24796	30	0	rgb(217,217,217)	1.5801	None
GATA2	ANKRD13B	0.11582	20	0	rgb(217,217,217)	1.3801	None
MAFB	AP3B2	0.04399	16	0	rgb(217,217,217)	1.3001	None
MAFA	APLP1	-0.45489	40.14	-0.14	rgb(186,198,222)	1.783	None
MAFB	ARHGAP24	-0.68455	48.13	-0.13	rgb(188,200,222)	1.9428	None
MAFA	ARHGAP33	0.55324	44.54	0.535	rgb(223,115,116)	1.871	None
MAFB	ARHGAP33	0.58918	46.02	0.019	rgb(217,213,213)	1.9006	None
GATA2	ARNT2	0.068278	17	0	rgb(217,217,217)	1.3201	None
MAFB	ARNT2	0.10777	20	0	rgb(217,217,217)	1.3801	None
MAFA	ASCL2	0.78765	50.08	0.34	rgb(221,152,153)	1.9818	None
MAFB	ASCL2	0.79831	50.3	0.301	rgb(220,159,160)	1.9862	None
GATA2	ASIC1	-0.66233	47.4	-0.4	rgb(131,165,232)	1.9282	None
MAFA	ASIC1	0.58269	45.53	0.527	rgb(223,116,117)	1.8908	None
MAFB	ASIC1	-0.42325	39.53	-0.53	rgb(103,147,237)	1.7708	None
GATA2	ASIC5	0.7254	49.27	0.267	rgb(220,166,167)	1.9656	2,2
MAFB	ASIC5	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
MAFB	ATCAY	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
MAFA	ATOH8	0.83994	50.47	0.472	rgb(222,127,128)	1.9896	None
GATA2	ATP1A3	0.10777	20	0	rgb(217,217,217)	1.3801	None
MAFB	ATP1A3	0.13825	22	0	rgb(217,217,217)	1.4201	None
GATA2	ATP6V1G2	-0.4195	39.41	-0.7	rgb( 66,125,244)	1.7684	None
MAFA	ATP6V1G2	0.74523	49.45	0.446	rgb(222,132,133)	1.9692	None
MAFB	ATP6V1G2	0.59447	46.22	0.224	rgb(219,174,175)	1.9046	None
MAFA	AVPR1B	0.72652	48.8	0.795	rgb(226, 65, 67)	1.9562	None
MAFB	AVPR1B	0.29533	33	0	rgb(217,217,217)	1.6401	None
GATA2	AX746734	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
MAFB	AX746734	0.3912	37.14	0.142	rgb(219,190,190)	1.7229	2,2
GATA2	AX747516	0.76914	49.63	0.635	rgb(224, 96, 97)	1.9728	2,2
MAFA	AX747516	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
MAFB	AX747516	0.49087	41.39	0.393	rgb(221,142,143)	1.808	2,2
MAFA	B3GAT1	0.75717	49.55	0.548	rgb(223,112,113)	1.9712	None
MAFB	B3GAT1	0.50223	42.06	0.064	rgb(218,205,205)	1.8214	None
MAFA	B3GNTL1	-0.34015	34.18	-0.18	rgb(178,193,224)	1.6637	None
MAFB	B3GNTL1	0.21045	26	0	rgb(217,217,217)	1.5001	None
MAFB	BAALC	0.79884	50.31	0.309	rgb(220,158,159)	1.9864	None
GATA2	BAI2	0.59637	46.25	0.252	rgb(220,169,169)	1.9052	2,2
MAFA	BAI2	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
MAFA	BAIAP3	0.36212	35.43	0.428	rgb(222,135,136)	1.6887	None
MAFB	BAIAP3	0.060595	16	0	rgb(217,217,217)	1.3001	None
GATA2	BASP1	0.73664	49.27	0.273	rgb(220,165,165)	1.9656	None
MAFB	BASP1	0.61268	45.65	0.648	rgb(224, 93, 95)	1.8932	None
GATA2	BC020343	0.6905	48.4	0.401	rgb(221,140,141)	1.9482	2,2
MAFB	BC020343	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GATA2	BC040894	0.79884	50.31	0.308	rgb(220,158,159)	1.9864	2,2
MAFB	BC040894	0.48612	42.31	0.313	rgb(220,157,158)	1.8264	2,2
GATA2	BC073817	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
MAFB	BEX1	0.40132	38.49	0.49	rgb(222,123,124)	1.7499	2,2
MAFA	BOC	0.77761	49.69	0.685	rgb(225, 86, 88)	1.974	None
MAFB	BOC	0.22515	27	0	rgb(217,217,217)	1.5201	None
MAFB	BRS3	0.21045	26	0	rgb(217,217,217)	1.5001	None
GATA2	BRSK1	0.10777	20	0	rgb(217,217,217)	1.3801	None
MAFA	BRSK1	0.31152	34	0	rgb(217,217,217)	1.6601	None
MAFA	BRSK2	0.17332	24	0	rgb(217,217,217)	1.4601	None
GATA2	BSN	0.04399	16	0	rgb(217,217,217)	1.3001	None
MAFA	BSN	0.34746	35	0.001	rgb(217,217,217)	1.6801	None
GATA2	BTBD11	0.10029	19	0	rgb(217,217,217)	1.3601	None
MAFA	BTBD11	0.04399	16	0	rgb(217,217,217)	1.3001	None
MAFB	BTBD11	-0.49909	41.64	-0.64	rgb( 79,133,241)	1.813	None
GATA2	C11orf87	0.85828	50.52	0.517	rgb(223,118,119)	1.9906	2,2
MAFA	C11orf87	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
MAFA	C1QL1	0.59983	45.38	0.382	rgb(221,144,145)	1.8878	None
MAFB	C1QL1	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	C1orf127	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFB	C1orf127	0.57699	45.42	0.425	rgb(222,136,137)	1.8886	None
GATA2	C1orf95	0.81908	50.4	0.395	rgb(221,141,142)	1.9882	2,2
MAFB	C1orf95	0.60558	46.38	0.376	rgb(221,145,146)	1.9078	2,2
MAFA	C22orf42	-0.74201	49.43	-0.43	rgb(123,160,233)	1.9688	None
GATA2	C2CD4A	0.060595	16	0	rgb(217,217,217)	1.3001	None
MAFA	C2CD4A	0.83635	50.46	0.455	rgb(222,130,131)	1.9894	None
MAFB	C2CD4A	0.0067328	14	0	rgb(217,217,217)	1.2601	None
MAFA	C2CD4B	0.19533	26	0	rgb(217,217,217)	1.5001	None
MAFB	C2CD4B	0.04399	16	0	rgb(217,217,217)	1.3001	None
MAFA	C3orf18	0.12321	21	0	rgb(217,217,217)	1.4001	None
MAFB	C3orf80	0.80033	50.32	0.318	rgb(220,156,157)	1.9866	None
GATA2	C7	-0.97476	50.8	-0.8	rgb( 43,111,247)	1.9962	None
MAFA	C7	0.42309	38.44	0.443	rgb(222,132,133)	1.7489	None
GATA2	CACNA1A	0.68794	48.23	0.233	rgb(220,172,173)	1.9448	None
MAFB	CACNA1A	0.48757	42.33	0.327	rgb(221,155,155)	1.8268	None
GATA2	CACNA1C	0.95147	50.73	0.734	rgb(225, 77, 78)	1.9948	None
MAFA	CACNA1C	-0.61594	46.02	-0.019	rgb(213,214,218)	1.9006	None
MAFB	CACNA1C	0.60896	46.44	0.435	rgb(222,134,135)	1.909	None
GATA2	CACNA1E	0.65428	47.49	0.489	rgb(222,124,125)	1.93	None
MAFA	CACNA1E	-0.61917	46.64	-0.64	rgb( 77,132,241)	1.913	None
MAFB	CACNA1E	0.65271	47.5	0.503	rgb(223,121,122)	1.9302	None
GATA2	CACNA1G	0.69504	48.45	0.448	rgb(222,131,132)	1.9492	None
MAFA	CACNA1G	-0.457	40.2	-0.21	rgb(171,189,225)	1.7842	None
MAFB	CACNA1G	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFA	CACNA1H	0.94601	50.76	0.764	rgb(225, 71, 73)	1.9954	None
MAFB	CACNA1H	0.10777	20	0	rgb(217,217,217)	1.3801	None
MAFA	CACNA2D1	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFA	CACNA2D2	0.31152	34	0	rgb(217,217,217)	1.6601	None
MAFB	CACNA2D2	0.10029	19	0	rgb(217,217,217)	1.3601	None
MAFA	CACNG4	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFB	CACNG4	0.97336	50.84	0.844	rgb(226, 56, 57)	1.997	None
GATA2	CADM2	0.59612	45.3	0.297	rgb(220,160,161)	1.8862	None
MAFA	CADM2	0.42701	38.58	0.582	rgb(223,106,107)	1.7518	None
MAFB	CADM2	0.27869	32	0	rgb(217,217,217)	1.6201	None
MAFA	CADM3	-0.41669	38.27	-0.27	rgb(157,181,227)	1.7455	None
MAFB	CADM3	0.7247	49.26	0.255	rgb(220,168,169)	1.9654	None
MAFA	CADPS	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFB	CADPS	-0.63416	46.45	-0.45	rgb(119,158,234)	1.9092	None
GATA2	CALY	0.5057	43.19	0.259	rgb(220,168,168)	1.844	None
MAFB	CALY	0.43205	39.14	0.136	rgb(218,191,191)	1.763	None
GATA2	CAMKV	0.67278	48.06	0.058	rgb(218,206,206)	1.9414	None
GATA2	CAND2	-0.42078	39.44	-0.44	rgb(121,159,234)	1.769	None
MAFA	CAND2	0.88385	50.61	0.612	rgb(224,100,101)	1.9924	None
MAFB	CARTPT	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
MAFA	CBFA2T3	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFA	CBX2	0.24796	30	0	rgb(217,217,217)	1.5801	None
MAFB	CCDC113	-0.43168	39.13	-0.13	rgb(188,199,222)	1.7628	None
MAFA	CCDC78	0.076869	18	0	rgb(217,217,217)	1.3401	None
MAFB	CCDC78	0.10029	19	0	rgb(217,217,217)	1.3601	None
MAFA	CD37	0.47295	40.59	0.59	rgb(223,104,106)	1.792	None
