TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HEYL	ADORA2A	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HEYL	AK125727	0.51619	43.38	0.375	rgb(221,145,146)	1.8478	2,2
HEYL	AK316321	0.43561	39.26	0.263	rgb(220,167,167)	1.7654	2,2
HEYL	ASXL3	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
HEYL	ATCAY	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
HEYL	AX746771	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HEYL	BAI2	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HEYL	BRSK2	-0.40801	38.03	-0.027	rgb(211,213,218)	1.7407	None
HEYL	CCDC78	0.33825	34.04	0.043	rgb(217,209,209)	1.6609	None
HEYL	CD37	0.86456	50.56	0.558	rgb(223,110,112)	1.9914	None
HEYL	CDK5R1	0.76311	49.55	0.554	rgb(223,111,112)	1.9712	None
HEYL	CELSR3	0.4589	40.24	0.243	rgb(220,171,171)	1.785	None
HEYL	DNAH11	0.62582	46.33	0.33	rgb(221,154,155)	1.9068	None
HEYL	DTX3	0.87278	50.55	0.554	rgb(223,111,112)	1.9912	2,2
HEYL	FLJ22184	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
HEYL	FLJ35282	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
HEYL	HLA-DQA2	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HEYL	LOC728392	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HEYL	LRRTM3	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HEYL	MAPK8IP2	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HEYL	NEURL	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
HEYL	NEUROG3	0.84692	50.49	0.49	rgb(222,123,124)	1.99	2,2
HEYL	SCUBE1	0.69277	48.32	0.32	rgb(221,156,157)	1.9466	None
HEYL	SEPT3	0.42169	38.4	0.402	rgb(221,140,141)	1.7481	2,2
HEYL	SPEG	-0.5361	43.11	-0.11	rgb(194,203,221)	1.8424	None
HEYL	TMEFF1	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
HEYL	TMEM35	0.65271	47.5	0.502	rgb(223,121,122)	1.9302	2,2
