TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HIC1	ACSS3	-0.80558	50.33	-0.33	rgb(146,174,229)	1.9868	None
HIC1	ADCY1	-0.63375	47.3	-0.48	rgb(112,153,235)	1.9262	None
HIC1	AFF2	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
HIC1	AIF1	-0.72441	48.72	-0.72	rgb( 60,121,244)	1.9546	None
HIC1	AK057596	-0.53763	43.17	-0.17	rgb(179,194,224)	1.8436	2,2
HIC1	AK302511	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
HIC1	AK311213	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
HIC1	AL109792	0.55056	44.49	0.493	rgb(222,123,124)	1.87	2,2
HIC1	AP3B2	-0.97637	50.85	-0.85	rgb( 32,105,249)	1.9972	None
HIC1	AX746734	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
HIC1	AX747175	-0.39021	37.1	-0.096	rgb(196,204,221)	1.7221	2,2
HIC1	AX747516	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
HIC1	BC006435	-0.89938	50.65	-0.65	rgb( 75,131,242)	1.9932	2,2
HIC1	BRSK2	0.060595	16	0	rgb(217,217,217)	1.3001	None
HIC1	BTBD11	0.24796	30	0	rgb(217,217,217)	1.5801	None
HIC1	C1orf168	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HIC1	C2CD4B	0.016605	14	0	rgb(217,217,217)	1.2601	None
HIC1	C6orf185	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
HIC1	C9orf102	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
HIC1	CAND2	0.69504	48.45	0.446	rgb(222,132,133)	1.9492	None
HIC1	CCDC113	0.45762	41.23	0.23	rgb(220,173,174)	1.8048	None
HIC1	CCDC17	-0.84866	50.51	-0.51	rgb(106,149,236)	1.9904	2,2
HIC1	CCDC40	-0.60814	45.54	-0.54	rgb( 99,145,238)	1.891	None
HIC1	CCDC78	0.42995	40.14	0.141	rgb(219,190,190)	1.783	None
HIC1	CDKN1C	0.12321	21	0	rgb(217,217,217)	1.4001	None
