TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HLF	AB007962	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	AB007962	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	ABCC4	-0.44783	39.56	-0.56	rgb( 96,144,238)	1.7714	None
ONECUT1	ABCC4	0.49112	42.39	0.386	rgb(221,143,144)	1.828	None
HLF	ABLIM2	-0.93222	50.68	-0.71	rgb( 63,123,244)	1.9938	None
SIX2	ABLIM2	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
ONECUT1	ACSL6	0.93656	50.69	0.69	rgb(225, 85, 87)	1.994	None
SIX2	ACSL6	0.91144	50.67	0.674	rgb(224, 88, 90)	1.9936	None
ONECUT1	ADCY5	0.81524	50.39	0.39	rgb(221,143,143)	1.988	None
SIX2	ADCY5	0.40938	39.18	0.179	rgb(219,183,183)	1.7638	None
HLF	AK056486	-0.75663	49.49	-0.49	rgb(111,152,236)	1.97	2,2
ONECUT1	AK056486	0.73812	49.4	0.401	rgb(221,140,141)	1.9682	2,2
HLF	AK091593	0.91722	50.65	0.65	rgb(224, 93, 94)	1.9932	2,2
ONECUT1	AK091593	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SIX2	AK091593	0.74824	49.42	0.422	rgb(222,136,137)	1.9686	2,2
HLF	AK091624	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ONECUT1	AK091624	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	AK094786	-0.438	39.32	-0.32	rgb(146,174,229)	1.7666	2,2
ONECUT1	AK094786	0.91722	50.65	0.646	rgb(224, 94, 95)	1.9932	2,2
HLF	AK123868	-0.4031	37.48	-0.48	rgb(112,153,235)	1.7297	2,2
ONECUT1	AK123868	0.44907	40.6	0.6	rgb(224,102,104)	1.7922	2,2
HLF	AK125333	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	2,2
ONECUT1	AK125333	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
SIX2	AK125333	0.84192	50.49	0.488	rgb(222,124,125)	1.99	2,2
HLF	AK128153	-0.75564	49.48	-0.48	rgb(113,154,235)	1.9698	2,2
ONECUT1	AK128153	0.90913	50.63	0.629	rgb(224, 97, 98)	1.9928	2,2
SIX2	AK128153	0.51722	43.4	0.395	rgb(221,141,142)	1.8482	2,2
HLF	AK302511	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
ONECUT1	AK302511	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
SIX2	AK302511	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
HLF	AK311257	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ONECUT1	AK311257	0.72255	49.23	0.227	rgb(219,174,174)	1.9648	2,2
SIX2	AK311257	0.4995	41.68	0.681	rgb(224, 87, 88)	1.8138	2,2
ONECUT1	ANK2	0.67741	48.23	0.375	rgb(221,145,146)	1.9448	None
SIX2	ANK2	0.8691	50.57	0.571	rgb(223,108,109)	1.9916	None
HLF	ARHGAP24	-0.42309	38.44	-0.44	rgb(122,159,234)	1.7489	None
SIX2	ARHGAP24	0.13825	22	0	rgb(217,217,217)	1.4201	None
ONECUT1	ARNT2	0.068278	17	0	rgb(217,217,217)	1.3201	None
SIX2	ARNT2	0.035399	15	0	rgb(217,217,217)	1.2801	None
ONECUT1	ASIC1	0.64907	47.46	0.463	rgb(222,129,129)	1.9294	None
SIX2	ASIC1	0.95799	50.79	0.795	rgb(226, 65, 67)	1.996	None
HLF	ATCAY	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	ATCAY	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ONECUT1	ATP6V1G2	0.076869	18	0	rgb(217,217,217)	1.3401	None
SIX2	ATP6V1G2	-0.6824	47.82	-0.82	rgb( 39,109,248)	1.9366	None
HLF	AX746734	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
SIX2	AX746734	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	AX747090	-0.71458	48.55	-0.55	rgb( 97,144,238)	1.9512	2,2
ONECUT1	AX747090	0.63866	47.35	0.347	rgb(221,151,151)	1.9272	2,2
HLF	AX747175	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ONECUT1	AX747175	0.53416	44.22	0.218	rgb(219,175,176)	1.8646	2,2
SIX2	AX747175	0.50715	42.21	0.208	rgb(219,177,178)	1.8244	2,2
HLF	AX747755	-0.41227	38.17	-0.17	rgb(180,194,224)	1.7435	2,2
ONECUT1	AX747755	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
HLF	AX747853	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	AX747853	-0.38682	36.81	-0.81	rgb( 41,110,248)	1.7163	2,2
ONECUT1	BASP1	0.40739	39.12	0.121	rgb(218,194,194)	1.7626	None
SIX2	BASP1	0.85828	50.52	0.518	rgb(223,118,119)	1.9906	None
HLF	BC006435	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	BC006435	0.46778	40.44	0.444	rgb(222,132,133)	1.789	2,2
HLF	BC020343	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
ONECUT1	BC020343	0.81908	50.4	0.398	rgb(221,141,142)	1.9882	2,2
SIX2	BC020343	0.54469	43.34	0.336	rgb(221,153,153)	1.847	2,2
HLF	BC033961	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	BC033961	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
HLF	BC040894	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ONECUT1	BC040894	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
SIX2	BC040894	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HLF	BC042825	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	BC042825	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	BC042825	0.39021	37.1	0.096	rgb(218,199,199)	1.7221	2,2
HLF	BC073817	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ONECUT1	BC073817	0.65456	47.52	0.522	rgb(223,117,118)	1.9306	2,2
HLF	BTBD11	0.77451	49.68	0.683	rgb(225, 86, 88)	1.9738	None
SIX2	BTBD11	0.98121	50.87	0.872	rgb(227, 50, 52)	1.9976	None
HLF	BX647938	0.70017	48.51	0.508	rgb(223,120,121)	1.9504	2,2
SIX2	BX647938	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	C11orf87	0.76613	49.61	0.608	rgb(224,101,102)	1.9724	2,2
SIX2	C11orf87	0.90669	50.66	0.661	rgb(224, 91, 92)	1.9934	2,2
ONECUT1	C22orf42	0.971	50.83	0.83	rgb(226, 58, 60)	1.9968	None
SIX2	C22orf42	-0.91322	50.68	-0.68	rgb( 68,127,243)	1.9938	None
HLF	C9orf102	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
SIX2	C9orf102	-0.67774	47.62	-0.62	rgb( 82,135,241)	1.9326	2,2
ONECUT1	CACNA1A	0.75394	49.52	0.524	rgb(223,117,118)	1.9706	None
SIX2	CACNA1A	0.11582	20	0	rgb(217,217,217)	1.3801	None
HLF	CACNA1B	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
