TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NFAT5	ABCC4	0.38294	38.01	0.006	rgb(217,216,216)	1.7403	None
NFAT5	ADCY1	-0.62371	46.29	-0.29	rgb(153,178,228)	1.906	None
NFAT5	AK057596	0.34494	36.04	0.043	rgb(217,209,209)	1.7009	2,2
NFAT5	AK123332	0.49442	42.47	0.475	rgb(222,126,127)	1.8296	2,2
NFAT5	AK125301	0.98249	50.83	0.828	rgb(226, 59, 60)	1.9968	2,2
NFAT5	AL832212	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	ARHGAP24	0.30343	32	0	rgb(217,217,217)	1.6201	None
NFAT5	ARNT2	-0.80392	50.31	-0.31	rgb(149,176,229)	1.9864	None
NFAT5	ATCAY	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
NFAT5	AX747175	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	BC042825	0.72094	48.64	0.638	rgb(224, 95, 96)	1.953	2,2
NFAT5	BHMT	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
NFAT5	BRSK1	0.45262	40.08	0.077	rgb(218,202,202)	1.7818	None
NFAT5	BX647938	0.586	44.73	0.733	rgb(225, 77, 79)	1.8748	2,2
NFAT5	CADM2	-0.39285	37.18	-0.18	rgb(177,193,224)	1.7237	None
NFAT5	CCDC154	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	CCDC17	0.58406	44.61	0.61	rgb(224,100,102)	1.8724	2,2
NFAT5	CCDC78	-0.47034	40.51	-0.51	rgb(105,149,237)	1.7904	None
NFAT5	CD37	0.85828	50.52	0.516	rgb(223,119,120)	1.9906	None
NFAT5	CDH22	-0.5537	44.55	-0.55	rgb( 99,145,238)	1.8712	None
NFAT5	CELA3A	-0.63057	47.27	-0.27	rgb(158,181,227)	1.9256	None
NFAT5	CHGB	0.56815	44.28	0.279	rgb(220,164,164)	1.8658	None
NFAT5	CHL1	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	COL1A2	-0.94217	50.75	-0.75	rgb( 54,118,245)	1.9952	None
NFAT5	CSH2	-0.56964	44.32	-0.32	rgb(147,174,229)	1.8666	2,2
NFAT5	CYP27C1	0.57431	44.43	0.427	rgb(222,135,136)	1.8688	None
