TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PBX3	AB007962	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PBX3	AB074188	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PBX3	ABCC4	0.15118	22	0	rgb(217,217,217)	1.4201	None
PBX3	ACSS3	0.41875	39.39	0.39	rgb(221,142,143)	1.768	None
PBX3	ADAM12	0.59166	46.16	0.159	rgb(219,187,187)	1.9034	None
PBX3	ADAM20P1	0.49628	41.52	0.521	rgb(223,118,119)	1.8106	2,2
PBX3	ADAMTSL2	0.41276	38.19	0.186	rgb(219,182,182)	1.7439	None
PBX3	ADCY5	0.10029	19	0	rgb(217,217,217)	1.3601	None
PBX3	ADH6	-0.67493	48.19	-0.31	rgb(151,177,229)	1.944	None
PBX3	ADORA2A	-0.45122	40.04	-0.041	rgb(208,212,219)	1.781	2,2
PBX3	AIF1	0.49599	42.5	0.501	rgb(223,121,122)	1.8302	None
PBX3	AK125333	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
PBX3	AK311213	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
PBX3	AK316321	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
PBX3	AK5	0.63247	47.29	0.29	rgb(220,162,162)	1.926	None
PBX3	ALAS2	0.37435	36.25	0.251	rgb(220,169,170)	1.7051	None
PBX3	AMPH	-0.35093	35.12	-0.12	rgb(191,201,222)	1.6825	None
PBX3	ANK2	0.076869	18	0	rgb(217,217,217)	1.3401	None
PBX3	ANKRD13B	0.3513	36.2	0.201	rgb(219,179,179)	1.7041	None
PBX3	AP3B2	0.35295	35.18	0.177	rgb(219,183,184)	1.6837	None
PBX3	ARHGAP33	-0.47716	41.06	-0.3	rgb(152,178,228)	1.8014	None
PBX3	ARNT2	0.63548	47.32	0.324	rgb(221,155,156)	1.9266	None
PBX3	ATCAY	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
PBX3	ATOH8	0.80207	50.3	0.301	rgb(220,160,160)	1.9862	None
PBX3	ATP1A3	0.78658	50.15	0.153	rgb(219,188,188)	1.9832	None
PBX3	ATP6V1G2	0.6147	46.52	0.516	rgb(223,118,119)	1.9106	None
PBX3	AX747755	0.44391	40.42	0.418	rgb(222,137,138)	1.7886	2,2
PBX3	BAALC	-0.61024	45.58	-0.58	rgb( 92,141,239)	1.8918	None
PBX3	BAI1	0.40008	37.39	0.388	rgb(221,143,144)	1.7279	2,2
PBX3	BAI2	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
PBX3	BAIAP3	0.15118	22	0	rgb(217,217,217)	1.4201	None
PBX3	BASP1	-0.70574	48.57	-0.57	rgb( 92,141,239)	1.9516	None
PBX3	BC040894	0.92003	50.69	0.687	rgb(225, 86, 87)	1.994	2,2
PBX3	BOC	0.18104	25	0	rgb(217,217,217)	1.4801	None
PBX3	BRS3	0.39248	38.26	0.257	rgb(220,168,168)	1.7453	None
PBX3	BRSK1	-0.91322	50.68	-0.68	rgb( 68,127,243)	1.9938	None
PBX3	BRSK2	0.27096	30	0	rgb(217,217,217)	1.5801	None
PBX3	BTBD11	0.0067328	14	0	rgb(217,217,217)	1.2601	None
PBX3	C11orf87	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PBX3	C1orf168	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
PBX3	C1orf95	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
PBX3	C21orf58	0.81908	50.4	0.399	rgb(221,141,142)	1.9882	None
PBX3	C2CD4A	0.84866	50.51	0.506	rgb(223,120,121)	1.9904	None
PBX3	C3orf18	0.81033	50.37	0.368	rgb(221,147,147)	1.9876	None
PBX3	C7	0.82148	50.41	0.415	rgb(222,138,139)	1.9884	None
PBX3	C7orf41	0.5197	43.43	0.435	rgb(222,134,135)	1.8488	2,2
PBX3	CABP7	0.027303	15	0	rgb(217,217,217)	1.2801	None
PBX3	CACNA1A	0.035399	15	0	rgb(217,217,217)	1.2801	None
PBX3	CACNA1E	0.8304	50.45	0.449	rgb(222,131,132)	1.9892	None
PBX3	CACNA1G	-0.97476	50.8	-0.8	rgb( 43,111,248)	1.9962	None
PBX3	CAMKV	-0.74201	49.43	-0.43	rgb(124,161,233)	1.9688	None
PBX3	CAND2	0.54007	43.25	0.249	rgb(220,170,170)	1.8452	None
PBX3	CBFA2T3	0.81429	50.38	0.383	rgb(221,144,145)	1.9878	None
PBX3	CBX2	-0.42078	39.44	-0.44	rgb(121,159,234)	1.769	None
PBX3	CCDC74B	0.35295	35.18	0.184	rgb(219,182,182)	1.6837	None
PBX3	CDK5R2	-0.37984	36.38	-0.38	rgb(136,167,231)	1.7077	None
PBX3	CDKN1C	0.59463	45.27	0.267	rgb(220,166,167)	1.8856	None
PBX3	CELA3A	0.34915	35.07	0.074	rgb(218,203,203)	1.6815	None
PBX3	CELF4	0.96353	50.76	0.765	rgb(225, 71, 72)	1.9954	None
PBX3	CELF5	-0.47034	40.51	-0.51	rgb(106,149,237)	1.7904	None
PBX3	CGREF1	0.39967	37.38	0.381	rgb(221,144,145)	1.7277	2,2
PBX3	CHRM4	0.87096	50.58	0.58	rgb(223,106,107)	1.9918	None
PBX3	CHRNA3	0.61041	46.46	0.458	rgb(222,129,130)	1.9094	2,2
PBX3	CHST10	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
PBX3	CIT	0.15118	22	0	rgb(217,217,217)	1.4201	None
PBX3	CLCA4	0.34552	36.07	0.074	rgb(218,203,203)	1.7015	None
PBX3	CLGN	0.81524	50.39	0.389	rgb(221,143,143)	1.988	None
PBX3	CNIH2	0.30343	32	0	rgb(217,217,217)	1.6201	None
PBX3	CNTD2	0.3615	35.41	0.41	rgb(222,139,140)	1.6883	None
PBX3	COL12A1	-0.71974	48.63	-0.63	rgb( 81,134,241)	1.9528	None
PBX3	COL22A1	0.19533	25	0	rgb(217,217,217)	1.4801	None
PBX3	CPE	0.72305	48.69	0.685	rgb(225, 86, 87)	1.954	None
PBX3	CPLX1	0.25535	29	0	rgb(217,217,217)	1.5601	None
