TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
POU5F1	ABCC4	0.32805	35	0	rgb(217,217,217)	1.6801	None
POU5F1	ABLIM2	0.44713	40.51	0.508	rgb(223,120,121)	1.7904	None
POU5F1	ACTG1P4	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
POU5F1	ADAM12	-0.37435	37.32	-0.32	rgb(148,175,229)	1.7265	None
POU5F1	ADAM20P1	0.60636	46.39	0.395	rgb(221,142,142)	1.908	2,2
POU5F1	ADCY1	0.56584	45.26	0.265	rgb(220,166,167)	1.8854	None
POU5F1	ADCY2	0.83994	50.47	0.467	rgb(222,128,129)	1.9896	None
POU5F1	ADH6	-0.72986	49.32	-0.32	rgb(147,174,229)	1.9666	None
POU5F1	AIF1	0.66126	47.59	0.591	rgb(224,104,105)	1.932	None
POU5F1	AK056486	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
POU5F1	AK125301	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
POU5F1	AK128833	0.9278	50.67	0.67	rgb(224, 89, 90)	1.9936	2,2
POU5F1	AK311213	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
POU5F1	AK5	-0.3577	36.37	-0.37	rgb(136,168,231)	1.7075	None
POU5F1	AL832212	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
POU5F1	ANK2	0.12321	21	0	rgb(217,217,217)	1.4001	None
POU5F1	ARHGAP24	0.1881	26	0	rgb(217,217,217)	1.5001	None
POU5F1	ATCAY	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
POU5F1	AX746734	0.52111	43.46	0.463	rgb(222,128,129)	1.8494	2,2
POU5F1	AX747175	0.45052	40.79	0.792	rgb(226, 66, 67)	1.796	2,2
POU5F1	BC040894	0.92396	50.66	0.662	rgb(224, 91, 92)	1.9934	2,2
POU5F1	BC042825	0.38596	36.66	0.664	rgb(224, 90, 92)	1.7133	2,2
POU5F1	BGN	0.79294	50.2	0.204	rgb(219,178,179)	1.9842	None
POU5F1	BHMT	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
POU5F1	BOC	0.81524	50.39	0.39	rgb(221,143,143)	1.988	None
POU5F1	BTBD11	0.027303	15	0	rgb(217,217,217)	1.2801	None
POU5F1	BX649158	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
POU5F1	C2CD4A	0.73664	49.27	0.27	rgb(220,165,166)	1.9656	None
POU5F1	C7orf41	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
POU5F1	CACNA2D1	0.67179	47.52	0.52	rgb(223,118,119)	1.9306	None
POU5F1	CACNA2D2	0.54742	44.43	0.427	rgb(222,135,136)	1.8688	None
POU5F1	CALY	0.50335	43.13	0.133	rgb(218,192,192)	1.8428	None
POU5F1	CCDC113	0.13825	22	0	rgb(217,217,217)	1.4201	None
POU5F1	CCDC154	0.63494	46.46	0.46	rgb(222,129,130)	1.9094	2,2
POU5F1	CDHR3	0.20355	27	0	rgb(217,217,217)	1.5201	None
POU5F1	CELF4	0.13825	22	0	rgb(217,217,217)	1.4201	None
POU5F1	CELSR2	-0.78934	50.13	-0.13	rgb(188,199,222)	1.9828	None
POU5F1	CFC1	0.7387	49.29	0.292	rgb(220,161,162)	1.966	None
POU5F1	CFC1B	-0.78207	49.75	-0.75	rgb( 55,119,245)	1.9752	None
POU5F1	CHRM4	0.61611	46.55	0.545	rgb(223,113,114)	1.9112	None
POU5F1	CIT	0.41817	38.32	0.318	rgb(220,156,157)	1.7465	None
POU5F1	CLCN4	0.66914	47.49	0.49	rgb(222,123,124)	1.93	2,2
POU5F1	CNGA4	0.9278	50.67	0.669	rgb(224, 89, 91)	1.9936	None
POU5F1	COL22A1	0.13825	22	0	rgb(217,217,217)	1.4201	None
POU5F1	CPE	0.95374	50.78	0.782	rgb(226, 68, 69)	1.9958	None
POU5F1	CPLX1	0.016605	14	0	rgb(217,217,217)	1.2601	None
POU5F1	CSRNP3	0.27869	32	0	rgb(217,217,217)	1.6201	None
POU5F1	DACH1	-0.46088	41.28	-0.28	rgb(156,180,228)	1.8058	None
POU5F1	DCHS1	0.8691	50.57	0.567	rgb(223,109,110)	1.9916	None
POU5F1	DGKB	0.9278	50.67	0.672	rgb(224, 89, 90)	1.9936	None
POU5F1	DKK3	-0.81908	50.4	-0.4	rgb(130,164,232)	1.9882	None
POU5F1	DNAH11	0.8178	50.4	0.402	rgb(221,140,141)	1.9882	None
POU5F1	DNER	0.13825	22	0	rgb(217,217,217)	1.4201	None
POU5F1	DOCK8	-0.74312	49.35	-0.44	rgb(121,159,234)	1.9672	None
POU5F1	DOK6	0.68269	48.01	0.33	rgb(221,154,155)	1.9404	None
POU5F1	DPP10	0.89765	50.64	0.635	rgb(224, 96, 97)	1.993	None
POU5F1	DQ583756	0.74283	49.34	0.339	rgb(221,152,153)	1.967	2,2
POU5F1	DQ586822	0.36043	36.48	0.481	rgb(222,125,126)	1.7097	2,2
