TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PROX1	ACTG1P4	0.36179	36.55	0.548	rgb(223,112,113)	1.7111	2,2
PROX1	ADORA2A	0.37299	37.29	0.295	rgb(220,161,161)	1.7259	2,2
SETBP1	AFF2	0.83804	50.48	0.483	rgb(222,125,126)	1.9898	2,2
SETBP1	AK056486	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SETBP1	AK091624	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
PROX1	AK092251	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
PROX1	AK125333	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
PROX1	AK311213	0.42809	40.1	0.098	rgb(218,198,199)	1.7822	2,2
PROX1	AK311257	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
PROX1	AK311497	0.7741	49.65	0.649	rgb(224, 93, 94)	1.9732	2,2
PROX1	ASCL2	0.81351	50.37	0.366	rgb(221,147,148)	1.9876	None
PROX1	AX746771	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
SETBP1	AX746771	-0.42169	38.4	-0.4	rgb(131,165,232)	1.7481	2,2
PROX1	BAI2	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
PROX1	BC040894	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SETBP1	BC040894	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PROX1	BC107568	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
PROX1	BHMT	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
SETBP1	CADM3	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
PROX1	CCDC154	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
SETBP1	CCDC154	0.84192	50.49	0.488	rgb(222,124,125)	1.99	2,2
SETBP1	CCNA1	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
PROX1	CDH22	0.69211	48.42	0.423	rgb(222,136,137)	1.9486	None
SETBP1	CSH1	0.59967	45.37	0.369	rgb(221,146,147)	1.8876	2,2
SETBP1	CSH2	0.51491	42.35	0.347	rgb(221,151,151)	1.8272	2,2
PROX1	DTX3	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
SETBP1	E02193	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
PROX1	FAM226B	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
PROX1	FAM65C	0.44614	40.48	0.476	rgb(222,126,127)	1.7898	2,2
PROX1	FLJ22184	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
SETBP1	GFRA1	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
PROX1	GOLGA6L5	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
PROX1	GPR133	0.84692	50.49	0.489	rgb(222,124,125)	1.99	2,2
PROX1	GRAMD2	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SETBP1	GRAMD2	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
PROX1	HHEX	-0.97476	50.8	-0.8	rgb( 44,112,247)	1.9962	None
PROX1	KIT	0.84692	50.49	0.488	rgb(222,124,125)	1.99	2,2
PROX1	LOC100527964	0.65238	47.21	0.211	rgb(219,177,177)	1.9244	2,2
PROX1	LOC100996634	0.93222	50.68	0.678	rgb(224, 88, 89)	1.9938	2,2
SETBP1	LOC100996634	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
SETBP1	MPPED1	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
PROX1	NAIP	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SETBP1	NAIP	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
SETBP1	NEFL	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
PROX1	NEURL	0.84692	50.49	0.487	rgb(222,124,125)	1.99	2,2
SETBP1	NEURL	0.64473	46.67	0.666	rgb(224, 90, 91)	1.9136	2,2
SETBP1	NPTX2	0.39868	37.34	0.339	rgb(221,152,153)	1.7269	2,2
SETBP1	PODN	-0.37604	37.36	-0.36	rgb(139,170,231)	1.7273	2,2
SETBP1	PRPH	-0.46828	41.45	-0.45	rgb(120,158,234)	1.8092	2,2
PROX1	RFX6	0.83635	50.46	0.462	rgb(222,129,130)	1.9894	None
PROX1	RSPH10B2	-0.38484	36.54	-0.54	rgb(100,146,237)	1.7109	2,2
PROX1	SMA	0.73247	49.35	0.349	rgb(221,150,151)	1.9672	2,2
SETBP1	SMA	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
SETBP1	THRA1	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
PROX1	TPPP3	-0.5197	43.43	-0.43	rgb(124,160,233)	1.8488	None
SETBP1	XKR7	0.45052	40.79	0.786	rgb(226, 67, 69)	1.796	2,2
