TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ZNF846	AADAT	0.75663	49.49	0.49	rgb(222,123,124)	1.97	None
ZNF846	ABCC4	0.68538	48.16	0.16	rgb(219,187,187)	1.9434	None
ZNF846	ABCC8	0.27096	30	0	rgb(217,217,217)	1.5801	None
ZNF846	ACSL6	0.72334	49.24	0.237	rgb(220,172,172)	1.965	None
ZNF846	ACSS3	0.80913	50.35	0.347	rgb(221,151,151)	1.9872	None
ZNF846	ADAM20P1	0.53548	44.24	0.24	rgb(220,171,172)	1.865	2,2
ZNF846	ADAMTSL1	0.052045	17	0	rgb(217,217,217)	1.3201	None
ZNF846	ADCY5	0.14469	23	0	rgb(217,217,217)	1.4401	None
ZNF846	AGT	-0.77658	49.73	-0.73	rgb( 59,121,245)	1.9748	None
ZNF846	AIF1	-0.40083	38.47	-0.47	rgb(115,155,235)	1.7495	None
ZNF846	AK057596	0.65679	47.54	0.542	rgb(223,114,115)	1.931	2,2
ZNF846	AK5	-0.55646	43.61	-0.61	rgb( 85,137,240)	1.8524	None
ZNF846	AL832212	0.62491	47.18	0.184	rgb(219,182,182)	1.9238	2,2
ZNF846	AMER3	-0.71974	48.63	-0.63	rgb( 80,133,241)	1.9528	None
ZNF846	ANKRD13B	-0.45948	41.25	-0.25	rgb(163,184,227)	1.8052	None
ZNF846	ANKRD65	-0.81119	50.36	-0.36	rgb(139,170,231)	1.9874	None
ZNF846	APLP1	-0.88141	50.57	-0.57	rgb( 93,142,239)	1.9916	None
ZNF846	ARNT2	0.052045	17	0	rgb(217,217,217)	1.3201	None
ZNF846	ATOH8	-0.53486	44.23	-0.23	rgb(166,186,226)	1.8648	None
ZNF846	AX747175	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZNF846	B3GAT1	-0.571	44.34	-0.34	rgb(144,173,230)	1.867	None
ZNF846	B3GNTL1	0.31941	33	0	rgb(217,217,217)	1.6401	None
ZNF846	BRS3	-0.543	43.3	-0.3	rgb(152,177,228)	1.8462	None
ZNF846	BTBD11	0.04399	16	0	rgb(217,217,217)	1.3001	None
ZNF846	BX649158	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
ZNF846	C21orf58	0.37299	37.29	0.288	rgb(220,162,162)	1.7259	None
ZNF846	C2CD4A	-0.45853	41.24	-0.24	rgb(166,186,226)	1.805	None
ZNF846	C2CD4B	-0.92396	50.66	-0.66	rgb( 74,130,242)	1.9934	None
ZNF846	C3orf18	-0.80281	50.33	-0.33	rgb(146,174,229)	1.9868	None
ZNF846	C3orf80	-0.59029	45.17	-0.17	rgb(181,195,223)	1.8836	None
ZNF846	CADM3	-0.52982	44.14	-0.26	rgb(161,183,227)	1.863	None
ZNF846	CAMK1	-0.42639	40.02	-0.021	rgb(212,214,218)	1.7806	None
ZNF846	CAMK2B	-0.38129	36.4	-0.4	rgb(130,164,232)	1.7081	None
ZNF846	CAND2	-0.5753	45.4	-0.4	rgb(131,165,232)	1.8882	None
ZNF846	CBX2	-0.73337	49.36	-0.36	rgb(139,169,231)	1.9674	None
ZNF846	CCDC78	-0.41722	39.37	-0.37	rgb(138,169,231)	1.7676	None
ZNF846	CDH22	-0.50851	42.23	-0.23	rgb(167,186,226)	1.8248	None
ZNF846	CDK5R1	0.77096	49.62	0.624	rgb(224, 98, 99)	1.9726	None
ZNF846	CDK5R2	0.28724	31	0	rgb(217,217,217)	1.6001	None
ZNF846	CDKN1C	-0.96353	50.76	-0.76	rgb( 53,117,246)	1.9954	None
ZNF846	CELA3A	0.22515	27	0	rgb(217,217,217)	1.5201	None
ZNF846	CELF4	0.38335	36.45	0.449	rgb(222,131,132)	1.7091	None
ZNF846	CELSR2	0.32805	35	0	rgb(217,217,217)	1.6801	None
ZNF846	CELSR3	0.20355	27	0	rgb(217,217,217)	1.5201	None
ZNF846	CERKL	0.34428	34.44	0.441	rgb(222,133,134)	1.6689	None
ZNF846	CFC1	-0.82656	50.43	-0.43	rgb(125,161,233)	1.9888	None
ZNF846	CFC1B	-0.6185	46.62	-0.62	rgb( 83,136,240)	1.9126	None
ZNF846	CHGB	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ZNF846	CHRM4	0.15832	24	0	rgb(217,217,217)	1.4601	None
ZNF846	CHRNA5	0.42895	40.12	0.203	rgb(219,178,179)	1.7826	None
ZNF846	CIT	0.27869	32	0	rgb(217,217,217)	1.6201	None
ZNF846	CLSTN2	0.80392	50.31	0.307	rgb(220,158,159)	1.9864	None
ZNF846	CNGA4	0.27096	30	0	rgb(217,217,217)	1.5801	None
ZNF846	CNIH2	-0.66039	47.58	-0.58	rgb( 92,141,239)	1.9318	None
ZNF846	CNTD2	0.52747	43.75	0.752	rgb(225, 73, 75)	1.8552	None
ZNF846	COL12A1	0.04399	16	0	rgb(217,217,217)	1.3001	None
ZNF846	COL22A1	0.7703	49.64	0.638	rgb(224, 95, 96)	1.973	None
