Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	4/848	3.2098409480109687e-06	0.00023752823015281166	0	0	inf	inf	NHLH1;GRHL3;LMX1B;TP73
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	4/1120	9.784211818386483e-06	0.00036201583728029987	0	0	inf	inf	NHLH1;GRHL3;LMX1B;TP73
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	4/1478	2.9711263329660046e-05	0.0007328778287982811	0	0	inf	inf	NHLH1;GRHL3;LMX1B;TP73
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	4/1598	4.061293780310502e-05	0.0007513393493574429	0	0	inf	inf	NHLH1;GRHL3;LMX1B;TP73
GO_Biological_Process_2018	mitotic G1 DNA damage checkpoint (GO:0031571)	1/10	0.001998613376756605	0.019704940500449672	0	0	740.2592592592592	4600.934595868677	TP73
GO_Biological_Process_2018	G1 DNA damage checkpoint (GO:0044783)	1/10	0.001998613376756605	0.019704940500449672	0	0	740.2592592592592	4600.934595868677	TP73
GO_Biological_Process_2018	mitotic G1/S transition checkpoint (GO:0044819)	1/10	0.001998613376756605	0.019704940500449672	0	0	740.2592592592592	4600.934595868677	TP73
GO_Biological_Process_2018	negative regulation of JUN kinase activity (GO:0043508)	1/11	0.002198311030839341	0.019704940500449672	0	0	666.2	4077.1879203778294	TP73
GO_Biological_Process_2018	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	1/13	0.002597616681955029	0.019704940500449672	0	0	555.1111111111112	3304.665770221969	TP73
GO_Biological_Process_2018	DNA damage response, signal transduction resulting in transcription (GO:0042772)	1/14	0.0027972246688010858	0.019704940500449672	0	0	512.3846153846154	3012.3745049521203	TP73
GO_Biological_Process_2018	response to X-ray (GO:0010165)	1/15	0.0029968027587318545	0.019704940500449672	0	0	475.7619047619048	2764.2762463526265	TP73
GO_Biological_Process_2018	regulation of cardiac muscle cell proliferation (GO:0060043)	1/18	0.0035953576273759936	0.019704940500449672	0	0	391.7450980392157	2204.7852142154165	TP73
GO_Biological_Process_2018	dopaminergic neuron differentiation (GO:0071542)	1/20	0.003994244696037095	0.019704940500449672	0	0	350.4736842105263	1935.6313838807391	LMX1B
GO_Biological_Process_2018	dorsal/ventral pattern formation (GO:0009953)	1/20	0.003994244696037095	0.019704940500449672	0	0	350.4736842105263	1935.6313838807391	LMX1B
GO_Biological_Process_2018	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	1/20	0.003994244696037095	0.019704940500449672	0	0	350.4736842105263	1935.6313838807391	TP73
GO_Biological_Process_2018	in utero embryonic development (GO:0001701)	1/25	0.004990939090803921	0.020077992607515832	0	0	277.3888888888889	1470.1975024182987	LMX1B
GO_Biological_Process_2018	response to gamma radiation (GO:0010332)	1/26	0.005190188272057036	0.020077992607515832	0	0	266.28	1400.8951674244283	TP73
GO_Biological_Process_2018	negative regulation of JNK cascade (GO:0046329)	1/28	0.005588596948698618	0.020077992607515832	0	0	246.53086419753086	1278.7622529681282	TP73
GO_Biological_Process_2018	primary neural tube formation (GO:0014020)	1/28	0.005588596948698618	0.020077992607515832	0	0	246.53086419753086	1278.7622529681282	GRHL3
GO_Biological_Process_2018	tube closure (GO:0060606)	1/29	0.005787756446431879	0.020077992607515832	0	0	237.7142857142857	1224.7065079220524	GRHL3
GO_Biological_Process_2018	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	1/30	0.005986886053525858	0.020077992607515832	0	0	229.5057471264368	1174.6526106132212	TP73
GO_Biological_Process_2018	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	1/30	0.005986886053525858	0.020077992607515832	0	0	229.5057471264368	1174.6526106132212	TP73
GO_Biological_Process_2018	mismatch repair (GO:0006298)	1/32	0.006385055602597088	0.020077992607515832	0	0	214.67741935483872	1084.93568598441	TP73
GO_Biological_Process_2018	neural tube closure (GO:0001843)	1/33	0.006584095548098064	0.020077992607515832	0	0	207.95833333333331	1044.5951513751504	GRHL3
GO_Biological_Process_2018	regulation of JUN kinase activity (GO:0043506)	1/34	0.00678310561064724	0.020077992607515832	0	0	201.6464646464646	1006.8853706700453	TP73
GO_Biological_Process_2018	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	1/37	0.0073799565223201845	0.02100449164044976	0	0	184.8148148148148	907.2536215941284	TP73
GO_Biological_Process_2018	mitotic DNA damage checkpoint (GO:0044773)	1/39	0.007777707754316145	0.02131668051182944	0	0	175.0701754385965	850.2271896016904	TP73
GO_Biological_Process_2018	intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	1/43	0.008572851807857029	0.02265682263505072	0	0	158.3650793650794	753.6839332107747	TP73
GO_Biological_Process_2018	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1/48	0.009566110051223143	0.023596404793017087	0	0	141.4822695035461	657.8258626058753	TP73
GO_Biological_Process_2018	regulation of cell cycle arrest (GO:0071156)	1/48	0.009566110051223143	0.023596404793017087	0	0	141.4822695035461	657.8258626058753	TP73
GO_Biological_Process_2018	chordate embryonic development (GO:0043009)	1/56	0.011153771349564748	0.026625131608638428	0	0	120.85454545454546	543.3593292987222	LMX1B
GO_Biological_Process_2018	negative regulation of MAP kinase activity (GO:0043407)	1/61	0.012145090247431321	0.02713011692234217	0	0	110.75555555555556	488.52395875680094	TP73
GO_Biological_Process_2018	regulation of actin filament-based process (GO:0032970)	1/62	0.012343264582388234	0.02713011692234217	0	0	108.9344262295082	478.7281035203865	GRHL3
GO_Biological_Process_2018	negative regulation of neuron apoptotic process (GO:0043524)	1/63	0.012541409107047851	0.02713011692234217	0	0	107.1720430107527	469.2763018440372	TP73
GO_Biological_Process_2018	cellular response to light stimulus (GO:0071482)	1/66	0.013135663858227445	0.02713011692234217	0	0	102.2102564102564	442.81820021177793	TP73
GO_Biological_Process_2018	cellular response to UV (GO:0034644)	1/67	0.013333689173978529	0.02713011692234217	0	0	100.65656565656565	434.5808394801602	TP73
GO_Biological_Process_2018	regulation of actin cytoskeleton organization (GO:0032956)	1/75	0.0149168193344818	0.02713011692234217	0	0	89.73873873873873	377.3752568742025	GRHL3
GO_Biological_Process_2018	regulation of gene expression (GO:0010468)	2/1037	0.015025110752988857	0.02713011692234217	0	0	18.319806763285023	76.90714285488883	LMX1B;TP73
GO_Biological_Process_2018	regulation of hematopoietic stem cell differentiation (GO:1902036)	1/76	0.015114576599752119	0.02713011692234217	0	0	88.53777777777779	371.1588342399145	TP73
GO_Biological_Process_2018	regulation of hematopoietic progenitor cell differentiation (GO:1901532)	1/77	0.015312304095757304	0.02713011692234217	0	0	87.36842105263158	365.1212447515326	TP73
GO_Biological_Process_2018	response to ionizing radiation (GO:0010212)	1/77	0.015312304095757304	0.02713011692234217	0	0	87.36842105263158	365.1212447515326	TP73
GO_Biological_Process_2018	epidermis development (GO:0008544)	1/81	0.01610291644199292	0.02713011692234217	0	0	82.98333333333333	342.6178422869891	GRHL3
GO_Biological_Process_2018	positive regulation of cell cycle arrest (GO:0071158)	1/82	0.016300495134466908	0.02713011692234217	0	0	81.95473251028807	337.37155688503344	TP73
GO_Biological_Process_2018	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	1/82	0.016300495134466908	0.02713011692234217	0	0	81.95473251028807	337.37155688503344	TP73
GO_Biological_Process_2018	negative regulation of neuron death (GO:1901215)	1/83	0.01649804407439727	0.02713011692234217	0	0	80.95121951219512	332.26536896176833	TP73
GO_Biological_Process_2018	regulation of stem cell differentiation (GO:2000736)	1/88	0.01748534258913372	0.02784086739802848	0	0	76.27969348659003	308.6575655408228	TP73
GO_Biological_Process_2018	regulation of neuron apoptotic process (GO:0043523)	1/89	0.017682713077126194	0.02784086739802848	0	0	75.4090909090909	304.28833387680316	TP73
GO_Biological_Process_2018	positive regulation of protein localization to membrane (GO:1905477)	1/95	0.018866311727459114	0.028491980976162738	0	0	70.57446808510639	280.20727279514847	TP73
GO_Biological_Process_2018	regulation of cytoskeleton organization (GO:0051493)	1/95	0.018866311727459114	0.028491980976162738	0	0	70.57446808510639	280.20727279514847	GRHL3
GO_Biological_Process_2018	response to UV (GO:0009411)	1/98	0.01945770986826378	0.0287974106050304	0	0	68.38144329896907	269.3895091508751	TP73
GO_Biological_Process_2018	intrinsic apoptotic signaling pathway (GO:0097193)	1/101	0.02004884065528237	0.02909047467629207	0	0	66.32	259.28360753618125	TP73
GO_Biological_Process_2018	positive regulation of cell cycle process (GO:0090068)	1/107	0.021230300482516	0.030212350686657383	0	0	62.54716981132076	240.952079089247	TP73
GO_Biological_Process_2018	positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	1/110	0.021820629685473325	0.030466539560849545	0	0	60.81651376146789	232.617049478511	TP73
GO_Biological_Process_2018	regulation of macromolecule metabolic process (GO:0060255)	1/129	0.02555318334636167	0.03464456279578238	0	0	51.73958333333334	189.72870942660518	TP73
GO_Biological_Process_2018	generation of neurons (GO:0048699)	1/130	0.025749337213081498	0.03464456279578238	0	0	51.33591731266151	187.85590377250514	LMX1B
GO_Biological_Process_2018	regulation of signal transduction by p53 class mediator (GO:1901796)	1/138	0.027317502345150724	0.03571913764287435	0	0	48.31873479318735	173.95844601426845	TP73
GO_Biological_Process_2018	neuron differentiation (GO:0030182)	1/139	0.02751338980599781	0.03571913764287435	0	0	47.96618357487922	172.34645435203774	LMX1B
GO_Biological_Process_2018	regulation of mitotic cell cycle (GO:0007346)	1/165	0.032596087882055924	0.0415881121253817	0	0	40.3089430894309	138.0002061876587	TP73
GO_Biological_Process_2018	regulation of cell cycle (GO:0051726)	1/215	0.04231448517640202	0.052665419917354864	0	0	30.81308411214953	97.45025517243977	TP73
GO_Biological_Process_2018	central nervous system development (GO:0007417)	1/217	0.04270169182488232	0.052665419917354864	0	0	30.524691358024693	96.26012513021864	NHLH1
GO_Biological_Process_2018	regulation of programmed cell death (GO:0043067)	1/268	0.05253585305827947	0.06373201846414231	0	0	24.630461922596755	72.56773063252379	TP73
GO_Biological_Process_2018	DNA repair (GO:0006281)	1/288	0.056371629970277164	0.06728226802904047	0	0	22.890824622531944	65.82918764193937	TP73
GO_Biological_Process_2018	cellular response to DNA damage stimulus (GO:0006974)	1/329	0.0641985520270834	0.07540782301593922	0	0	19.98780487804878	54.88200739634326	TP73
