Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	positive regulation of transport (GO:0051050)	3/44	0.0015925609635439439	0.30400928341184463	0	0	14.242467718794837	91.75584336867176	NR4A3;CALY;CCL19
GO_Biological_Process_2018	positive regulation of muscle hypertrophy (GO:0014742)	2/14	0.0023841376349213123	0.30400928341184463	0	0	32.17313915857605	194.29094270402078	NR4A3;AGT
GO_Biological_Process_2018	dendritic cell chemotaxis (GO:0002407)	2/16	0.003122475322970661	0.30400928341184463	0	0	27.57420249653259	159.07913731247376	CCL19;CCR6
GO_Biological_Process_2018	positive regulation of cardiac muscle hypertrophy (GO:0010613)	2/16	0.003122475322970661	0.30400928341184463	0	0	27.57420249653259	159.07913731247376	NR4A3;AGT
GO_Biological_Process_2018	response to purine-containing compound (GO:0014074)	2/17	0.00352672379591105	0.30400928341184463	0	0	25.734627831715212	145.33337544284453	KCNJ11;VGF
GO_Biological_Process_2018	response to organophosphorus (GO:0046683)	2/18	0.003954024129976149	0.30400928341184463	0	0	24.125	133.48414251930805	KCNJ11;VGF
GO_Biological_Process_2018	regulation of long-term synaptic potentiation (GO:1900271)	2/19	0.004404127838497018	0.30400928341184463	0	0	22.704740148486575	123.17805215827336	SCGN;ARC
GO_Biological_Process_2018	regulation of cardiac muscle hypertrophy (GO:0010611)	2/21	0.005371761068252887	0.30400928341184463	0	0	20.312723556463972	106.16647034820306	NR4A3;AGT
GO_Biological_Process_2018	regulation of dendritic spine morphogenesis (GO:0061001)	2/23	0.00642767395117976	0.30400928341184463	0	0	18.37632917244568	92.74795298210094	ARC;CDK5R1
GO_Biological_Process_2018	peptidyl-serine phosphorylation (GO:0018105)	4/145	0.0071982971065627874	0.30400928341184463	0	0	5.548486763569974	27.375738732650884	STK33;MAST1;MAPK12;CDK5R1
GO_Biological_Process_2018	extracellular matrix disassembly (GO:0022617)	3/78	0.00804379974153865	0.30400928341184463	0	0	7.772549019607843	37.485866819135744	MMP11;SCUBE1;SPP1
GO_Biological_Process_2018	regulation of dendritic spine development (GO:0060998)	2/31	0.011496181765014754	0.30400928341184463	0	0	13.301640441914964	59.401672032660606	ARC;CDK5R1
GO_Biological_Process_2018	peptidyl-serine modification (GO:0018209)	4/170	0.012394534384109378	0.30400928341184463	0	0	4.706906835261839	20.665672949376546	STK33;MAST1;MAPK12;CDK5R1
GO_Biological_Process_2018	axon development (GO:0061564)	3/94	0.013345285724056678	0.30400928341184463	0	0	6.400775694893342	27.629537707460628	LRFN1;NREP;CDK5R1
GO_Biological_Process_2018	regulation of receptor-mediated endocytosis (GO:0048259)	2/36	0.01531317418094131	0.30400928341184463	0	0	11.342661336379214	47.40145543400283	APOC3;CCL19
GO_Biological_Process_2018	alpha-amino acid catabolic process (GO:1901606)	2/39	0.017828898361499357	0.30400928341184463	0	0	10.4214117029651	41.9663437289938	AADAT;BLMH
GO_Biological_Process_2018	negative regulation of catabolic process (GO:0009895)	2/40	0.018703777270415414	0.30400928341184463	0	0	10.14665304036791	40.373834639801686	MAD2L2;APOC3
GO_Biological_Process_2018	regulation of dendrite morphogenesis (GO:0048814)	2/44	0.022379253360945664	0.30400928341184463	0	0	9.17845584835876	34.874653024915645	ARC;CDK5R1
GO_Biological_Process_2018	cytoplasmic microtubule organization (GO:0031122)	2/48	0.02632649409560189	0.30400928341184463	0	0	8.378640776699031	30.474620192738882	STMN3;FSD1
GO_Biological_Process_2018	negative regulation of multicellular organismal process (GO:0051241)	3/125	0.02817255359765881	0.30400928341184463	0	0	4.766875602700097	17.014919390654793	MAD2L2;PTCH1;APOC3
GO_Biological_Process_2018	axonogenesis (GO:0007409)	4/223	0.030043685446169238	0.30400928341184463	0	0	3.5582078755820787	12.471884298676963	EFNB3;DOK6;LRFN1;CDK5R1
GO_Biological_Process_2018	protein sulfation (GO:0006477)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	TPST2
GO_Biological_Process_2018	azole transport (GO:0045117)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	SLC38A3
GO_Biological_Process_2018	immunological synapse formation (GO:0001771)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	CCL19
GO_Biological_Process_2018	response to catecholamine (GO:0071869)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	NR4A3
GO_Biological_Process_2018	regulation of renal sodium excretion (GO:0035813)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	AGT
GO_Biological_Process_2018	positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	CCL19
GO_Biological_Process_2018	cellular response to monoamine stimulus (GO:0071868)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	NR4A3
GO_Biological_Process_2018	regulation of NAD(P)H oxidase activity (GO:0033860)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	AGT
GO_Biological_Process_2018	positive regulation of activation of Janus kinase activity (GO:0010536)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	AGT
GO_Biological_Process_2018	positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	NR4A3
GO_Biological_Process_2018	positive regulation of antigen processing and presentation (GO:0002579)	1/6	0.03109309157643278	0.30400928341184463	0	0	38.25	132.75693797566336	CCL19
GO_Biological_Process_2018	cellular response to organic cyclic compound (GO:0071407)	3/135	0.03425509975109014	0.30400928341184463	0	0	4.403520499108733	14.85712512281628	NR4A3;SPP1;SSTR1
GO_Biological_Process_2018	cellular defense response (GO:0006968)	2/56	0.034985892558942265	0.30400928341184463	0	0	7.134483998561668	23.9205719242155	LSP1;CCR6
GO_Biological_Process_2018	regulation of neurogenesis (GO:0050767)	2/57	0.03613632036113205	0.30400928341184463	0	0	7.00441306266549	23.257851090686625	NREP;CDK5R1
GO_Biological_Process_2018	L-alanine transport (GO:0015808)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	SLC38A3
GO_Biological_Process_2018	axon regeneration (GO:0031103)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	NREP
GO_Biological_Process_2018	regulation of T-helper 1 cell differentiation (GO:0045625)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	CCL19
GO_Biological_Process_2018	regulation of activation of Janus kinase activity (GO:0010533)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	AGT
GO_Biological_Process_2018	positive regulation of lipid transport (GO:0032370)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	SPP1
GO_Biological_Process_2018	regulation of cell projection organization (GO:0031344)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	CCL19
GO_Biological_Process_2018	positive regulation of glutamate receptor signaling pathway (GO:1900451)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	ARC
GO_Biological_Process_2018	regulation of extracellular matrix organization (GO:1903053)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	AGT
GO_Biological_Process_2018	chylomicron remnant clearance (GO:0034382)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	APOC3
GO_Biological_Process_2018	regulation of lymphocyte migration (GO:2000401)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	CCR6
GO_Biological_Process_2018	regulation of low-density lipoprotein particle clearance (GO:0010988)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	APOC3
GO_Biological_Process_2018	regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	AGT
GO_Biological_Process_2018	cellular response to cholesterol (GO:0071397)	1/7	0.03618136368378441	0.30400928341184463	0	0	31.87339743589743	105.79453482142874	PTCH1
