Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	cAMP signaling pathway	4/212	0.025585771316172914	0.6766312538041859	0	0	3.748476770753999	13.740862107193363	PTCH1;SSTR1;CNGA4;GRIN1
KEGG_2019_Human	Cocaine addiction	2/49	0.02735427091070469	0.6766312538041859	0	0	8.199958686221857	29.51068867504407	GRIN1;CDK5R1
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	2/51	0.02945761825403563	0.6766312538041859	0	0	7.864473944917773	27.72071913660777	MAPK12;GRIN1
KEGG_2019_Human	Neuroactive ligand-receptor interaction	5/338	0.032864613326492084	0.6766312538041859	0	0	2.937237237237237	10.03171899550191	PYY;CHRNA5;SSTR1;AGT;GRIN1
KEGG_2019_Human	Shigellosis	2/65	0.04584659011792445	0.6766312538041859	0	0	6.112498073663122	18.841496908736655	MAD2L2;MAPK12
KEGG_2019_Human	Amphetamine addiction	2/68	0.04970869973142907	0.6766312538041859	0	0	5.833774639599882	17.510513959080846	ARC;GRIN1
KEGG_2019_Human	MAPK signaling pathway	4/295	0.06998266536203919	0.6766312538041859	0	0	2.6680276275050185	7.095640033263408	FGF17;DUSP2;MAPK12;MAPK8IP1
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	2/85	0.07360681552000055	0.6766312538041859	0	0	4.6349280617616095	12.0926091444628	MYBPC3;AGT
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	2/91	0.08276650556250087	0.6766312538041859	0	0	4.3211519581106135	10.767151840097576	MYBPC3;AGT
KEGG_2019_Human	Rap1 signaling pathway	3/206	0.0944543430347554	0.6766312538041859	0	0	2.8530860620110112	6.732252296973077	FGF17;MAPK12;GRIN1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	2/99	0.09548505717877534	0.6766312538041859	0	0	3.9631668501651487	9.30862888354816	MAD2L2;MAPK12
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	0.09711249980836767	0.6766312538041859	0	0	3.9225282345948087	9.146885461046203	AGT;MAPK12
KEGG_2019_Human	Toll-like receptor signaling pathway	2/104	0.10370031764787367	0.6766312538041859	0	0	3.7679421283076335	8.539099227365618	SPP1;MAPK12
KEGG_2019_Human	C-type lectin receptor signaling pathway	2/104	0.10370031764787367	0.6766312538041859	0	0	3.7679421283076335	8.539099227365618	LSP1;MAPK12
KEGG_2019_Human	Mannose type O-glycan biosynthesis	1/23	0.11408521522248792	0.6766312538041859	0	0	8.685751748251747	18.855113346734395	CHST10
KEGG_2019_Human	Proximal tubule bicarbonate reclamation	1/23	0.11408521522248792	0.6766312538041859	0	0	8.685751748251747	18.855113346734395	SLC38A3
