Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	megakaryocyte differentiation (GO:0030219)	2/9	0.0012093708785025658	0.2881869502150851	0	0	48.95320197044335	328.8507214789553	IL11;KIT
GO_Biological_Process_2018	pulmonary valve development (GO:0003177)	2/10	0.0015058881139702427	0.2881869502150851	0	0	42.831896551724135	278.33761635636915	HEYL;HEY1
GO_Biological_Process_2018	pulmonary valve morphogenesis (GO:0003184)	2/12	0.002191656893273637	0.2881869502150851	0	0	34.262068965517244	209.78998707813716	HEYL;HEY1
GO_Biological_Process_2018	regulation of neurotransmitter transport (GO:0051588)	2/13	0.002580171147718557	0.2881869502150851	0	0	31.14576802507837	185.62564871011088	CPLX1;SYN1
GO_Biological_Process_2018	atrioventricular valve morphogenesis (GO:0003181)	2/15	0.003446640179952305	0.2881869502150851	0	0	26.35145888594165	149.42213675257386	HEYL;HEY1
GO_Biological_Process_2018	mesenchyme morphogenesis (GO:0072132)	2/15	0.003446640179952305	0.2881869502150851	0	0	26.35145888594165	149.42213675257386	HEYL;HEY1
GO_Biological_Process_2018	endocardial cushion morphogenesis (GO:0003203)	2/15	0.003446640179952305	0.2881869502150851	0	0	26.35145888594165	149.42213675257386	HEYL;HEY1
GO_Biological_Process_2018	cardiac epithelial to mesenchymal transition (GO:0060317)	2/16	0.003923876780538224	0.2881869502150851	0	0	24.467980295566502	135.56913013169284	HEYL;HEY1
GO_Biological_Process_2018	cardiac ventricle development (GO:0003231)	2/16	0.003923876780538224	0.2881869502150851	0	0	24.467980295566502	135.56913013169284	HEYL;HEY1
GO_Biological_Process_2018	mitotic G2 DNA damage checkpoint (GO:0007095)	2/17	0.004429974545603625	0.28924710756123617	0	0	22.835632183908054	123.75454453501878	BRSK1;CLSPN
GO_Biological_Process_2018	protein O-linked glycosylation (GO:0006493)	4/115	0.004813491956389709	0.28924710756123617	0	0	6.249723407618143	33.35060200983878	MUC16;TET1;MUC5B;MUC5AC
GO_Biological_Process_2018	endocardial cushion development (GO:0003197)	2/19	0.005527351502925381	0.29190413286906514	0	0	20.147058823529417	104.72534881923895	HEYL;HEY1
GO_Biological_Process_2018	O-glycan processing (GO:0016266)	3/65	0.006703452251782896	0.29190413286906514	0	0	8.339410939691444	41.73985775774681	MUC16;MUC5B;MUC5AC
GO_Biological_Process_2018	ventricular septum morphogenesis (GO:0060412)	2/21	0.0067359975618724605	0.29190413286906514	0	0	18.024500907441016	90.1277201788312	HEYL;HEY1
GO_Biological_Process_2018	mitotic G2/M transition checkpoint (GO:0044818)	2/23	0.008053187740179558	0.29190413286906514	0	0	16.30623973727422	78.62358861768864	BRSK1;CLSPN
GO_Biological_Process_2018	positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	2/25	0.009476244823965935	0.29190413286906514	0	0	14.88680659670165	69.35714300374292	EPHA8;KIT
GO_Biological_Process_2018	regulation of neurotransmitter secretion (GO:0046928)	2/27	0.011002538632022059	0.29190413286906514	0	0	13.694482758620689	61.7570399856194	CPLX1;SYN1
GO_Biological_Process_2018	positive regulation of lipid kinase activity (GO:0090218)	2/27	0.011002538632022059	0.29190413286906514	0	0	13.694482758620689	61.7570399856194	EPHA8;KIT
GO_Biological_Process_2018	negative regulation of cell communication (GO:0010648)	3/78	0.011048238684188551	0.29190413286906514	0	0	6.889391304347826	31.040044074584884	IL11;EPHA8;KIT
GO_Biological_Process_2018	positive regulation of phospholipid metabolic process (GO:1903727)	2/28	0.01180359006217003	0.29190413286906514	0	0	13.16710875331565	58.453424669194824	EPHA8;KIT
GO_Biological_Process_2018	ventricular septum development (GO:0003281)	2/28	0.01180359006217003	0.29190413286906514	0	0	13.16710875331565	58.453424669194824	HEYL;HEY1
GO_Biological_Process_2018	ephrin receptor signaling pathway (GO:0048013)	3/82	0.012645174599976423	0.29190413286906514	0	0	6.539240506329113	28.579617174390354	EFNB3;EPHA8;CDK5R1
GO_Biological_Process_2018	negative regulation of signaling (GO:0023057)	3/83	0.01306395528892188	0.29190413286906514	0	0	6.457173913043477	28.01056403583397	IL11;EPHA8;KIT
GO_Biological_Process_2018	cyclic purine nucleotide metabolic process (GO:0052652)	2/30	0.01347990849943326	0.29190413286906514	0	0	12.225369458128078	52.64922549481143	NPPB;ADORA2A
GO_Biological_Process_2018	G2 DNA damage checkpoint (GO:0031572)	2/32	0.015253089305548848	0.29190413286906514	0	0	11.409195402298849	47.72435881851582	BRSK1;CLSPN
GO_Biological_Process_2018	regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	2/33	0.016175229143783044	0.29190413286906514	0	0	11.040600667408233	45.53446528173579	EPHA8;KIT
GO_Biological_Process_2018	flagellated sperm motility (GO:0030317)	2/35	0.01808908383852241	0.29190413286906514	0	0	10.37042842215256	41.610790527394144	DNAH11;TNP1
GO_Biological_Process_2018	epithelial to mesenchymal transition (GO:0001837)	2/37	0.02009370508592417	0.29190413286906514	0	0	9.776847290640395	38.20155148052414	HEYL;HEY1
GO_Biological_Process_2018	mitotic DNA damage checkpoint (GO:0044773)	2/39	0.022186730165475285	0.29190413286906514	0	0	9.24743709226468	35.216653187978686	BRSK1;CLSPN
GO_Biological_Process_2018	regulation of cellular localization (GO:0060341)	2/40	0.02326566734952961	0.29190413286906514	0	0	9.003629764065336	33.86063931601003	CPLX1;SYN1
GO_Biological_Process_2018	positive regulation of intracellular signal transduction (GO:1902533)	7/479	0.023515498251416782	0.29190413286906514	0	0	2.593334860284013	9.725253584423811	BST2;IL11;EPHA8;RRAGD;KIT;IGF2;LTF
GO_Biological_Process_2018	negative regulation of signal transduction (GO:0009968)	5/283	0.02630788516253625	0.29190413286906514	0	0	3.1202648500668486	11.351169588745858	HEY1;EPHA8;PTCH1;KIT;LTF
GO_Biological_Process_2018	cardiac ventricle morphogenesis (GO:0003208)	2/43	0.02662875130043781	0.29190413286906514	0	0	8.343566021867115	30.251799402732058	HEYL;HEY1
GO_Biological_Process_2018	myeloid cell differentiation (GO:0030099)	2/44	0.027790933330608662	0.29190413286906514	0	0	8.144499178981937	29.182110731214266	IL11;KIT
GO_Biological_Process_2018	negative regulation of cell growth (GO:0030308)	3/115	0.030678303727497674	0.29190413286906514	0	0	4.604813664596273	16.04408989697842	NPPB;BST2;CCDC85B
GO_Biological_Process_2018	positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	3/116	0.0313610100859813	0.29190413286906514	0	0	4.5638322431704506	15.80085378187963	IL11;KIT;IGF2
GO_Biological_Process_2018	regulation of MAPK cascade (GO:0043408)	4/203	0.03231977976878106	0.29190413286906514	0	0	3.4705104469717005	11.911055124976187	IL11;EPHA8;KIT;IGF2
GO_Biological_Process_2018	negative regulation of growth (GO:0045926)	3/120	0.034171306333064505	0.29190413286906514	0	0	4.406911928651058	14.879360747490267	NPPB;BST2;CCDC85B
GO_Biological_Process_2018	epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	HEYL
GO_Biological_Process_2018	positive regulation of osteoblast proliferation (GO:0033690)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	LTF
GO_Biological_Process_2018	nucleus localization (GO:0051647)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	SYNE2
GO_Biological_Process_2018	regulation of renal sodium excretion (GO:0035813)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	NPPB
GO_Biological_Process_2018	single strand break repair (GO:0000012)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	TNP1
GO_Biological_Process_2018	positive regulation of sodium ion transmembrane transport (GO:1902307)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	WNK3
GO_Biological_Process_2018	regulation of osteoclast development (GO:2001204)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	LTF
GO_Biological_Process_2018	heart trabecula formation (GO:0060347)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	HEY1
GO_Biological_Process_2018	neuron remodeling (GO:0016322)	1/6	0.034886035829977916	0.29190413286906514	0	0	33.97777777777777	114.01816366271532	EPHA8
GO_Biological_Process_2018	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	3/121	0.034893681872600224	0.29190413286906514	0	0	4.369344141488578	14.661113620704207	MUC16;MUC5B;MUC5AC
GO_Biological_Process_2018	heart morphogenesis (GO:0003007)	2/50	0.035176955009368155	0.29190413286906514	0	0	7.124281609195402	23.8475644827565	HEYL;HEY1
GO_Biological_Process_2018	negative regulation of viral genome replication (GO:0045071)	2/50	0.035176955009368155	0.29190413286906514	0	0	7.124281609195402	23.8475644827565	BST2;LTF
GO_Biological_Process_2018	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	3/124	0.03710809480404426	0.29190413286906514	0	0	4.260366510959396	14.03330707289196	MUC16;MUC5B;MUC5AC
GO_Biological_Process_2018	B cell differentiation (GO:0030183)	2/52	0.03778986730255115	0.29190413286906514	0	0	6.838620689655173	22.401367401217843	IL11;KIT
GO_Biological_Process_2018	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	2/53	0.039123445033708855	0.29190413286906514	0	0	6.70419202163624	21.728510090904766	KIT;IGF2
GO_Biological_Process_2018	embryonic organ development (GO:0048568)	2/53	0.039123445033708855	0.29190413286906514	0	0	6.70419202163624	21.728510090904766	HEY1;KIT
GO_Biological_Process_2018	regulation of calcium ion-dependent exocytosis (GO:0017158)	2/53	0.039123445033708855	0.29190413286906514	0	0	6.70419202163624	21.728510090904766	C2CD4B;SYN1
GO_Biological_Process_2018	positive regulation of urine volume (GO:0035810)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	NPPB
GO_Biological_Process_2018	regulation of glycogen (starch) synthase activity (GO:2000465)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	IGF2
GO_Biological_Process_2018	dorsal aorta development (GO:0035907)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	HEY1
GO_Biological_Process_2018	bone cell development (GO:0098751)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	KIT
GO_Biological_Process_2018	chylomicron remnant clearance (GO:0034382)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	APOC3
GO_Biological_Process_2018	melanocyte differentiation (GO:0030318)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	KIT
GO_Biological_Process_2018	regulation of tube diameter (GO:0035296)	1/7	0.0405819006488554	0.29190413286906514	0	0	28.313390313390318	90.72836533687504	NPPB
