	genes
RFX6	0
NEUROD1	1
ASCL1	2
SV2B	3
CHGA	3
SCG2	1
NEUROG3	1
DNAJC12	1
GNAO1	1
SCG3	3
TSPAN11	0
LMX1A	3
AB074188	3
DACH1	4
CA8	4
CHGB	5
CRYBA2	6
PCSK1	2
SNAP25	3
ST18	4
MAPK8IP1	2
ETV1	1
ISLR2	1
FEV	0
HMP19	4
CCND2	0
AMPD3	0
C1QL1	1
KLK12	2
SH3RF3	1
SPINK4	1
SUSD2	1
C14orf132	1
CACNA2D1	1
RGS9	2
STMN3	0
CELF3	0
ARX	3
KIF1A	0
SVOP	3
ATOH8	7
TMEM8C	1
E2F7	2
BLMH	2
CIT	2
TAGLN3	0
USP13	3
SMAD9	0
PNPO	2
CABP7	1
CHRNA1	1
TMEM61	2
ENPP2	2
HEPACAM2	1
KCNJ6	1
GAD2	3
JAM3	3
KCNH6	0
KCNK16	0
MIAT	2
DOK6	3
CCDC113	0
AMER3	0
HHEX	5
ACOT7	2
CHST9	3
PYY	3
ASXL3	1
OR51E1	0
TOX	1
SOX4	1
PTCH1	7
ZNF846	5
NAT14	0
AK092048	4
NKX2-2	4
AGT	3
CLPS	1
SLC6A17	0
VASH2	1
YPEL1	1
ABCC8	0
BAALC	3
ID4	3
NR4A3	0
NUP210	0
TMEM151A	2
VSTM2L	3
C21orf58	2
ACSS3	0
SLC18A1	0
BTBD17	0
TFCP2L1	2
PTPRN2	0
TP73	0
PTPRN	3
C22orf42	1
HES4	7
TMEM158	0
KIAA2022	3
CFC1B	1
TET1	7
RUSC1-AS1	0
PGA4	1
STARD9	1
ISL1	2
MAPK4	1
MYT1	4
OGFRL1	2
SCN2A	1
PELI3	2
TMEM200A	3
CDRT4	3
ARNT2	0
SDK1	0
INSC	3
BRSK1	7
GHRL	0
HLA-DQA2	3
NOVA2	0
GIP	0
GPC5-AS1	3
LMX1B	4
COL22A1	0
STX2	7
NFAT5	5
DNAJB13	3
HOPX	3
SCGB1C1	0
ADAMTSL2	2
AKR1B1	1
CDH22	6
HES6	1
KIF19	1
AKT3	0
MPP2	1
PTP4A3	1
RASD1	0
CDK5R2	0
GNG2	2
GSTM2	2
MIR7-3HG	0
RIIAD1	6
NPW	2
TAF9B	2
KLHL32	2
MARCH4	4
ASCL2	2
PLEKHB1	1
IGSF10	3
FOXP2	6
CLEC4G	3
PCSK2	1
MAP6	1
NOL4	4
MAFA	2
SEPT5-GP1BB	4
DKK3	1
GABRE	3
KIAA1324	0
EBF3	0
SSTR5	0
ARHGAP9	1
GOLGA6L5	5
MIR137HG	3
GATA2	3
STX1A	3
IGFN1	1
KCNK3	1
LRRN2	1
PCBP4	2
SPON2	1
STXBP1	1
ACTL6B	1
C1orf127	0
EVL	0
KCNMA1	3
KCTD12	0
PROX1	6
SEZ6	0
SLC8A1	1
SSTR2	1
TMEM132B	3
PHGR1	1
GDAP1	2
HCN4	4
KCNH2	1
KCNH3	0
C4orf48	2
DCHS1	0
KCNB2	1
KCNF1	1
ADM5	6
SAMD11	0
PGM5	6
TUB	0
SYT4	4
CHST8	2
PRR5-ARHGAP8	6
PBX3	2
FTCD	3
RCOR2	0
ZNF519	5
AL831889	3
DKFZp686M11215	5
CCDC14	5
AK094786	3
CCDC17	5
BX649158	5
THRA1	5
SUCNR1	4
CSH1	4
LOC389332	7
CELA3A	1
QDPR	2
SLC7A2	5
UTS2B	6
SHF	1
ABCC9	5
EXOSC4	0
SPDYE7P	5
PAX4	2
GCH1	2
LINC00894	5
COL16A1	0
SSTR3	1
TMOD1	3
CELSR3	7
GPR148	0
LZTS1	1
RIMBP2	2
SPTBN4	0
TMEFF2	3
ANK2	3
EML1	2
GRIK5	3
MAP3K12	0
RNF150	7
SYT5	2
VGF	0
COL1A2	3
CHRNA5	2
SPC25	2
CACNG7	0
PDE6B	1
CNIH2	2
PAX6	0
CDH5	1
FCGBP	3
RPS15AP10	1
STXBP5L	3
CACNA1E	3
CACNA1H	0
GLT8D2	1
MCF2L	1
MEX3B	1
RAB26	1
SLC1A2	1
CADM2	0
LRRTM3	0
SCGN	3
ST8SIA5	4
DHRS2	0
LTBP2	2
SPIB	0
IL17C	4
FAM101B	3
FXYD6	2
CENPE	5
FAM227A	5
USH1G	3
LEFTY1	2
ADCY2	6
PTCHD2	4
TFF2	3
CELA3B	5
PDZRN3	0
LIMCH1	1
CACNA1C	3
ZNF382	5
TMEM189-UBE2V1	5
LOC646214	5
SPDYE5	2
ZBTB25	0
ANKRD65	0
AK5	2
CAMK2B	0
DOCK8	6
SEC11C	0
ADAM12	0
ITGBL1	2
SIX2	3
SLITRK6	3
SBK1	2
HCP5	3
FJX1	7
ADH6	2
MMD2	0
SCGB1A1	6
ROBO1	3
TTR	5
SGCD	2
RGS11	3
FUT1	1
RAP1GAP2	1
MAFB	3
TSPAN7	2
KCNIP3	3
FAIM2	2
LINC00643	0
CCDC88A	2
MLLT11	0
LINC00893	2
C10orf10	1
SCT	0
GTF2IRD1P1	5
KCNH8	7
MALAT1	5
RNPC3	6
SSPO	3
ABCA9	5
AP3B2	5
INSRR	0
OLFML2B	1
PGA5	1
SRSF12	0
ZDHHC8P1	3
NHLH1	2
SIDT1	0
FGF14	0
FRMPD4	3
MMRN1	3
SCG5	3
FABP5	2
JAKMIP1	3
CAMKV	0
CYP4F24P	3
LINC00617	3
SV2A	5
MYBPC3	0
FOXJ1	2
FAM13A-AS1	3
RUNX1T1	3
AMBP	3
NEUROD2	1
ENTPD1	3
GDF10	5
AK125301	5
NINJ1	1
RPL36A-HNRNPH2	5
GPR137C	3
CELSR2	2
WNK3	7
OLFML3	2
EIF4EBP1	2
WSB1	0
DLL4	1
PDE2A	3
SERPINI1	1
ACSL6	1
CNGA3	0
ILDR2	4
NKD1	1
TPPP3	0
FCAMR	3
PKHD1L1	2
CERS1	0
GRIN1	0
PPM1E	2
BTBD11	0
IFI6	2
TMEM198	0
ZNF492	5
C7	2
DDC	2
LRP1B	1
MAP9	0
JMJD1C-AS1	3
MUC16	7
RTN4RL1	0
CCNA1	3
EPHB3	2
RBP1	1
ONECUT1	6
SFMBT2	1
NPTX2	0
SCN1B	2
CTPS1	2
HERC2P4	3
C7orf41	2
RET	0
SYP	3
PPP1R16B	1
FAM126A	1
KCNMB2	3
LINC00261	1
PDE8B	3
REEP2	2
SYT14	0
CYP27A1	4
ZNF883	2
BOC	3
CERKL	4
FLJ22184	0
MAP1B	0
NEGR1	3
CDKN1C	2
CPT1C	3
CNTNAP4	3
LINC00939	7
CCDC85B	7
CNGA4	3
SLC6A16	4
GABRP	2
DNAH14	3
KCNE4	1
PMP22	1
UCP2	2
DNLZ	2
MAPK10	5
POU5F1	5
GPBAR1	3
LOC653513	3
NOXO1	5
abParts	7
ZFP69B	2
TMEM178B	1
PNISR	7
NHSL2	6
HIC1	0
GPR162	5
DSCAML1	1
CACNA1A	3
NCAM1	3
RPRML	1
SCN3B	0
BAIAP3	2
DDN	0
LRRC49	0
MAPK12	0
NACAD	3
NDRG4	3
TEKT2	2
KIRREL3	3
MAD2L2	2
PTGDR2	0
AK024119	4
CCDC28B	1
CCDC86	0
RGS5	2
NALCN	5
SH3TC2	2
FAM181B	3
UNC80	6
DTX3	7
SLC30A8	3
DEFB1	2
IMPG1	1
BMS1P1	5
C9orf16	1
CACNA1G	3
DOCK4	6
GPRIN3	5
ITGA7	6
PLGLB2	5
BC029255	5
FDPSP2	5
ATP13A4	3
CACNG4	0
