Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	4/64	0.00024401974190636801	0.12396202888843495	0	0	14.538461538461537	120.93472381591832	TRO;CADM3;CADM2;ROBO1
GO_Biological_Process_2018	positive regulation of cholesterol efflux (GO:0010875)	2/13	0.0016830277609427814	0.2064199795092276	0	0	38.89345063538612	248.41872595848844	PTCH1;PLTP
GO_Biological_Process_2018	brain development (GO:0007420)	4/119	0.002500527314553328	0.2064199795092276	0	0	7.56426182513139	45.31941122042103	PTCH1;FOXJ1;GRIN2C;NKX2-2
GO_Biological_Process_2018	regulation of protein homodimerization activity (GO:0043496)	2/16	0.002565372929582209	0.2064199795092276	0	0	30.55453149001536	182.2776841487772	ITGA4;BCL2
GO_Biological_Process_2018	high-density lipoprotein particle remodeling (GO:0034375)	2/17	0.002898455238491486	0.2064199795092276	0	0	28.516129032258068	166.63620601613766	APOC3;PLTP
GO_Biological_Process_2018	positive regulation of cholesterol transport (GO:0032376)	2/17	0.002898455238491486	0.2064199795092276	0	0	28.516129032258068	166.63620601613766	PTCH1;PLTP
GO_Biological_Process_2018	negative regulation of multicellular organismal process (GO:0051241)	4/125	0.0029866567645375174	0.2064199795092276	0	0	7.186994823358459	41.78231782056417	PTCH1;APOC3;EVL;ROBO1
GO_Biological_Process_2018	regulation of cholesterol efflux (GO:0010874)	2/18	0.003250708338727993	0.2064199795092276	0	0	26.73252688172043	153.1475015842614	PTCH1;PLTP
GO_Biological_Process_2018	peptidyl-threonine phosphorylation (GO:0018107)	3/68	0.004162142162993946	0.2340099076542715	0	0	9.953177257525084	54.560584525740644	STK33;SBK1;MAP3K12
GO_Biological_Process_2018	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	4/142	0.0047068504330315475	0.2340099076542715	0	0	6.296225513616817	33.73981216559619	TRO;CADM3;CADM2;ROBO1
GO_Biological_Process_2018	peptidyl-serine phosphorylation (GO:0018105)	4/145	0.005067143669679108	0.2340099076542715	0	0	6.161328033668458	32.56248310193132	STK33;PRKCH;SBK1;MAP3K12
GO_Biological_Process_2018	axon guidance (GO:0007411)	4/158	0.006842250013434211	0.2404369567838528	0	0	5.6375053517910665	28.10092707799873	NCAM1;GFRA1;EVL;ROBO1
GO_Biological_Process_2018	protein phosphorylation (GO:0006468)	7/470	0.007087668513324575	0.2404369567838528	0	0	3.3402218731592384	16.532090244584392	STK33;PRKCH;SBK1;NEK10;KSR2;ROS1;MAP3K12
GO_Biological_Process_2018	peptidyl-threonine modification (GO:0018210)	3/89	0.008780728473580883	0.2404369567838528	0	0	7.514787664307381	35.583991775880364	STK33;SBK1;MAP3K12
GO_Biological_Process_2018	peptidyl-serine modification (GO:0018209)	4/170	0.008808710403903807	0.2404369567838528	0	0	5.226797299086456	24.733279188344248	STK33;PRKCH;SBK1;MAP3K12
GO_Biological_Process_2018	MAPK cascade (GO:0000165)	5/278	0.010508085474591368	0.2404369567838528	0	0	3.9951159951159956	18.20019146898596	NEFL;NCAM1;GFRA1;GRIN2C;MAP3K12
