	genes
RFX6	0
NEUROD1	0
ASCL1	0
SV2B	1
CHGA	0
SCG2	1
NEUROG3	1
DNAJC12	1
GNAO1	0
SCG3	1
TSPAN11	1
LMX1A	1
AB074188	2
DACH1	3
CA8	4
CHGB	0
CRYBA2	1
PCSK1	1
SNAP25	1
ST18	2
MAPK8IP1	1
ETV1	1
ISLR2	0
FEV	1
HMP19	3
CCND2	1
AMPD3	0
C1QL1	0
KLK12	1
SH3RF3	0
SPINK4	1
SUSD2	1
C14orf132	0
CACNA2D1	1
RGS9	0
STMN3	0
CELF3	1
ARX	1
KIF1A	0
SVOP	1
ATOH8	3
TMEM8C	0
E2F7	0
BLMH	0
CIT	1
TAGLN3	0
USP13	1
SMAD9	0
PNPO	0
CABP7	0
CHRNA1	1
TMEM61	0
ENPP2	1
HEPACAM2	0
KCNJ6	1
GAD2	1
JAM3	1
KCNH6	1
KCNK16	1
MIAT	1
DOK6	1
CCDC113	0
AMER3	1
HHEX	3
ACOT7	3
CHST9	2
PYY	1
ASXL3	4
OR51E1	1
TOX	0
SOX4	1
PTCH1	4
ZNF846	3
NAT14	0
AK092048	3
NKX2-2	4
AGT	1
CLPS	0
SLC6A17	0
VASH2	1
YPEL1	0
ABCC8	1
BAALC	1
ID4	1
NR4A3	0
NUP210	0
TMEM151A	0
VSTM2L	1
C21orf58	0
ACSS3	0
SLC18A1	1
BTBD17	0
TFCP2L1	0
PTPRN2	0
TP73	0
PTPRN	1
C22orf42	1
HES4	3
TMEM158	0
KIAA2022	2
CFC1B	1
TET1	3
RUSC1-AS1	0
PGA4	0
STARD9	0
ISL1	2
MAPK4	0
MYT1	2
OGFRL1	4
SCN2A	1
PELI3	0
TMEM200A	1
CDRT4	0
ARNT2	0
SDK1	0
INSC	1
BRSK1	0
GHRL	1
HLA-DQA2	3
NOVA2	0
GIP	1
GPC5-AS1	2
LMX1B	1
COL22A1	2
STX2	0
NFAT5	3
DNAJB13	1
HOPX	1
SCGB1C1	3
ADAMTSL2	0
AKR1B1	0
CDH22	0
HES6	3
KIF19	0
AKT3	1
MPP2	1
PTP4A3	1
RASD1	3
CDK5R2	0
GNG2	1
GSTM2	0
MIR7-3HG	1
RIIAD1	1
NPW	0
TAF9B	1
KLHL32	0
MARCH4	2
ASCL2	0
PLEKHB1	0
IGSF10	1
FOXP2	4
CLEC4G	2
PCSK2	1
MAP6	1
NOL4	1
MAFA	1
SEPT5-GP1BB	2
DKK3	1
GABRE	1
KIAA1324	0
EBF3	4
SSTR5	0
ARHGAP9	0
GOLGA6L5	3
MIR137HG	1
GATA2	1
STX1A	1
IGFN1	0
KCNK3	0
LRRN2	0
PCBP4	0
SPON2	0
STXBP1	0
ACTL6B	1
C1orf127	1
EVL	4
KCNMA1	1
KCTD12	1
PROX1	3
SEZ6	1
SLC8A1	1
SSTR2	1
TMEM132B	1
PHGR1	2
GDAP1	0
HCN4	1
KCNH2	0
KCNH3	1
C4orf48	1
DCHS1	2
KCNB2	1
KCNF1	0
ADM5	3
SAMD11	0
PGM5	4
TUB	1
SYT4	2
CHST8	0
PRR5-ARHGAP8	3
PBX3	0
FTCD	0
RCOR2	0
ZNF519	3
AL831889	3
DKFZp686M11215	3
CCDC14	2
AK094786	2
CCDC17	3
BX649158	3
THRA1	3
SUCNR1	2
CSH1	3
LOC389332	3
CELA3A	1
QDPR	1
SLC7A2	0
UTS2B	0
SHF	0
ABCC9	3
EXOSC4	0
SPDYE7P	1
PAX4	4
GCH1	0
LINC00894	0
COL16A1	0
SSTR3	0
TMOD1	4
CELSR3	1
GPR148	0
LZTS1	1
RIMBP2	0
SPTBN4	0
TMEFF2	1
ANK2	1
EML1	0
GRIK5	1
MAP3K12	4
RNF150	0
SYT5	1
VGF	0
COL1A2	1
CHRNA5	1
SPC25	1
CACNG7	0
PDE6B	1
CNIH2	0
PAX6	0
CDH5	0
FCGBP	1
RPS15AP10	1
STXBP5L	1
CACNA1E	1
CACNA1H	0
GLT8D2	0
MCF2L	0
MEX3B	1
RAB26	0
SLC1A2	1
CADM2	4
LRRTM3	1
SCGN	1
ST8SIA5	1
DHRS2	4
LTBP2	0
SPIB	1
IL17C	0
FAM101B	3
FXYD6	0
CENPE	1
FAM227A	1
USH1G	1
LEFTY1	0
ADCY2	0
PTCHD2	0
TFF2	1
CELA3B	4
PDZRN3	1
LIMCH1	0
CACNA1C	1
ZNF382	3
TMEM189-UBE2V1	3
LOC646214	3
SPDYE5	1
ZBTB25	0
ANKRD65	0
AK5	0
CAMK2B	0
DOCK8	4
SEC11C	1
ADAM12	1
ITGBL1	1
SIX2	4
SLITRK6	1
SBK1	4
HCP5	1
FJX1	4
ADH6	1
MMD2	4
SCGB1A1	1
ROBO1	4
TTR	2
SGCD	2
RGS11	1
FUT1	0
RAP1GAP2	0
MAFB	1
TSPAN7	2
KCNIP3	2
FAIM2	1
LINC00643	0
CCDC88A	1
MLLT11	2
LINC00893	0
C10orf10	3
SCT	0
