Hormone	GHRL	SST	TPH1	GHRL	SST	TPH1
	pos	pos	pos	neg	neg	neg
TF						
ARX	0.986914521	0.8367976558195919	0.9539077905999999	-0.6388533190057756	-0.722069691433752	-0.6512332812414234
ASCL1	0.63508883600159	0.5384872123117984	0.6138486925606828	-0.4732652751345812	-0.4646586812604907	-0.4190747807926029
DACH1	0.27614744002561475	0.3282210327107895	0.2960219250863085	-0.40252419600990447	-0.34774825009823324	-0.3655095818163577
ETV1	0.8924156804856598	0.9946799999999999	0.8971	-0.7593886227205979	-0.3818939159	-0.6895580953346613
FEV	0.98915	0.7667614641512775	0.805924004033559	-0.6088865015880156	-0.7237052653334056	-0.6527084022304643
HOXB9	0.4404034399631129	0.40740181482592785	0.39990559267508463	-0.514083366729918	-0.456293127878766	-0.4738967657833268
INSM1	0.3410812730816192	0.38016669599999997	0.34287162	-0.3977478331716051	-0.3436218600940607	-0.3611724353766266
ISL1	0.8646555501385201	0.876163878	0.835737693500472	-0.6689074683234387	-0.632619698058939	-0.6073972482755365
LMX1A	0.8614382088000601	0.8497650708	0.9686899999999999	-0.648753294276434	-0.6391260500883583	-0.5820983384395115
MYT1	0.88301216022912	0.7486995986149053	0.853480378405632	-0.5715948415808475	-0.6460501943196066	-0.5826714413923264
NEUROD1	0.26613105328168374	0.3163158388736902	0.28528465340972725	-0.38792388676694667	-0.3351347673797764	-0.352251862209232
NEUROD2	0.47840121527850765	0.426795567604763	0.4432611993935063	-0.49375352930510935	-0.4404918111964845	-0.4574858395314615
NHLH1	0.89417683950804	0.7724962481749506	0.8119516936328819	-0.6519044286085495	-0.7291180222174203	-0.657590157368448
PAX4	0.29654053244162537	0.35245968526657173	0.31788271972156024	-0.43225003061532	-0.3734289596536121	-0.39250194024715457
PAX6	0.5303631170001949	0.5031635312697584	0.48159291547480365	-0.6719022748561746	-0.5994234621775124	-0.6225490210232609
RFX6	0.9838877219999999	0.8499991727459238	0.8934131000999999	-0.6749856987385879	-0.8022689005715327	-0.7235647954143262
ST18	0.20010723396855773	0.20277060628554	0.19341477440681426	-0.15480525539409348	-0.14640717672178025	-0.14056994516840743
