	GHRL	SST	TPH1
ARX	0.986914521	0.8367976558195919	0.9539077905999999
ASCL1	0.63508883600159	0.5384872123117984	0.6138486925606828
DACH1	0.27614744002561475	0.3282210327107895	0.2960219250863085
ETV1	0.8924156804856598	0.9946799999999999	0.8971
FEV	0.98915	0.7667614641512775	0.805924004033559
HOXB9	0.4404034399631129	0.40740181482592785	0.39990559267508463
INSM1	0.3410812730816192	0.38016669599999997	0.34287162
ISL1	0.8646555501385201	0.876163878	0.835737693500472
LMX1A	0.8614382088000601	0.8497650708	0.9686899999999999
MYT1	0.88301216022912	0.7486995986149053	0.853480378405632
NEUROD1	0.26613105328168374	0.3163158388736902	0.28528465340972725
NEUROD2	0.47840121527850765	0.426795567604763	0.4432611993935063
NHLH1	0.89417683950804	0.7724962481749506	0.8119516936328819
PAX4	0.29654053244162537	0.35245968526657173	0.31788271972156024
PAX6	0.5303631170001949	0.5031635312697584	0.48159291547480365
RFX6	0.9838877219999999	0.8499991727459238	0.8934131000999999
ST18	0.20010723396855773	0.20277060628554	0.19341477440681426
