Hormone	AEBP1	ARX	ASCL2	EBF3	ETV1	FEV	GATA2	HHEX	HOXB9	INSM1	LMX1A	LMX1B	MAFB	PAX4	PAX6	PBX3	RFX6	SIM1	TFCP2L1	ZNF519
CCK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16022999999999998	0.0	-0.8947200000000001	0.0	0.027770999999999997	0.0	0.0	0.27573000000000003	0.0	0.0	0.34715999999999997	0.0
GAST	0.0	0.0	0.0	0.0	0.0	0.0	-0.41128000000000003	0.0	0.0	0.75574	0.7761600000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCG	0.0	0.51545	0.0	0.0	0.23143000000000002	-0.65137	-0.80783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GHRL	0.0	0.0	0.0	0.8784700000000001	0.8368700000000001	0.98915	0.9702799999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9654	0.0	0.0	0.0
GIP	0.0	-0.8947200000000001	0.0	0.0	0.9312299999999999	0.11907000000000001	0.0	0.0	0.0	0.0	0.96329	0.090783	0.60334	0.14748	0.26006999999999997	0.0	0.0	0.0	0.0	0.0
NTS	0.016091	0.0	0.0	0.0	0.0	0.0	0.81462	0.0	0.0	0.6977800000000001	0.84926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYY	0.0	0.14748	0.0	0.0	0.0	0.0	0.0	0.0	0.077751	0.0	0.99126	0.27573000000000003	0.14748	0.0	0.20195	0.0	0.0	0.0	0.0	0.0
SCT	0.0	0.79706	0.24609	0.79138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33039	0.0	0.0	0.0	0.0	0.0	0.91422	0.0
SST	0.0	0.0	0.0	0.0	0.9946799999999999	0.17414000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.9376200000000001	0.0	0.0	0.26006999999999997	0.0	0.20195	0.0	0.0
TAC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8745700000000001	0.0	0.0	0.0
TPH1	0.0	-0.42423999999999995	0.0	0.0	0.8971	0.0	0.8990100000000001	0.8867299999999999	0.35419	0.0	0.9686899999999999	0.0	0.21649000000000002	0.0	0.0	0.0	0.8828	0.0	0.0	0.57167
