	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
0	MAFB	GCG	0.5965782948402123	MAFB->HHEX->ETV1->RFX6->GATA2->GCG	6	-0.47330755145571457	MAFB->HHEX->ETV1->SPIB->RFX6->GATA2->GCG	7
1	MAFB	SST	0.9376200000000001	MAFB->SST	2	-0.8247368658969719	MAFB->HHEX->ETV1->SST	4
2	MAFB	GHRL	0.5870501454739858	MAFB->HHEX->ETV1->SPIB->RFX6->FEV->GHRL	7	-0.7399446167622317	MAFB->HHEX->ETV1->RFX6->FEV->GHRL	6
3	MAFB	GIP	0.6080191658450222	MAFB->HHEX->ETV1->ISL1->ARX->GIP	6	-0.7721274295544669	MAFB->HHEX->ETV1->GIP	4
4	MAFB	TPH1	0.5330672175844773	MAFB->HHEX->ETV1->SPIB->RFX6->LMX1A->TPH1	7	-0.7971791373	MAFB->HHEX->TPH1	3
5	MAFB	TAC1	0.5218242226699764	MAFB->HHEX->ETV1->SPIB->RFX6->TAC1	6	-0.6577309066996825	MAFB->HHEX->ETV1->RFX6->TAC1	5
6	MAFB	CCK	0.6205950669903171	MAFB->HHEX->ETV1->RFX6->LMX1A->CCK	6	-0.49236174722272713	MAFB->HHEX->ETV1->SPIB->RFX6->LMX1A->CCK	7
7	MAFB	PYY	0.5454874212625185	MAFB->HHEX->ETV1->SPIB->RFX6->LMX1A->PYY	7	-0.6875570749562117	MAFB->HHEX->ETV1->RFX6->LMX1A->PYY	6
8	MAFB	SCT	0.5222837333319735	MAFB->HHEX->ETV1->RFX6->TFCP2L1->SCT	6	-0.6635225916	MAFB->TFCP2L1->SCT	3
9	MAFB	NTS	0.4772858120729042	MAFB->HHEX->ETV1->SPIB->RFX6->GATA2->NTS	7	-0.6015926748730968	MAFB->HHEX->ETV1->RFX6->GATA2->NTS	6
10	MAFB	GAST	0.43803980769496753	MAFB->HHEX->ETV1->SPIB->RFX6->INSM1->GAST	7	-0.5521252317717338	MAFB->HHEX->ETV1->RFX6->INSM1->GAST	6
11	RFX6	GCG	0.4585085601408	RFX6->MYT1->ARX->GCG	4	-0.7932567468000001	RFX6->GATA2->GCG	3
12	RFX6	SST	0.8716059846817199	RFX6->HHEX->ETV1->SST	4	-0.8022689005715327	RFX6->ARNT2->LMX1B->ETV1->SST	5
13	RFX6	GHRL	0.9838877219999999	RFX6->FEV->GHRL	3	-0.6749856987385879	RFX6->ARNT2->LMX1B->ETV1->GHRL	5
14	RFX6	GIP	0.8884327340999999	RFX6->LMX1A->GIP	3	-0.7958808399052801	RFX6->MYT1->ARX->GIP	4
15	RFX6	TPH1	0.8934131000999999	RFX6->LMX1A->TPH1	3	-0.774821605559508	RFX6->ARNT2->HHEX->TPH1	4
16	RFX6	TAC1	0.8745700000000001	RFX6->TAC1	2	0.8745700000000001	RFX6->TAC1	2
17	RFX6	CCK	0.5824295455802688	RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->CCK	8	-0.8251913088	RFX6->LMX1A->CCK	3
18	RFX6	PYY	0.9142291854	RFX6->LMX1A->PYY	3	-0.6452735060710582	RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->PYY	8
19	RFX6	SCT	0.70900927916544	RFX6->MYT1->ARX->SCT	4	-0.6944689386	RFX6->TFCP2L1->SCT	3
20	RFX6	NTS	0.7999242552000001	RFX6->GATA2->NTS	3	-0.5528367711457205	RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->NTS	8
21	RFX6	GAST	0.7341485081999999	RFX6->INSM1->GAST	3	-0.5052513815468319	RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->GAST	8
22	NEUROD1	GCG	0.10520870217480152	NEUROD1->TP73->LMX1B->ETV1->RFX6->GATA2->GCG	7	-0.16002639842609262	NEUROD1->TP73->TFCP2L1->RFX6->GATA2->GCG	6
23	NEUROD1	SST	0.1758320583315632	NEUROD1->TP73->TFCP2L1->RFX6->HHEX->ETV1->SST	7	-0.16184445105021242	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->SST	8
24	NEUROD1	GHRL	0.1984830374811917	NEUROD1->TP73->TFCP2L1->RFX6->FEV->GHRL	6	-0.13616717512204055	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->GHRL	8
25	NEUROD1	GIP	0.17922657608068815	NEUROD1->TP73->TFCP2L1->RFX6->LMX1A->GIP	6	-0.1605557657090898	NEUROD1->TP73->TFCP2L1->RFX6->MYT1->ARX->GIP	7
26	NEUROD1	TPH1	0.1802312823590007	NEUROD1->TP73->TFCP2L1->RFX6->LMX1A->TPH1	6	-0.15630741429000675	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->HHEX->TPH1	7
27	NEUROD1	TAC1	0.1764299992859611	NEUROD1->TP73->TFCP2L1->RFX6->TAC1	5	-0.11599318257574782	NEUROD1->TP73->LMX1B->ETV1->RFX6->TAC1	6
28	NEUROD1	CCK	0.11749550557513916	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->CCK	11	-0.16646866691330056	NEUROD1->TP73->TFCP2L1->RFX6->LMX1A->CCK	6
29	NEUROD1	PYY	0.18443058248891087	NEUROD1->TP73->TFCP2L1->RFX6->LMX1A->PYY	6	-0.13017323280625495	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->PYY	11
30	NEUROD1	SCT	0.14303086844609164	NEUROD1->TP73->TFCP2L1->RFX6->MYT1->ARX->SCT	7	-0.270657503539326	NEUROD1->TP73->TFCP2L1->SCT	4
31	NEUROD1	NTS	0.2150976628	NEUROD1->INSM1->NTS	3	-0.11152565390819773	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->NTS	11
32	NEUROD1	GAST	0.2329644124	NEUROD1->INSM1->GAST	3	-0.10192609040504293	NEUROD1->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->GAST	11
33	PAX4	GCG	0.06099894897105957	PAX4->FEV->SPIB->RFX6->MYT1->ARX->GCG	7	-0.10553309583607963	PAX4->FEV->SPIB->RFX6->GATA2->GCG	6
34	PAX4	SST	0.11595650246124888	PAX4->FEV->SPIB->RFX6->HHEX->ETV1->SST	7	-0.10673205253137065	PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->SST	8
35	PAX4	GHRL	0.145879842	PAX4->FEV->GHRL	3	-0.08979858125420052	PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->GHRL	8
36	PAX4	GIP	0.14748	PAX4->GIP	2	-0.10588219928875046	PAX4->FEV->SPIB->RFX6->MYT1->ARX->GIP	7
37	PAX4	TPH1	0.11885767211486928	PAX4->FEV->SPIB->RFX6->LMX1A->TPH1	6	-0.10308052605317801	PAX4->FEV->SPIB->RFX6->ARNT2->HHEX->TPH1	7
38	PAX4	TAC1	0.11635082840162761	PAX4->FEV->SPIB->RFX6->TAC1	5	-0.06714984063394018	PAX4->FEV->ISL1->ETV1->SPIB->RFX6->TAC1	7
39	PAX4	CCK	0.07748511853121855	PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->CCK	11	-0.10978159823536514	PAX4->FEV->SPIB->RFX6->LMX1A->CCK	6
40	PAX4	PYY	0.12162699734753671	PAX4->FEV->SPIB->RFX6->LMX1A->PYY	6	-0.08584573787917527	PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->PYY	11
41	PAX4	SCT	0.09432500197278638	PAX4->FEV->SPIB->RFX6->MYT1->ARX->SCT	7	-0.09239058772346304	PAX4->FEV->SPIB->RFX6->TFCP2L1->SCT	6
42	PAX4	NTS	0.10642012617752149	PAX4->FEV->SPIB->RFX6->GATA2->NTS	6	-0.07354816228968018	PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->NTS	11
43	PAX4	GAST	0.09766946853755454	PAX4->FEV->SPIB->RFX6->INSM1->GAST	6	-0.06721750894044012	PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->GAST	11
44	PAX6	GCG	0.17069317083549043	PAX6->ASCL2->TP73->LMX1B->ETV1->RFX6->GATA2->GCG	8	-0.2596307415649841	PAX6->ASCL2->TP73->TFCP2L1->RFX6->GATA2->GCG	7
45	PAX6	SST	0.2852742306551701	PAX6->ASCL2->TP73->TFCP2L1->RFX6->HHEX->ETV1->SST	8	-0.26258039459502713	PAX6->ASCL2->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->SST	9
46	PAX6	GHRL	0.32202373305996934	PAX6->ASCL2->TP73->TFCP2L1->RFX6->FEV->GHRL	7	-0.23139951920032142	PAX6->POU5F1->LMX1B->FEV->GHRL	5
47	PAX6	GIP	0.29078157924970743	PAX6->ASCL2->TP73->TFCP2L1->RFX6->LMX1A->GIP	7	-0.2604895999883228	PAX6->ASCL2->TP73->TFCP2L1->RFX6->MYT1->ARX->GIP	8
48	PAX6	TPH1	0.29241163928142005	PAX6->ASCL2->TP73->TFCP2L1->RFX6->LMX1A->TPH1	7	-0.253596970770809	PAX6->ASCL2->TP73->TFCP2L1->RFX6->ARNT2->HHEX->TPH1	8
49	PAX6	TAC1	0.286244344679664	PAX6->ASCL2->TP73->TFCP2L1->RFX6->TAC1	6	-0.18819017552615017	PAX6->ASCL2->TP73->LMX1B->ETV1->RFX6->TAC1	7
50	PAX6	CCK	0.19062758109322128	PAX6->ASCL2->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->CCK	12	-0.27008283547664597	PAX6->ASCL2->TP73->TFCP2L1->RFX6->LMX1A->CCK	7
51	PAX6	PYY	0.299224686488041	PAX6->ASCL2->TP73->TFCP2L1->RFX6->LMX1A->PYY	7	-0.21119623573237048	PAX6->ASCL2->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->PYY	12
52	PAX6	SCT	0.23757528600000002	PAX6->ASCL2->SCT	3	-0.4391213515093688	PAX6->ASCL2->TP73->TFCP2L1->SCT	5
53	PAX6	NTS	0.2618129986428671	PAX6->ASCL2->TP73->TFCP2L1->RFX6->GATA2->NTS	7	-0.18094194778168488	PAX6->ASCL2->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->NTS	12
54	PAX6	GAST	0.2402847783793886	PAX6->ASCL2->TP73->TFCP2L1->RFX6->INSM1->GAST	7	-0.1653673812380573	PAX6->ASCL2->TP73->TFCP2L1->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->GAST	12
55	ARX	GCG	0.51545	ARX->GCG	2	-0.7139584420903858	ARX->FEV->SPIB->RFX6->GATA2->GCG	6
56	ARX	SST	0.8367976558195919	ARX->LMX1A->ETV1->SST	4	-0.722069691433752	ARX->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->SST	8
57	ARX	GHRL	0.986914521	ARX->FEV->GHRL	3	-0.6075104180944265	ARX->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->GHRL	8
58	ARX	GIP	0.9485901945999999	ARX->LMX1A->GIP	3	-0.8947200000000001	ARX->GIP	2
59	ARX	TPH1	0.9539077905999999	ARX->LMX1A->TPH1	3	-0.6973661789008532	ARX->FEV->SPIB->RFX6->ARNT2->HHEX->TPH1	7
60	ARX	TAC1	0.7871431755454295	ARX->FEV->SPIB->RFX6->TAC1	5	-0.5294552775996142	ARX->LMX1A->ETV1->SPIB->RFX6->TAC1	6
61	ARX	CCK	0.49351581512270987	ARX->MAFB->HHEX->ETV1->RFX6->LMX1A->CCK	7	-0.8810665728	ARX->LMX1A->CCK	3
62	ARX	PYY	0.9761333724	ARX->LMX1A->PYY	3	-0.5467660127174282	ARX->MAFB->HHEX->ETV1->RFX6->LMX1A->PYY	7
63	ARX	SCT	0.79706	ARX->SCT	2	-0.6250460062056415	ARX->FEV->SPIB->RFX6->TFCP2L1->SCT	6
