TF	Target	Time	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray	weight	color
AEBP1	ACE	[72]	0.21649000000000002	36.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.7	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
AEBP1	AK054990	[72]	0.70548	48.67	0.669	(0.8784313725490196, 0.34901960784313724, 0.35294117647058826)	1.9534	2,2	6	(0.8784313725490196, 0.34901960784313724, 0.35294117647058826)
AEBP1	AK095045	[72]	0.23143000000000002	36.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.7	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
AEBP1	AK096718	[72]	0.7741399999999999	49.7	0.7040000000000001	(0.8823529411764706, 0.3215686274509804, 0.32941176470588235)	1.974	2,2	7	(0.8823529411764706, 0.3215686274509804, 0.32941176470588235)
AEBP1	AK126180	[72]	-0.58943	46.39	-0.39	(0.5176470588235295, 0.6470588235294118, 0.9098039215686274)	1.9078	2,2	3	(0.5176470588235295, 0.6470588235294118, 0.9098039215686274)
AEBP1	AK126318	[72]	-0.32555	39.46	-0.46	(0.4627450980392157, 0.615686274509804, 0.9176470588235294)	1.7692	2,2	4	(0.4627450980392157, 0.615686274509804, 0.9176470588235294)
AEBP1	AK311257	[72]	0.58355	46.31	0.31	(0.8627450980392157, 0.6196078431372549, 0.6196078431372549)	1.9062	2,2	3	(0.8627450980392157, 0.6196078431372549, 0.6196078431372549)
AEBP1	AX746823	[72]	0.17414000000000002	34.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.66	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
AEBP1	AX747158	[72]	0.13285999999999998	33.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.64	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
AEBP1	BC040563	[72]	0.10417	32.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.62	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
