Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	8/1478	1.1588110128224894e-05	0.0009849893608991158	0	0	11.194557823129252	127.23209368414206	SPIB;NFAT5;HEYL;NEUROD2;FOXD4L5;ZNF382;KCNIP3;SIM1
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	7/1598	0.00019485649075121466	0.00828140085692662	0	0	8.092017598994344	69.13210681801003	SPIB;HEYL;NEUROD2;FOXD4L5;KCNIP3;ZNF514;SIM1
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	5/848	0.0005471762427667279	0.015503326878390622	0	0	9.460260972716489	71.05355679542636	SPIB;NFAT5;HEYL;ZNF382;SIM1
GO_Biological_Process_2018	positive regulation of neurogenesis (GO:0050769)	2/69	0.0015427938045197342	0.0312998319064824	0	0	39.63383084577114	256.59577607630155	HEYL;NEUROD2
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	5/1120	0.001917689440518372	0.0312998319064824	0	0	7.0508221225710015	44.11441507010629	SPIB;NFAT5;HEYL;ZNF382;SIM1
GO_Biological_Process_2018	regulation of neuron differentiation (GO:0045664)	2/84	0.00227539112013874	0.0312998319064824	0	0	32.359349593495935	196.92616533267542	HEYL;NEUROD2
GO_Biological_Process_2018	positive regulation of neuron differentiation (GO:0045666)	2/98	0.00308079638844763	0.0312998319064824	0	0	27.62083333333333	159.71932342658258	HEYL;NEUROD2
GO_Biological_Process_2018	mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003337)	1/6	0.005089741453570572	0.0312998319064824	0	0	249.725	1318.6799159042428	SIX2
GO_Biological_Process_2018	mesodermal cell fate commitment (GO:0001710)	1/6	0.005089741453570572	0.0312998319064824	0	0	249.725	1318.6799159042428	SIX2
GO_Biological_Process_2018	epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	1/6	0.005089741453570572	0.0312998319064824	0	0	249.725	1318.6799159042428	HEYL
GO_Biological_Process_2018	mesenchymal cell differentiation involved in kidney development (GO:0072161)	1/6	0.005089741453570572	0.0312998319064824	0	0	249.725	1318.6799159042428	SIX2
GO_Biological_Process_2018	negative regulation of synapse organization (GO:1905809)	1/7	0.005935661995124462	0.0312998319064824	0	0	208.09375	1066.8501922993223	NEUROD2
GO_Biological_Process_2018	epithelial cell differentiation involved in kidney development (GO:0035850)	1/7	0.005935661995124462	0.0312998319064824	0	0	208.09375	1066.8501922993223	SIX2
GO_Biological_Process_2018	kidney mesenchyme development (GO:0072074)	1/8	0.00678090602009761	0.0312998319064824	0	0	178.35714285714286	890.6521752159383	SIX2
GO_Biological_Process_2018	positive regulation of synapse maturation (GO:0090129)	1/9	0.007625473965426541	0.0312998319064824	0	0	156.0546875	760.9633551596094	NEUROD2
GO_Biological_Process_2018	regulation of morphogenesis of an epithelium (GO:1905330)	1/9	0.007625473965426541	0.0312998319064824	0	0	156.0546875	760.9633551596094	SIX2
GO_Biological_Process_2018	atrioventricular valve development (GO:0003171)	1/9	0.007625473965426541	0.0312998319064824	0	0	156.0546875	760.9633551596094	HEYL
GO_Biological_Process_2018	regulation of organ morphogenesis (GO:2000027)	1/9	0.007625473965426541	0.0312998319064824	0	0	156.0546875	760.9633551596094	SIX2
GO_Biological_Process_2018	embryonic digestive tract morphogenesis (GO:0048557)	1/9	0.007625473965426541	0.0312998319064824	0	0	156.0546875	760.9633551596094	SIX2
GO_Biological_Process_2018	cell differentiation involved in metanephros development (GO:0072202)	1/10	0.008469366280577591	0.0312998319064824	0	0	138.70833333333334	661.8190142974174	SIX2
GO_Biological_Process_2018	pulmonary valve development (GO:0003177)	1/10	0.008469366280577591	0.0312998319064824	0	0	138.70833333333334	661.8190142974174	HEYL
GO_Biological_Process_2018	mesenchymal to epithelial transition (GO:0060231)	1/10	0.008469366280577591	0.0312998319064824	0	0	138.70833333333334	661.8190142974174	SIX2
GO_Biological_Process_2018	regulation of synapse maturation (GO:0090128)	1/10	0.008469366280577591	0.0312998319064824	0	0	138.70833333333334	661.8190142974174	NEUROD2
GO_Biological_Process_2018	calcineurin-NFAT signaling cascade (GO:0033173)	1/11	0.009312583434128836	0.03196984078247032	0	0	124.83125	583.7594513941907	NFAT5
GO_Biological_Process_2018	negative regulation of androgen receptor signaling pathway (GO:0060766)	1/12	0.01015512589560822	0.03196984078247032	0	0	113.47727272727272	520.8353408254836	HEYL
GO_Biological_Process_2018	calcineurin-mediated signaling (GO:0097720)	1/12	0.01015512589560822	0.03196984078247032	0	0	113.47727272727272	520.8353408254836	NFAT5
GO_Biological_Process_2018	pulmonary valve morphogenesis (GO:0003184)	1/12	0.01015512589560822	0.03196984078247032	0	0	113.47727272727272	520.8353408254836	HEYL
GO_Biological_Process_2018	mesenchyme morphogenesis (GO:0072132)	1/15	0.012678709933633065	0.03265728316238819	0	0	89.14732142857143	389.38044082427126	HEYL
GO_Biological_Process_2018	regulation of branching involved in ureteric bud morphogenesis (GO:0090189)	1/15	0.012678709933633065	0.03265728316238819	0	0	89.14732142857143	389.38044082427126	SIX2
GO_Biological_Process_2018	endocardial cushion morphogenesis (GO:0003203)	1/15	0.012678709933633065	0.03265728316238819	0	0	89.14732142857143	389.38044082427126	HEYL
GO_Biological_Process_2018	digestive tract morphogenesis (GO:0048546)	1/15	0.012678709933633065	0.03265728316238819	0	0	89.14732142857143	389.38044082427126	SIX2
GO_Biological_Process_2018	atrioventricular valve morphogenesis (GO:0003181)	1/15	0.012678709933633065	0.03265728316238819	0	0	89.14732142857143	389.38044082427126	HEYL
GO_Biological_Process_2018	mesenchymal cell development (GO:0014031)	1/15	0.012678709933633065	0.03265728316238819	0	0	89.14732142857143	389.38044082427126	HEYL
GO_Biological_Process_2018	cardiac epithelial to mesenchymal transition (GO:0060317)	1/16	0.013518558453539395	0.032830784815738534	0	0	83.2	358.0671608642671	HEYL
GO_Biological_Process_2018	cardiac ventricle development (GO:0003231)	1/16	0.013518558453539395	0.032830784815738534	0	0	83.2	358.0671608642671	HEYL
GO_Biological_Process_2018	positive regulation of transcription of Notch receptor target (GO:0007221)	1/17	0.014357734707201343	0.03390020694755873	0	0	77.99609375	330.9738092431344	HEYL
GO_Biological_Process_2018	anterior/posterior axis specification (GO:0009948)	1/18	0.015196239191186837	0.03491027922299679	0	0	73.40441176470588	307.32278683532314	SIX2
GO_Biological_Process_2018	endocardial cushion development (GO:0003197)	1/19	0.01603407239546545	0.03585137398670376	0	0	69.32291666666667	286.5143387139707	HEYL
GO_Biological_Process_2018	inositol phosphate-mediated signaling (GO:0048016)	1/20	0.016871234817272356	0.03585137398670376	0	0	65.67105263157895	268.0787715603985	NFAT5
GO_Biological_Process_2018	embryonic digestive tract development (GO:0048566)	1/20	0.016871234817272356	0.03585137398670376	0	0	65.67105263157895	268.0787715603985	SIX2
GO_Biological_Process_2018	ventricular septum morphogenesis (GO:0060412)	1/21	0.01770772695128657	0.036711141240472166	0	0	62.384375	251.64323365643207	HEYL
GO_Biological_Process_2018	negative regulation of nervous system development (GO:0051961)	1/22	0.018543549289368702	0.03752861165705571	0	0	59.41071428571429	236.908142520545	NEUROD2
GO_Biological_Process_2018	regulation of androgen receptor signaling pathway (GO:0060765)	1/23	0.019378702334968384	0.03830673717377471	0	0	56.70738636363637	223.63015065372352	HEYL
GO_Biological_Process_2018	negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	1/28	0.0235444454896736	0.04350604057874469	0	0	46.194444444444436	173.17675198553692	HEYL
GO_Biological_Process_2018	ventricular septum development (GO:0003281)	1/28	0.0235444454896736	0.04350604057874469	0	0	46.194444444444436	173.17675198553692	HEYL
GO_Biological_Process_2018	positive regulation of calcium-mediated signaling (GO:0050850)	1/28	0.0235444454896736	0.04350604057874469	0	0	46.194444444444436	173.17675198553692	NEUROD2
GO_Biological_Process_2018	regulation of cation transmembrane transport (GO:1904062)	1/30	0.025206075066878136	0.045585454908183866	0	0	43.004310344827594	158.28468525367578	KCNIP3
GO_Biological_Process_2018	regulation of potassium ion transmembrane transport (GO:1901379)	1/32	0.026865043358944445	0.046602626234903625	0	0	40.2258064516129	145.49389961403264	KCNIP3
GO_Biological_Process_2018	negative regulation of receptor activity (GO:2000272)	1/32	0.026865043358944445	0.046602626234903625	0	0	40.2258064516129	145.49389961403264	HEYL
