Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	potassium ion import (GO:0010107)	2/38	0.00249172839958229	0.13196256725976482	0	0	29.917417417417422	179.34829588302827	ATP1A3;ABCC9
GO_Biological_Process_2018	cellular response to peptide (GO:1901653)	2/41	0.002895733352411152	0.13196256725976482	0	0	27.611919611919607	161.3783303478085	ATP1A3;PTPN22
GO_Biological_Process_2018	regulation of cardiac conduction (GO:1903779)	2/67	0.007562828325735275	0.13196256725976482	0	0	16.545530145530144	80.81680813934352	ATP1A3;ABCC9
GO_Biological_Process_2018	lymphocyte differentiation (GO:0030098)	2/73	0.008923411744822479	0.13196256725976482	0	0	15.142748382185	71.45979443987204	IFNE;PTPN22
GO_Biological_Process_2018	modulation of chemical synaptic transmission (GO:0050804)	2/82	0.011153056011211531	0.13196256725976482	0	0	13.433108108108108	60.39581471043165	GRIK5;CPLX2
GO_Biological_Process_2018	positive regulation of interferon-gamma secretion (GO:1902715)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	PTPN22
GO_Biological_Process_2018	negative regulation of interleukin-6 secretion (GO:1900165)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	PTPN22
GO_Biological_Process_2018	hematopoietic stem cell differentiation (GO:0060218)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	SFRP1
GO_Biological_Process_2018	regulation of protein K63-linked ubiquitination (GO:1900044)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	PTPN22
GO_Biological_Process_2018	regulation of natural killer cell proliferation (GO:0032817)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	PTPN22
GO_Biological_Process_2018	neuron projection maintenance (GO:1990535)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	ATP1A3
GO_Biological_Process_2018	negative regulation of lymphocyte differentiation (GO:0045620)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	SFRP1
GO_Biological_Process_2018	response to heparin (GO:0071503)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	SFRP1
GO_Biological_Process_2018	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	SFRP1
GO_Biological_Process_2018	positive regulation of fibroblast apoptotic process (GO:2000271)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	SFRP1
GO_Biological_Process_2018	positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	1/6	0.011644446786079536	0.13196256725976482	0	0	105.03157894736843	467.6978364624713	PTPN22
GO_Biological_Process_2018	T cell activation (GO:0042110)	2/88	0.012761825382223185	0.13196256725976482	0	0	12.492143306096795	54.4819465780902	IFNE;PTPN22
GO_Biological_Process_2018	ATP hydrolysis coupled proton transport (GO:0015991)	1/7	0.013572308007059051	0.13196256725976482	0	0	87.52192982456141	376.32011926365755	ATP1A3
GO_Biological_Process_2018	regulation of toll-like receptor 3 signaling pathway (GO:0034139)	1/7	0.013572308007059051	0.13196256725976482	0	0	87.52192982456141	376.32011926365755	PTPN22
GO_Biological_Process_2018	ATP hydrolysis coupled cation transmembrane transport (GO:0099132)	1/7	0.013572308007059051	0.13196256725976482	0	0	87.52192982456141	376.32011926365755	ATP1A3
GO_Biological_Process_2018	negative regulation of osteoblast proliferation (GO:0033689)	1/7	0.013572308007059051	0.13196256725976482	0	0	87.52192982456141	376.32011926365755	SFRP1
GO_Biological_Process_2018	negative regulation of interleukin-8 secretion (GO:2000483)	1/7	0.013572308007059051	0.13196256725976482	0	0	87.52192982456141	376.32011926365755	PTPN22
GO_Biological_Process_2018	regulation of heart contraction (GO:0008016)	2/95	0.014758779947758453	0.13196256725976482	0	0	11.547805870386515	48.684592497333725	ATP1A3;ABCC9
GO_Biological_Process_2018	positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	1/8	0.015496505807542109	0.13196256725976482	0	0	75.01503759398496	312.59821718825697	PTPN22
GO_Biological_Process_2018	regulation of fibroblast apoptotic process (GO:2000269)	1/8	0.015496505807542109	0.13196256725976482	0	0	75.01503759398496	312.59821718825697	SFRP1
GO_Biological_Process_2018	cellular response to prostaglandin E stimulus (GO:0071380)	1/8	0.015496505807542109	0.13196256725976482	0	0	75.01503759398496	312.59821718825697	SFRP1
GO_Biological_Process_2018	positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	1/8	0.015496505807542109	0.13196256725976482	0	0	75.01503759398496	312.59821718825697	SFRP1
GO_Biological_Process_2018	response to vitamin D (GO:0033280)	1/8	0.015496505807542109	0.13196256725976482	0	0	75.01503759398496	312.59821718825697	SFRP1
GO_Biological_Process_2018	negative regulation of bone remodeling (GO:0046851)	1/8	0.015496505807542109	0.13196256725976482	0	0	75.01503759398496	312.59821718825697	SFRP1
GO_Biological_Process_2018	negative regulation of microtubule polymerization (GO:0031115)	1/9	0.017417046832985512	0.13196256725976482	0	0	65.63486842105263	265.8412914846341	TUBB4A
GO_Biological_Process_2018	neuron projection organization (GO:0106027)	1/9	0.017417046832985512	0.13196256725976482	0	0	65.63486842105263	265.8412914846341	ATP1A3
GO_Biological_Process_2018	regulation of interferon-gamma secretion (GO:1902713)	1/9	0.017417046832985512	0.13196256725976482	0	0	65.63486842105263	265.8412914846341	PTPN22
GO_Biological_Process_2018	response to muramyl dipeptide (GO:0032495)	1/9	0.017417046832985512	0.13196256725976482	0	0	65.63486842105263	265.8412914846341	PTPN22
GO_Biological_Process_2018	regulation of natural killer cell activation (GO:0032814)	1/9	0.017417046832985512	0.13196256725976482	0	0	65.63486842105263	265.8412914846341	PTPN22
GO_Biological_Process_2018	dorsal/ventral axis specification (GO:0009950)	1/10	0.01933393774979666	0.13196256725976482	0	0	58.33918128654971	230.20018425524987	SFRP1
GO_Biological_Process_2018	energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	1/10	0.01933393774979666	0.13196256725976482	0	0	58.33918128654971	230.20018425524987	ATP1A3
GO_Biological_Process_2018	L-phenylalanine metabolic process (GO:0006558)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	QDPR
GO_Biological_Process_2018	L-phenylalanine catabolic process (GO:0006559)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	QDPR
GO_Biological_Process_2018	cellular response to prostaglandin stimulus (GO:0071379)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	SFRP1
GO_Biological_Process_2018	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	QDPR
GO_Biological_Process_2018	regulation of non-canonical Wnt signaling pathway (GO:2000050)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	SFRP1
GO_Biological_Process_2018	negative regulation of leukocyte cell-cell adhesion (GO:1903038)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	PTPN22
GO_Biological_Process_2018	negative regulation of JUN kinase activity (GO:0043508)	1/11	0.021247185233602552	0.13196256725976482	0	0	52.502631578947366	202.2155053364779	PTPN22
GO_Biological_Process_2018	regulation of antigen receptor-mediated signaling pathway (GO:0050854)	1/12	0.02315679597121641	0.13196256725976482	0	0	47.72727272727273	179.71546945510647	PTPN22
GO_Biological_Process_2018	response to prostaglandin E (GO:0034695)	1/12	0.02315679597121641	0.13196256725976482	0	0	47.72727272727273	179.71546945510647	SFRP1
GO_Biological_Process_2018	negative regulation of androgen receptor signaling pathway (GO:0060766)	1/12	0.02315679597121641	0.13196256725976482	0	0	47.72727272727273	179.71546945510647	SFRP1
GO_Biological_Process_2018	regulation of bone remodeling (GO:0046850)	1/12	0.02315679597121641	0.13196256725976482	0	0	47.72727272727273	179.71546945510647	SFRP1
GO_Biological_Process_2018	negative regulation of macromolecule metabolic process (GO:0010605)	2/124	0.024332249347456644	0.13196256725976482	0	0	8.789986708019494	32.66317461963934	SFRP1;PTPN22
GO_Biological_Process_2018	cellular potassium ion homeostasis (GO:0030007)	1/13	0.025062776635888108	0.13196256725976482	0	0	43.747807017543856	161.27067055781572	ATP1A3
GO_Biological_Process_2018	sodium ion export from cell (GO:0036376)	1/13	0.025062776635888108	0.13196256725976482	0	0	43.747807017543856	161.27067055781572	ATP1A3
GO_Biological_Process_2018	positive regulation of smoothened signaling pathway (GO:0045880)	1/13	0.025062776635888108	0.13196256725976482	0	0	43.747807017543856	161.27067055781572	SFRP1
GO_Biological_Process_2018	regulation of neurotransmitter transport (GO:0051588)	1/13	0.025062776635888108	0.13196256725976482	0	0	43.747807017543856	161.27067055781572	CPLX2
GO_Biological_Process_2018	sodium ion export (GO:0071436)	1/13	0.025062776635888108	0.13196256725976482	0	0	43.747807017543856	161.27067055781572	ATP1A3
GO_Biological_Process_2018	cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	1/14	0.026965133912219292	0.13196256725976482	0	0	40.38056680161943	145.90349135778567	ATP1A3
GO_Biological_Process_2018	negative regulation of T cell receptor signaling pathway (GO:0050860)	1/14	0.026965133912219292	0.13196256725976482	0	0	40.38056680161943	145.90349135778567	PTPN22
GO_Biological_Process_2018	cellular response to organic substance (GO:0071310)	2/133	0.027703240166824687	0.13196256725976482	0	0	8.182380854136579	29.34370248777225	SFRP1;MAPK4
GO_Biological_Process_2018	cellular response to organic cyclic compound (GO:0071407)	2/135	0.028476632884471206	0.13196256725976482	0	0	8.058524690103638	28.677641556824984	SFRP1;ATP1A3
GO_Biological_Process_2018	regulation of lymphocyte proliferation (GO:0050670)	1/15	0.028863874472676125	0.13196256725976482	0	0	37.49436090225564	132.92367662225746	PTPN22
GO_Biological_Process_2018	cellular sodium ion homeostasis (GO:0006883)	1/15	0.028863874472676125	0.13196256725976482	0	0	37.49436090225564	132.92367662225746	ATP1A3
GO_Biological_Process_2018	negative regulation of insulin secretion (GO:0046676)	1/15	0.028863874472676125	0.13196256725976482	0	0	37.49436090225564	132.92367662225746	SFRP1
GO_Biological_Process_2018	regulation of B cell differentiation (GO:0045577)	1/15	0.028863874472676125	0.13196256725976482	0	0	37.49436090225564	132.92367662225746	SFRP1
GO_Biological_Process_2018	regulation of vesicle-mediated transport (GO:0060627)	2/138	0.02965294532888357	0.13196256725976482	0	0	7.879570747217807	27.72185712221183	TBC1D3C;CPLX2
GO_Biological_Process_2018	lipopolysaccharide-mediated signaling pathway (GO:0031663)	1/16	0.030759004984448318	0.13196256725976482	0	0	34.99298245614035	121.8306048026202	PTPN22
GO_Biological_Process_2018	regulation of osteoblast proliferation (GO:0033688)	1/16	0.030759004984448318	0.13196256725976482	0	0	34.99298245614035	121.8306048026202	SFRP1
